Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
CZP-1_S3	39135880.0	0.0	0.0	nan	0.0	0.0
CZP-2_S4	98198020.0	0.0	0.0	nan	0.0	0.0
ELP-1_S49	75937346.0	0.0	0.0	nan	0.0	0.0
FRUpstream-1_S1	11099912.0	0.0	0.0	nan	0.0	0.0
FRUpstream-2_S2	9578656.0	0.0	0.0	nan	0.0	0.0
FZP-1_S50	33867882.0	0.0	0.0	nan	0.0	0.0
FZP-2_S51	26866530.0	0.0	0.0	nan	0.0	0.0
FZP-3_S52	24903564.0	0.0	0.0	nan	0.0	0.0
HFP-1_S53	23422884.0	0.0	0.0	nan	0.0	0.0
KTP-10_S22	65575306.0	0.0	0.0	nan	0.0	0.0
KTP-11_S23	25398850.0	0.0	0.0	nan	0.0	0.0
KTP-12_S24	34554214.0	0.0	0.0	nan	0.0	0.0
KTP-13_S25	29684696.0	0.0	0.0	nan	0.0	0.0
KTP-14_S26	36272962.0	0.0	0.0	nan	0.0	0.0
KTP-15_S27	34058812.0	0.0	0.0	nan	0.0	0.0
KTP-16_S28	27308770.0	0.0	0.0	nan	0.0	0.0
KTP-17_S29	32773776.0	0.0	0.0	nan	0.0	0.0
KTP-18_S30	33075230.0	0.0	0.0	nan	0.0	0.0
KTP-19_S31	53557218.0	0.0	0.0	nan	0.0	0.0
KTP-1_S13	24006926.0	0.0	0.0	nan	0.0	0.0
KTP-2_S14	57224916.0	0.0	0.0	nan	0.0	0.0
KTP-3_S15	32324462.0	0.0	0.0	nan	0.0	0.0
KTP-4_S16	35502382.0	0.0	0.0	nan	0.0	0.0
KTP-5_S17	64446454.0	0.0	0.0	nan	0.0	0.0
KTP-6_S18	23793744.0	0.0	0.0	nan	0.0	0.0
KTP-7_S19	21974372.0	0.0	0.0	nan	0.0	0.0
KTP-8_S20	40603418.0	0.0	0.0	nan	0.0	0.0
KTP-9_S21	31009396.0	0.0	0.0	nan	0.0	0.0
STP-1_S46	22375798.0	0.0	0.0	nan	0.0	0.0
STP-2_S47	27528096.0	0.0	0.0	nan	0.0	0.0
STP-3_S48	28367934.0	0.0	0.0	nan	0.0	0.0
WBP-1_S5	22524562.0	0.0	0.0	nan	0.0	0.0
WBP-2_S6	24435844.0	0.0	0.0	nan	0.0	0.0
WBP-3_S7	18962716.0	0.0	0.0	nan	0.0	0.0
WBP-4_S8	57572690.0	0.0	0.0	nan	0.0	0.0
WBP-5_S9	47495504.0	0.0	0.0	nan	0.0	0.0
WBP-6_S10	50394604.0	0.0	0.0	nan	0.0	0.0
WBP-7_S11	54287122.0	0.0	0.0	nan	0.0	0.0
WBP-8_S12	19003756.0	0.0	0.0	nan	0.0	0.0
WZP-10_S41	42391400.0	0.0	0.0	nan	0.0	0.0
WZP-11_S42	53142386.0	0.0	0.0	nan	0.0	0.0
WZP-12_S43	40680222.0	0.0	0.0	nan	0.0	0.0
WZP-13_S44	27491724.0	0.0	0.0	nan	0.0	0.0
WZP-14_S45	30376020.0	0.0	0.0	nan	0.0	0.0
WZP-1_S32	42746570.0	0.0	0.0	nan	0.0	0.0
WZP-2_S33	27620934.0	0.0	0.0	nan	0.0	0.0
WZP-3_S34	38142048.0	0.0	0.0	nan	0.0	0.0
WZP-4_S35	26812440.0	0.0	0.0	nan	0.0	0.0
WZP-5_S36	29857708.0	0.0	0.0	nan	0.0	0.0
WZP-6_S37	26427850.0	0.0	0.0	nan	0.0	0.0
WZP-7_S38	26654568.0	0.0	0.0	nan	0.0	0.0
WZP-8_S39	33386740.0	0.0	0.0	nan	0.0	0.0
WZP-9_S40	44495408.0	0.0	0.0	nan	0.0	0.0
