Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
CZP-1_S3_R1_001 - illumina_universal_adapter	(1, 1.0220799941128192e-05)	(2, 3.066239982338458e-05)	(3, 3.066239982338458e-05)	(4, 4.088319976451277e-05)	(5, 4.5993599735076866e-05)	(6, 6.643519961733325e-05)	(7, 6.643519961733325e-05)	(8, 7.665599955846144e-05)	(9, 8.687679949958963e-05)	(10, 0.0001338924792287793)	(15, 0.0002442771185929638)	(20, 0.0003965670377157738)	(25, 0.0007215884758436504)	(30, 0.0014738393515106856)	(35, 0.0032624793412081186)	(40, 0.006500428762557531)	(45, 0.012052367290578365)	(50, 0.0204027608424801)	(55, 0.03272597933149836)	(60, 0.048998514917768556)	(65, 0.07182258326630192)	(70, 0.10220595525129368)	(75, 0.14195771246232355)	(80, 0.19252716433104353)	(85, 0.2551939550100828)	(90, 0.3323589504056125)	(95, 0.4229775847636491)	(100, 0.5296152788694161)	(105, 0.6539594867931934)	(110, 0.7997704408333222)	(115, 0.9655978094781567)	(120, 1.1573778333335036)	(125, 1.3779028349432796)	(130, 1.6292282171756454)	(135, 1.9205118167778519)	(140, 2.1157720230131534)
CZP-1_S3_R1_001 - polya	(1, 0.004108761576333534)	(2, 0.011621049533062755)	(3, 0.017406022299741312)	(4, 0.022858819068333203)	(5, 0.028567135835453297)	(6, 0.03357021740663555)	(7, 0.03821046057990775)	(8, 0.04215568935718323)	(9, 0.04587606053575389)	(10, 0.057461337269022694)	(15, 0.07462819285014162)	(20, 0.09001356300152188)	(25, 0.10441467011857149)	(30, 0.11808805627981281)	(35, 0.13237060211754534)	(40, 0.14721835819202228)	(45, 0.16185249954772962)	(50, 0.17648766298343105)	(55, 0.19107172241942688)	(60, 0.20564658313547568)	(65, 0.22127520832545483)	(70, 0.23633760119869543)	(75, 0.2512599691127426)	(80, 0.2666228535042524)	(85, 0.2825948975722533)	(90, 0.2982695163619676)	(95, 0.3144674401086675)	(100, 0.33113552065265933)	(105, 0.3491139077491039)	(110, 0.36835762987826)	(115, 0.38932662303747867)	(120, 0.4130123048210491)	(125, 0.4385724813138225)	(130, 0.467857117305143)	(135, 0.5018055043096002)	(140, 0.5252417985746073)
CZP-1_S3_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 1.0220799941128192e-05)	(3, 2.5551999852820482e-05)	(4, 4.5993599735076866e-05)	(5, 6.132479964676915e-05)	(6, 6.643519961733325e-05)	(7, 8.687679949958963e-05)	(8, 9.709759944071783e-05)	(9, 0.00011242879935241011)	(10, 0.00018397439894030746)	(15, 0.00043131775751560966)	(20, 0.0010210579141187064)	(25, 0.0023436294265006944)	(30, 0.004754716132612835)	(35, 0.00894728826846362)	(40, 0.015278051751998423)	(45, 0.02468834225779515)	(50, 0.03776176746249222)	(55, 0.05564816735946656)	(60, 0.07766990291262135)	(65, 0.10702097410355918)	(70, 0.14500044460479744)	(75, 0.1930514913680234)	(80, 0.2519130782289806)	(85, 0.32337486725736075)	(90, 0.4096854344402119)	(95, 0.5064794761226782)	(100, 0.6139062159839003)	(105, 0.7377220085507212)	(110, 0.8891523583984824)	(115, 1.0610856329281468)	(120, 1.2569458001199922)	(125, 1.4797755921164928)	(130, 1.7292285237996439)	(135, 2.0116731756127626)	(140, 2.1957702241523633)
CZP-1_S3_R2_001 - polya	(1, 0.00625001916399989)	(2, 0.016225519906541006)	(3, 0.023543612664388792)	(4, 0.029926502227623348)	(5, 0.037009516586825185)	(6, 0.04439915494426087)	(7, 0.051272642904669576)	(8, 0.05772707806749203)	(9, 0.06483053402657613)	(10, 0.08374208015764563)	(15, 0.11115937599972199)	(20, 0.135891667697264)	(25, 0.16072821155420552)	(30, 0.18476446677575667)	(35, 0.20840722119957444)	(40, 0.23245063098108437)	(45, 0.2564490692428533)	(50, 0.2802870409455467)	(55, 0.3042313089676277)	(60, 0.32811118595007954)	(65, 0.3515362373351512)	(70, 0.37487543400071754)	(75, 0.3983219490656656)	(80, 0.4217940161304664)	(85, 0.4450882412762917)	(90, 0.46927167601699515)	(95, 0.49330077667858757)	(100, 0.5174545710994617)	(105, 0.5442432877451587)	(110, 0.5754545445253818)	(115, 0.6082653564963916)	(120, 0.6432491105348852)	(125, 0.6822690584701301)	(130, 0.7251340713432277)	(135, 0.7733506950654999)	(140, 0.8069577073519236)
CZP-2_S4_R1_001 - illumina_universal_adapter	(1, 3.258721509863437e-05)	(2, 4.480742076062226e-05)	(3, 5.90643273662748e-05)	(4, 6.517443019726874e-05)	(5, 7.535793491559198e-05)	(6, 8.554143963391522e-05)	(7, 8.961484152124452e-05)	(8, 9.979834623956776e-05)	(9, 0.00010794515001422635)	(10, 0.00012709013888467406)	(15, 0.00020285541398899895)	(20, 0.0003751603138230282)	(25, 0.0008407501495447669)	(30, 0.002321839075777699)	(35, 0.0064457511465098784)	(40, 0.015055293375569078)	(45, 0.02940059280217666)	(50, 0.05157945139830722)	(55, 0.08294423859055407)	(60, 0.12581964483601604)	(65, 0.18256335514707933)	(70, 0.2545419958569429)	(75, 0.34334826710355254)	(80, 0.45109463510567727)	(85, 0.5772205997636205)	(90, 0.72198726613836)	(95, 0.8870056646763347)	(100, 1.0718289431905044)	(105, 1.2768844015388499)	(110, 1.5050197549808029)	(115, 1.7605401819710824)	(120, 2.046407453021965)	(125, 2.3634916467765845)	(130, 2.7191130737666604)	(135, 3.1192616714675103)	(140, 3.3824796060042757)
CZP-2_S4_R1_001 - polya	(1, 0.0039471264288220885)	(2, 0.0105602943929012)	(3, 0.015737588191696735)	(4, 0.020358862632871823)	(5, 0.025073825317455483)	(6, 0.029526053580306404)	(7, 0.03339374867232557)	(8, 0.03677670893975255)	(9, 0.04027372446002475)	(10, 0.05048207692986071)	(15, 0.06611416401267561)	(20, 0.08041547069890005)	(25, 0.09407888264956871)	(30, 0.10733454707131569)	(35, 0.12060161701834722)	(40, 0.13384913463631953)	(45, 0.14746448044471774)	(50, 0.16149897930732207)	(55, 0.17535750720839383)	(60, 0.18908813029020338)	(65, 0.2044204149941109)	(70, 0.21882192736676362)	(75, 0.23276110862520447)	(80, 0.2469882793970795)	(85, 0.2611844923146108)	(90, 0.2754177731893169)	(95, 0.29025962030598984)	(100, 0.3068762486249723)	(105, 0.3265906990792686)	(110, 0.35012192710199247)	(115, 0.37864470179744963)	(120, 0.4127838830151565)	(125, 0.4542894042059097)	(130, 0.5036724773065689)	(135, 0.5620512511352062)	(140, 0.6035905815616242)
CZP-2_S4_R2_001 - illumina_universal_adapter	(1, 3.462391604229902e-05)	(2, 4.0734018873292963e-05)	(3, 5.295422453528085e-05)	(4, 6.924783208459804e-05)	(5, 7.739463585925663e-05)	(6, 9.165154246490917e-05)	(7, 0.0001059084490705617)	(8, 0.0001140552528452203)	(9, 0.0001222020566198789)	(10, 0.00017189755964529632)	(15, 0.00037149425212443184)	(20, 0.0008904456525701841)	(25, 0.0022904738812452633)	(30, 0.005444916302793071)	(35, 0.011808792071367629)	(40, 0.023209021933436134)	(45, 0.0410301551905018)	(50, 0.0675031940562549)	(55, 0.10376787637877016)	(60, 0.15192363349077714)	(65, 0.21451674891204528)	(70, 0.29341039666583907)	(75, 0.3897137640860783)	(80, 0.5050993899877003)	(85, 0.6387994381149437)	(90, 0.7915181996541276)	(95, 0.9593936822758747)	(100, 1.138421731924941)	(105, 1.3369589325731823)	(110, 1.5682695027863087)	(115, 1.8275158704829284)	(120, 2.1153501873052023)	(125, 2.432357393764151)	(130, 2.783803583819714)	(135, 3.1719071321397316)	(140, 3.4224396785189763)
CZP-2_S4_R2_001 - polya	(1, 0.005657955221500393)	(2, 0.014344484746230117)	(3, 0.020670477877252513)	(4, 0.02659320422142931)	(5, 0.03287031652980376)	(6, 0.03928185110046007)	(7, 0.04568931226922905)	(8, 0.051396148313377396)	(9, 0.057186489096215994)	(10, 0.07394079839899012)	(15, 0.09920485158458389)	(20, 0.12232303665593258)	(25, 0.14515119551290342)	(30, 0.16800786818308555)	(35, 0.19056962655662507)	(40, 0.21281814032502896)	(45, 0.23479903158943533)	(50, 0.2569188258581996)	(55, 0.2794769181700405)	(60, 0.30253278019251306)	(65, 0.3245153008176743)	(70, 0.346434683713582)	(75, 0.36829174356061356)	(80, 0.39008851705971265)	(85, 0.4123235886018882)	(90, 0.4357497228559192)	(95, 0.4613180591624964)	(100, 0.48886036602367344)	(105, 0.5221139896710748)	(110, 0.5635001601865293)	(115, 0.6109626242973126)	(120, 0.6652093392514431)	(125, 0.7271494883501723)	(130, 0.7973464230745182)	(135, 0.8756302825657789)	(140, 0.9300961465414476)
ELP-1_S49_R1_001 - illumina_universal_adapter	(1, 5.2675003943382485e-06)	(2, 2.1070001577352994e-05)	(3, 2.1070001577352994e-05)	(4, 3.160500236602949e-05)	(5, 4.214000315470599e-05)	(6, 5.530875414055161e-05)	(7, 6.321000473205898e-05)	(8, 7.901250591507372e-05)	(9, 8.691375650658109e-05)	(10, 0.0001190455089120444)	(15, 0.0002180745163256035)	(20, 0.0003855810288655598)	(25, 0.0007174335537088694)	(30, 0.0014617313594288638)	(35, 0.0036440567728032005)	(40, 0.008528083138433624)	(45, 0.017110421530928933)	(50, 0.030710580799070852)	(55, 0.050527970782650214)	(60, 0.07821079235505543)	(65, 0.11429053630607529)	(70, 0.16108806330945513)	(75, 0.21922283141156923)	(80, 0.29087821952587073)	(85, 0.3756365148710886)	(90, 0.4747534895412332)	(95, 0.5877740315022335)	(100, 0.716756679908197)	(105, 0.8613090059797456)	(110, 1.0240289409113665)	(115, 1.2057608650162728)	(120, 1.410124604565453)	(125, 1.6389226981938503)	(130, 1.894326409564011)	(135, 2.180872110015538)	(140, 2.3694191261306394)
ELP-1_S49_R1_001 - polya	(1, 0.004969886622058137)	(2, 0.014533033587979227)	(3, 0.022407946677514907)	(4, 0.03019067851014967)	(5, 0.03766262781951848)	(6, 0.045392684648209856)	(7, 0.051924385137189284)	(8, 0.05761328556307459)	(9, 0.06318630098028445)	(10, 0.07961616146026489)	(15, 0.10369864651313994)	(20, 0.1252727478782311)	(25, 0.14564954640368918)	(30, 0.1648606470918802)	(35, 0.18444416005795092)	(40, 0.2045370403121542)	(45, 0.22478215132775378)	(50, 0.24512576460072752)	(55, 0.26547622562421397)	(60, 0.2859783906590573)	(65, 0.30692039197682786)	(70, 0.3278134055409311)	(75, 0.3483018750747492)	(80, 0.3695646671665349)	(85, 0.3905056149842266)	(90, 0.4116735920689142)	(95, 0.4330001209154715)	(100, 0.45544125284547077)	(105, 0.47984610892247936)	(110, 0.506729323935024)	(115, 0.5370964637083839)	(120, 0.5715322207863309)	(125, 0.6108883499826291)	(130, 0.6553281438095031)	(135, 0.7056570030772475)	(140, 0.7407422429538162)
