Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CZP-1_S3_R1_001	(1, 27.70189912683706)	(2, 0.004584028773595994)	(3, 0.009852851143247578)	(4, 0.007583833556317119)	(5, 0.0)	(6, 2.5551999852820482e-05)	(7, 0.0)	(8, 0.00033728639805723036)	(9, 0.0)	(10, 0.0)	(15, 8.176639952902554e-06)	(20, 1.7375359899917925e-05)	(25, 0.0003086681582220714)	(30, 0.0011621049533062755)	(35, 0.0008053990353609015)	(40, 0.00028720447834570224)	(45, 0.0005836076766384198)	(50, 0.000774736635537517)	(55, 0.003424990060272057)	(60, 0.000548856956838584)	(65, 0.0013133727924349726)	(70, 0.0006193804764323685)	(75, 0.0004957087971447173)	(80, 0.06117864220761102)	(85, 6.234687964088197e-05)	(90, 0.00021463679876369205)	(95, 0.0003873683177687585)	(100, 0.00020441599882256386)	(105, 0.028042808798473425)	(110, 0.00974144442388928)	(115, 0.0002974252782868304)	(120, 0.0005049075170917327)	(125, 0.00032604351812198936)	(130, 0.0004568697573684302)	(135, 0.0008013107153844502)	(140, 0.00038430207778642004)	(145, 0.00026267455848699457)	(150, 0.0003577279979394867)
CZP-1_S3_R2_001	(1, 25.620790946824247)	(2, 0.004231411175627072)	(3, 0.00010731839938184603)	(4, 9.709759944071783e-05)	(5, 3.066239982338458e-05)	(6, 0.0003832799977923072)	(7, 0.00023507839864594842)	(8, 0.0001533119991169229)	(9, 0.0002606303984987689)	(10, 0.00045993599735076867)	(15, 0.0008135756753138041)	(20, 0.0009198719947015373)	(25, 0.0014114924718698033)	(30, 0.0008442380751371887)	(35, 0.001612842230710029)	(40, 0.0011018022336536193)	(45, 0.06205149852258337)	(50, 0.0007338534357730042)	(55, 0.0006909260760202657)	(60, 0.0007624716756081632)	(65, 0.06233665884094084)	(70, 0.001131442553482891)	(75, 0.0004609580773448815)	(80, 0.058503858863017774)	(85, 0.058045967025655225)	(90, 0.0005079737570740711)	(95, 0.0003771475178276303)	(100, 0.0007655379155905017)	(105, 1.6455958062013682)	(110, 0.000875922554954686)	(115, 0.06255640603967509)	(120, 0.0003863462377746457)	(125, 0.0004057657576627892)	(130, 0.05888202846083951)	(135, 0.0002391667186223997)	(140, 0.0005672543967326146)	(145, 0.0008360614351842861)	(150, 0.0004369391974832302)
CZP-2_S4_R1_001	(1, 27.7896499338785)	(2, 0.004305585794907066)	(3, 0.010077596269252679)	(4, 0.0077170598755453524)	(5, 0.0)	(6, 1.2220205661987889e-05)	(7, 0.0)	(8, 0.00043178060005690547)	(9, 0.0)	(10, 0.0)	(15, 6.1101028309939445e-06)	(20, 1.1405525284522029e-05)	(25, 0.0003230207696652132)	(30, 0.0011417745490184018)	(35, 0.000752764668778454)	(40, 0.0002888041938116471)	(45, 0.0005368743687500012)	(50, 0.0007580600912319821)	(55, 0.0032579068294859713)	(60, 0.0005205807612006841)	(65, 0.001273752770167871)	(70, 0.0006106029429106616)	(75, 0.0004615164338344093)	(80, 0.060652139421955756)	(85, 5.3768904912746716e-05)	(90, 0.00020652147568759536)	(95, 0.0003433877791018597)	(100, 0.00016660213719176821)	(105, 0.027840887219518273)	(110, 0.00933094170330522)	(115, 0.000289618874189113)	(120, 0.0005140633181809572)	(125, 0.0003543859641976488)	(130, 0.00044033474402029694)	(135, 0.0007148820312262915)	(140, 0.00039634200363714055)	(145, 0.0002590683600341432)	(150, 0.00038697317929628315)
CZP-2_S4_R2_001	(1, 25.708593717062726)	(2, 0.0036782819042583547)	(3, 9.368824340857382e-05)	(4, 8.146803774658593e-05)	(5, 5.702762642261015e-05)	(6, 0.000405303487789265)	(7, 0.00018533978587348298)	(8, 0.00013645896322553143)	(9, 0.00022200040285944665)	(10, 0.0004382980430766323)	(15, 0.0007543940295333857)	(20, 0.0008358620672799717)	(25, 0.001309598706776369)	(30, 0.0008183464391644557)	(35, 0.001535265171334412)	(40, 0.001018350471832324)	(45, 0.06164767884321904)	(50, 0.0006749626927304644)	(55, 0.0006476709000853581)	(60, 0.0006912563002797816)	(65, 0.06117638624485504)	(70, 0.001024867914852051)	(75, 0.0004521476094935519)	(80, 0.05775635802025336)	(85, 0.05735716463529509)	(90, 0.0004953256694992425)	(95, 0.00034949788193285367)	(100, 0.0007213994742460184)	(105, 1.6254653607068656)	(110, 0.000822419841051785)	(115, 0.061622831091706326)	(120, 0.00034827586136665486)	(125, 0.0003922686017498112)	(130, 0.058151070663135566)	(135, 0.00022200040285944665)	(140, 0.0005352450079950695)	(145, 0.0007474692463249259)	(150, 0.00040224843637376803)
ELP-1_S49_R1_001	(1, 27.693828014479198)	(2, 0.00436149032651207)	(3, 0.009721171977751238)	(4, 0.007585200567847077)	(5, 0.0)	(6, 3.160500236602949e-05)	(7, 0.0)	(8, 0.0003924287793781995)	(9, 0.0)	(10, 0.0)	(15, 6.321000473205898e-06)	(20, 1.3168750985845621e-05)	(25, 0.0003207907740151993)	(30, 0.0010814178309576424)	(35, 0.0007448245557594282)	(40, 0.0002723297703872874)	(45, 0.0005357047901041999)	(50, 0.0007527258063509357)	(55, 0.003292714496500839)	(60, 0.0005810052934955087)	(65, 0.0013000190973226796)	(70, 0.0006384210477937957)	(75, 0.0004798692859242144)	(80, 0.06072901204632567)	(85, 4.266675319413981e-05)	(90, 0.0001827822636835372)	(95, 0.0003365932751982141)	(100, 0.00018963001419617693)	(105, 0.0275390188116398)	(110, 0.00959475196828712)	(115, 0.00028760552153086837)	(120, 0.00045089803375535407)	(125, 0.0003365932751982141)	(130, 0.0004071777804823466)	(135, 0.0007753760580465901)	(140, 0.0003755727781163171)	(145, 0.00023598401766635355)	(150, 0.00035292252642066263)
ELP-1_S49_R2_001	(1, 25.627390243530503)	(2, 0.0038452752878669217)	(3, 0.00010798375808393409)	(4, 0.00010798375808393409)	(5, 6.321000473205898e-05)	(6, 0.0003028812726744493)	(7, 0.00021333376597069904)	(8, 0.00017646126321033131)	(9, 0.00019226376439334606)	(10, 0.00039295552941763333)	(15, 0.0007400838054045239)	(20, 0.0008380593127392152)	(25, 0.0012979120971649443)	(30, 0.0008280510619899726)	(35, 0.001494389861873761)	(40, 0.0010387510777635025)	(45, 0.062258167410802055)	(50, 0.0006384210477937957)	(55, 0.0006004950449545603)	(60, 0.0006647585497654869)	(65, 0.061763022373734267)	(70, 0.0010350638274874658)	(75, 0.000415079031073854)	(80, 0.05830648861496951)	(85, 0.057862438331726794)	(90, 0.00046248653462289816)	(95, 0.00033185252484330965)	(100, 0.0007163800536300018)	(105, 1.6677838596044694)	(110, 0.0008291045620688403)	(115, 0.06234718816746637)	(120, 0.0003760995281557509)	(125, 0.00037135877780084653)	(130, 0.05869839064430827)	(135, 0.0002423050181395594)	(140, 0.000526223289394391)	(145, 0.0007643143072184799)	(150, 0.00037794315329376933)
FRUpstream-1_S1_R1_001	(1, 27.51928123394131)	(2, 0.004288322285798302)	(3, 0.010000079279907804)	(4, 0.007585645724038172)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0005405448259409624)	(9, 0.0)	(10, 0.0)	(15, 1.8018160864698748e-05)	(20, 7.207264345879499e-06)	(25, 0.00038919227467749295)	(30, 0.001308118478777129)	(35, 0.0008468535606408411)	(40, 0.0003207232633916377)	(45, 0.0005369411937680227)	(50, 0.0007891954458738051)	(55, 0.0037441738276844)	(60, 0.0005081121363845046)	(65, 0.0014054165474465025)	(70, 0.0006270319980915165)	(75, 0.0005369411937680227)	(80, 0.061470757606006246)	(85, 0.00010450533301525275)	(90, 0.0002414433555869632)	(95, 0.0003855886425045532)	(100, 0.0001657670799552285)	(105, 0.027823644007267806)	(110, 0.009549625258290336)	(115, 0.00038919227467749295)	(120, 0.0006054102050538779)	(125, 0.00046847218248216745)	(130, 0.00048649034334686614)	(135, 0.0007783845493549859)	(140, 0.0005189230329033239)	(145, 0.00028108330948930046)	(150, 0.00045946310204981805)
FRUpstream-1_S1_R2_001	(1, 25.469264981560215)	(2, 0.0038378682641808334)	(3, 9.009080432349374e-05)	(4, 5.405448259409624e-05)	(5, 1.8018160864698748e-05)	(6, 0.00036036321729397496)	(7, 0.00028829057383517997)	(8, 0.0002702724129704812)	(9, 0.00028829057383517997)	(10, 0.0005621666189786009)	(15, 0.0009297371006184554)	(20, 0.0009873952153854914)	(25, 0.001409020179619442)	(30, 0.0009513588936560938)	(35, 0.0016901034891087425)	(40, 0.0011567659275136595)	(45, 0.0629266250038739)	(50, 0.0008036099745655642)	(55, 0.0007243300667608896)	(60, 0.0008036099745655642)	(65, 0.062299593005782396)	(70, 0.0011207296057842622)	(75, 0.0004973012398656855)	(80, 0.05759685302009601)	(85, 0.05718964258455382)	(90, 0.0005729775154974202)	(95, 0.0004576612859633482)	(100, 0.0008144208710843833)	(105, 1.6470184628490747)	(110, 0.0009117189397537566)	(115, 0.06237887291358706)	(120, 0.00040000317119631213)	(125, 0.000418021332061011)	(130, 0.057892350858277083)	(135, 0.0002414433555869632)	(140, 0.0005513557224597816)	(145, 0.0008396462962949615)	(150, 0.00042342678032042055)
FRUpstream-2_S2_R1_001	(1, 27.569838607838093)	(2, 0.004363869002081294)	(3, 0.010293719703474057)	(4, 0.00711999679286948)	(5, 0.0)	(6, 2.087975599081959e-05)	(7, 0.0)	(8, 0.0004802343877888506)	(9, 0.0)	(10, 0.0)	(15, 4.1759511981639175e-06)	(20, 8.351902396327835e-06)	(25, 0.0003257241934567856)	(30, 0.0013864157977904207)	(35, 0.0008894776052089144)	(40, 0.0003299001446549495)	(45, 0.0006430964845172433)	(50, 0.0008978295076052423)	(55, 0.0034785673480705434)	(60, 0.0006347445821209155)	(65, 0.0014532310169610434)	(70, 0.0007224395572823578)	(75, 0.00045517868059986703)	(80, 0.061540992807341655)	(85, 4.175951198163918e-05)	(90, 0.00020462160871003197)	(95, 0.00033825204705127736)	(100, 0.00021714946230452374)	(105, 0.027055987812904022)	(110, 0.009713262486929273)	(115, 0.0003340760958531134)	(120, 0.00046353058299619486)	(125, 0.0004259470222127196)	(130, 0.0004969381925815062)	(135, 0.0008435421420291114)	(140, 0.00048441033898701446)	(145, 0.00027143682788065466)	(150, 0.00038627548583016245)
FRUpstream-2_S2_R2_001	(1, 25.508630855936364)	(2, 0.00357043827443015)	(3, 0.0001461582919357371)	(4, 6.263926797245877e-05)	(5, 0.0)	(6, 0.000354955851843933)	(7, 0.0001879178039173763)	(8, 0.0001461582919357371)	(9, 0.0003340760958531134)	(10, 0.00048441033898701446)	(15, 0.0008811257028125866)	(20, 0.0009395890195868816)	(25, 0.0012486094082510115)	(30, 0.0008393661908309474)	(35, 0.0015868614553022889)	(40, 0.0011400346770987495)	(45, 0.06342017084651543)	(50, 0.0006973838500933743)	(55, 0.0006806800453007186)	(60, 0.000760023118065833)	(65, 0.06225090451102952)	(70, 0.001114978969909766)	(75, 0.0004134191686182279)	(80, 0.058901791650102064)	(85, 0.05850090033507832)	(90, 0.00046353058299619486)	(95, 0.0003507799006457691)	(100, 0.0007474952644713412)	(105, 1.6601159912204801)	(110, 0.0008602459468217671)	(115, 0.062246728559831356)	(120, 0.0003967153638255722)	(125, 0.0004008913150237361)	(130, 0.05936532223309826)	(135, 0.00022132541350268766)	(140, 0.0006472724357154073)	(145, 0.0008310142884346198)	(150, 0.00041759511981639177)
