Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CZP-1_S3_R1_001	(1, 21.218638395252643)	(2, 31.651860134485286)	(3, 34.25165985791044)	(4, 36.10128761637658)	(5, 36.393048322920045)	(6, 39.96220711020169)	(7, 40.120190525931704)	(8, 40.179447095606385)	(9, 40.20858317227056)	(10, 40.23261322346655)	(15, 40.201957467163126)	(20, 40.1570993471975)	(25, 40.04705830046495)	(30, 39.98328290049949)	(35, 39.936990373028536)	(40, 39.87300980072506)	(45, 39.82480307073713)	(50, 39.754395035961885)	(55, 39.679338295191016)	(60, 39.61646742579954)	(65, 39.51824311603572)	(70, 39.425567852313534)	(75, 39.05306594357914)	(80, 39.30461580524061)	(85, 39.29229352706519)	(90, 39.151086154188945)	(95, 39.00996003667223)	(100, 38.82317498929372)	(105, 38.530871854676576)	(110, 38.26016657859744)	(115, 37.917499808360006)	(120, 37.52349387825188)	(125, 37.022529157387034)	(130, 36.47111600914557)	(135, 35.78804967717603)	(140, 35.14435465358132)	(145, 34.51995785964185)	(150, 31.820894994567645)
CZP-1_S3_R2_001	(1, 21.142743283145798)	(2, 31.29807455460309)	(3, 33.31405094251107)	(4, 35.3761287595935)	(5, 35.76173991743638)	(6, 39.17076570144839)	(7, 39.269167015025594)	(8, 39.24330179875858)	(9, 39.380679826287285)	(10, 39.417265660054156)	(15, 39.36086160321423)	(20, 39.28433482522943)	(25, 39.157645025485564)	(30, 39.10803139216493)	(35, 38.77817070166814)	(40, 38.57467916397945)	(45, 38.37550708965788)	(50, 38.257841612351626)	(55, 38.05425548115949)	(60, 37.86341763108432)	(65, 37.52633832687549)	(70, 37.168203806839145)	(75, 35.9222055259777)	(80, 36.406950930961564)	(85, 35.89759771340264)	(90, 35.209221369239685)	(95, 34.31277449746882)	(100, 33.83567448591931)	(105, 32.74993752024996)	(110, 32.57228226374366)	(115, 31.799776695962883)	(120, 31.169106375019545)	(125, 30.2920491579594)	(130, 29.27582964788322)	(135, 28.357104488259882)	(140, 27.03929036986009)	(145, 26.015754473899655)	(150, 22.52710441160388)
CZP-2_S4_R1_001	(1, 21.224606035844715)	(2, 31.662678636493894)	(3, 34.26728156025956)	(4, 36.119391205647524)	(5, 36.40574425024048)	(6, 39.98021974373821)	(7, 40.13669149337227)	(8, 40.196868531565094)	(9, 40.225116270165124)	(10, 40.24760635295905)	(15, 40.21912486219172)	(20, 40.17610663025589)	(25, 40.068571333719355)	(30, 40.00919447051987)	(35, 39.962860957888964)	(40, 39.901829279246165)	(45, 39.85461735786526)	(50, 39.78645038260446)	(55, 39.712933160974124)	(60, 39.65276356488654)	(65, 39.55754259403601)	(70, 39.46743038199752)	(75, 39.10243096958574)	(80, 39.35060892266463)	(85, 39.33951978665151)	(90, 39.2012399272409)	(95, 39.06431386294754)	(100, 38.88004342246411)	(105, 38.591236621675264)	(110, 38.325269633746174)	(115, 37.988151097140246)	(120, 37.59835664710958)	(125, 37.100213283322816)	(130, 36.54954793182185)	(135, 35.866193953808846)	(140, 35.22751741022884)	(145, 34.60038705057393)	(150, 31.904202325057064)
CZP-2_S4_R2_001	(1, 21.1810543226839)	(2, 31.38630593570013)	(3, 33.52647782511297)	(4, 35.54082526307557)	(5, 35.88722513957003)	(6, 39.31217562227833)	(7, 39.42522419494813)	(8, 39.43580789103487)	(9, 39.525907467380705)	(10, 39.541998630929626)	(15, 39.47568344046041)	(20, 39.40441499736961)	(25, 39.28329870602279)	(30, 39.245084762401525)	(35, 38.93708838121176)	(40, 38.75502587526713)	(45, 38.57132221199572)	(50, 38.46609952013289)	(55, 38.2813610254056)	(60, 38.097295102284136)	(65, 37.77776153531405)	(70, 37.43818267618838)	(75, 36.23109183667858)	(80, 36.72662801144055)	(85, 36.241059870657274)	(90, 35.58165741020033)	(95, 34.72001277011492)	(100, 34.251954371381416)	(105, 33.17970854402156)	(110, 33.009824100323)	(115, 32.24417309432512)	(120, 31.609428234907387)	(125, 30.72873184612073)	(130, 29.70987715230918)	(135, 28.782092429154886)	(140, 27.443732230038858)	(145, 26.399779559710062)	(150, 22.832703266318404)
ELP-1_S49_R1_001	(1, 21.209569873563925)	(2, 31.637171807400275)	(3, 34.22098043826815)	(4, 36.08013100694881)	(5, 36.3792646374552)	(6, 39.95101485374535)	(7, 40.11507452472727)	(8, 40.17116995371421)	(9, 40.20195614948144)	(10, 40.23234011365106)	(15, 40.201077282843144)	(20, 40.153434580134)	(25, 40.03818962543147)	(30, 39.96861530030296)	(35, 39.91581425034264)	(40, 39.849652417402105)	(45, 39.800687909214)	(50, 39.7294146519158)	(55, 39.65312563860211)	(60, 39.585610258225245)	(65, 39.48484947577704)	(70, 39.38866565075898)	(75, 38.99657529774612)	(80, 39.25466654049247)	(85, 39.2385934004067)	(90, 39.089957307699436)	(95, 38.9422540840445)	(100, 38.74977216085482)	(105, 38.45066379854782)	(110, 38.17262510596565)	(115, 37.82241803920827)	(120, 37.421445653367975)	(125, 36.91359692238915)	(130, 36.35563833900647)	(135, 35.67484156741532)	(140, 35.04130691636234)	(145, 34.41134582185688)	(150, 31.78477639974407)
ELP-1_S49_R2_001	(1, 21.117958691893183)	(2, 31.13661551985238)	(3, 33.2375795962108)	(4, 35.22679660150356)	(5, 35.629199761603466)	(6, 38.93301828062308)	(7, 39.111237387727506)	(8, 39.12907351278776)	(9, 39.22925865752538)	(10, 39.23622820318214)	(15, 39.1893618984261)	(20, 39.09061866344394)	(25, 38.94280755611343)	(30, 38.891006098632936)	(35, 38.6166919080896)	(40, 38.42348613026323)	(45, 38.20776320520868)	(50, 38.06990522950328)	(55, 37.8513835023942)	(60, 37.65305325787919)	(65, 37.310771408840125)	(70, 36.93956884403097)	(75, 35.69210031648986)	(80, 36.17951342676632)	(85, 35.65883351783192)	(90, 34.974478950054426)	(95, 34.091278886675866)	(100, 33.610113527012125)	(105, 32.51458437854807)	(110, 32.331564213476724)	(115, 31.551508940014838)	(120, 30.915869948891817)	(125, 30.038467554554778)	(130, 29.017316480878854)	(135, 28.098080420140047)	(140, 26.78742861516388)	(145, 25.76792479947877)	(150, 22.41225554551248)
FRUpstream-1_S1_R1_001	(1, 21.266784277208686)	(2, 31.636718741553988)	(3, 34.21178149880828)	(4, 36.05540872756469)	(5, 36.36315693313605)	(6, 39.93309208217146)	(7, 40.10242783906755)	(8, 40.167638986687464)	(9, 40.193821356421566)	(10, 40.21998725755663)	(15, 40.192007107804095)	(20, 40.14791472220681)	(25, 40.02999393148342)	(30, 39.961196304979715)	(35, 39.911960527254635)	(40, 39.847541385913686)	(45, 39.797434646328725)	(50, 39.72720111654939)	(55, 39.65184880745001)	(60, 39.58511826039702)	(65, 39.48519703579632)	(70, 39.390569943257205)	(75, 38.99317255848514)	(80, 39.25026054260611)	(85, 39.233904557081175)	(90, 39.08765939766008)	(95, 38.939990695421734)	(100, 38.750255857884284)	(105, 38.45460133377634)	(110, 38.18440719169665)	(115, 37.835985798806334)	(120, 37.4420442612518)	(125, 36.94856240301725)	(130, 36.40335699958702)	(135, 35.73992532553411)	(140, 35.13027389766694)	(145, 34.520718902996705)	(150, 31.930776388137133)
FRUpstream-1_S1_R2_001	(1, 21.183656591151355)	(2, 31.2970719047142)	(3, 33.37830642260948)	(4, 35.343712094294084)	(5, 35.71182654421044)	(6, 39.13243960853023)	(7, 39.272448286076504)	(8, 39.30077535749833)	(9, 39.393854473801234)	(10, 39.422522809189836)	(15, 39.38107938153023)	(20, 39.31535904068429)	(25, 39.18455940911964)	(30, 39.128278746714386)	(35, 38.839705503971565)	(40, 38.65191273588475)	(45, 38.462154186447606)	(50, 38.35343721643919)	(55, 38.147007039335094)	(60, 37.957948459411206)	(65, 37.62799265435618)	(70, 37.271286330918656)	(75, 36.01089781612683)	(80, 36.5238115040912)	(85, 36.031369582029114)	(90, 35.37357117786159)	(95, 34.52111108628608)	(100, 34.05653889868677)	(105, 32.97427669696841)	(110, 32.81098639340564)	(115, 32.045349909080365)	(120, 31.421583810754537)	(125, 30.557754115528127)	(130, 29.549469365162537)	(135, 28.641986747282317)	(140, 27.32878761561353)	(145, 26.310496191321157)	(150, 22.865181453690802)
FRUpstream-2_S2_R1_001	(1, 21.260086592524043)	(2, 31.630261280914567)	(3, 34.20010302071606)	(4, 36.0472577781267)	(5, 36.352675364894615)	(6, 39.91986621087551)	(7, 40.090194073155985)	(8, 40.158163316440216)	(9, 40.18372744568758)	(10, 40.207738622203365)	(15, 40.18218380532718)	(20, 40.13758957415321)	(25, 40.01494639749042)	(30, 39.943775995296214)	(35, 39.892036252267545)	(40, 39.82414255194048)	(45, 39.77509420945903)	(50, 39.70240259176235)	(55, 39.62735072644847)	(60, 39.55872047184908)	(65, 39.45487158114875)	(70, 39.35796750608854)	(75, 38.9551115313046)	(80, 39.21516605252344)	(85, 39.19674730985224)	(90, 39.04756107746223)	(95, 38.89708681468464)	(100, 38.704955517767836)	(105, 38.40539929610166)	(110, 38.12600824165729)	(115, 37.77525527589675)	(120, 37.374843861184694)	(125, 36.873923899135754)	(130, 36.31820702194546)	(135, 35.644638621535215)	(140, 35.028497776723576)	(145, 34.414117137101485)	(150, 31.8270177987392)
FRUpstream-2_S2_R2_001	(1, 21.250583171584825)	(2, 31.320359766547625)	(3, 33.49240874711442)	(4, 35.44423580928264)	(5, 35.80241466026131)	(6, 39.174688390521595)	(7, 39.337597049105845)	(8, 39.37401677229039)	(9, 39.45310448563974)	(10, 39.44891771872797)	(15, 39.399897772714674)	(20, 39.32078730043129)	(25, 39.184743788690184)	(30, 39.12735097700554)	(35, 38.85768283149535)	(40, 38.66508988317359)	(45, 38.45851998443205)	(50, 38.34149872382931)	(55, 38.13129211446783)	(60, 37.93137717859374)	(65, 37.595123240671754)	(70, 37.22997810966382)	(75, 35.963248038138126)	(80, 36.464948234908945)	(85, 35.963611638208945)	(90, 35.298268817671286)	(95, 34.43822765949628)	(100, 33.97002731907274)	(105, 32.87886847591144)	(110, 32.71469442059512)	(115, 31.94074884827266)	(120, 31.311767830476423)	(125, 30.440070465000513)	(130, 29.422916158592603)	(135, 28.507396528281213)	(140, 27.19100658798061)	(145, 26.176252576561886)	(150, 22.767529807939653)
FZP-1_S50_R1_001	(1, 21.19379782886925)	(2, 31.621852349668632)	(3, 34.18872913281084)	(4, 36.05053909187472)	(5, 36.35797981107883)	(6, 39.924966846170065)	(7, 40.092764820664016)	(8, 40.1489622527916)	(9, 40.18223265334396)	(10, 40.21371778725343)	(15, 40.18078431949184)	(20, 40.13126904127043)	(25, 40.007520765544186)	(30, 39.930918455426294)	(35, 39.875662068268696)	(40, 39.8074581457441)	(45, 39.754359259902934)	(50, 39.67921545256358)	(55, 39.599292308860655)	(60, 39.5271867665064)	(65, 39.422729806369354)	(70, 39.32090646825804)	(75, 38.912594357096204)	(80, 39.176568277874594)	(85, 39.156961737377024)	(90, 39.00164032696229)	(95, 38.84328191529663)	(100, 38.64418226093973)	(105, 38.33612109549691)	(110, 38.04468541611193)	(115, 37.677663941311714)	(120, 37.26620960826544)	(125, 36.74367820225664)	(130, 36.17381202639126)	(135, 35.479566605316506)	(140, 34.83286789531155)	(145, 34.19304972185742)	(150, 31.57184260887646)
FZP-1_S50_R2_001	(1, 21.05600238007207)	(2, 30.976672884356926)	(3, 33.036984479867975)	(4, 35.02699737763348)	(5, 35.465991289328336)	(6, 38.721148786333906)	(7, 38.90302186596729)	(8, 38.91639648443324)	(9, 39.03267674075397)	(10, 39.046003160162186)	(15, 38.99045541731839)	(20, 38.87515911387668)	(25, 38.713157108554945)	(30, 38.661875566945696)	(35, 38.38041062030392)	(40, 38.18061644362645)	(45, 37.9502431832023)	(50, 37.800691463375244)	(55, 37.57184837244915)	(60, 37.35827482805095)	(65, 37.00253234613254)	(70, 36.61440303825318)	(75, 35.33324434046392)	(80, 35.81197155464283)	(85, 35.267386735314595)	(90, 34.557346302316745)	(95, 33.649596003670965)	(100, 33.15677404332518)	(105, 32.05916580198313)	(110, 31.859405568969446)	(115, 31.07054031899603)	(120, 30.4295474750975)	(125, 29.554228280351275)	(130, 28.537232531990043)	(135, 27.621977979018588)	(140, 26.32554460890114)	(145, 25.321626466042368)	(150, 22.07735237178398)
