Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
CZP-1_S3_R1_001	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 12.0)	(16.0, 69.0)	(17.0, 279.0)	(18.0, 796.0)	(19.0, 1994.0)	(20.0, 4456.0)	(21.0, 8871.0)	(22.0, 15886.0)	(23.0, 26190.0)	(24.0, 40276.0)	(25.0, 58776.0)	(26.0, 82329.0)	(27.0, 111315.0)	(28.0, 144482.0)	(29.0, 181274.0)	(30.0, 223489.0)	(31.0, 269915.0)	(32.0, 324848.0)	(33.0, 389528.0)	(34.0, 475332.0)	(35.0, 593178.0)	(36.0, 777818.0)	(37.0, 1121028.0)	(38.0, 1945675.0)	(39.0, 4869971.0)	(40.0, 7900150.0)		
CZP-1_S3_R2_001	(11.0, 33.0)	(12.0, 372.0)	(13.0, 1479.0)	(14.0, 4687.0)	(15.0, 13504.0)	(16.0, 29579.0)	(17.0, 47319.0)	(18.0, 61239.0)	(19.0, 76251.0)	(20.0, 94452.0)	(21.0, 116212.0)	(22.0, 141636.0)	(23.0, 170691.0)	(24.0, 206410.0)	(25.0, 249925.0)	(26.0, 301683.0)	(27.0, 357892.0)	(28.0, 418792.0)	(29.0, 492087.0)	(30.0, 582790.0)	(31.0, 702405.0)	(32.0, 862371.0)	(33.0, 1066754.0)	(34.0, 1347063.0)	(35.0, 1720839.0)	(36.0, 2204457.0)	(37.0, 2752267.0)	(38.0, 3067613.0)	(39.0, 2190990.0)	(40.0, 286148.0)	
CZP-2_S4_R1_001	(13.0, 1.0)	(14.0, 2.0)	(15.0, 24.0)	(16.0, 138.0)	(17.0, 493.0)	(18.0, 1370.0)	(19.0, 4081.0)	(20.0, 10000.0)	(21.0, 20141.0)	(22.0, 36623.0)	(23.0, 61529.0)	(24.0, 96777.0)	(25.0, 142838.0)	(26.0, 201693.0)	(27.0, 271868.0)	(28.0, 352610.0)	(29.0, 444135.0)	(30.0, 545709.0)	(31.0, 659631.0)	(32.0, 794135.0)	(33.0, 957065.0)	(34.0, 1165101.0)	(35.0, 1453839.0)	(36.0, 1904173.0)	(37.0, 2740049.0)	(38.0, 4776303.0)	(39.0, 12258136.0)	(40.0, 20200546.0)			
CZP-2_S4_R2_001	(10.0, 2.0)	(11.0, 77.0)	(12.0, 774.0)	(13.0, 3046.0)	(14.0, 9699.0)	(15.0, 27116.0)	(16.0, 60150.0)	(17.0, 98181.0)	(18.0, 130378.0)	(19.0, 164611.0)	(20.0, 205154.0)	(21.0, 254178.0)	(22.0, 312915.0)	(23.0, 381516.0)	(24.0, 465843.0)	(25.0, 566084.0)	(26.0, 685288.0)	(27.0, 813020.0)	(28.0, 955224.0)	(29.0, 1126949.0)	(30.0, 1344158.0)	(31.0, 1628176.0)	(32.0, 2006209.0)	(33.0, 2526193.0)	(34.0, 3249384.0)	(35.0, 4254395.0)	(36.0, 5605275.0)	(37.0, 7220974.0)	(38.0, 8262167.0)	(39.0, 5970528.0)	(40.0, 771346.0)
ELP-1_S49_R1_001	(12.0, 1.0)	(13.0, 7.0)	(14.0, 10.0)	(15.0, 55.0)	(16.0, 258.0)	(17.0, 708.0)	(18.0, 1665.0)	(19.0, 3946.0)	(20.0, 8848.0)	(21.0, 18011.0)	(22.0, 32171.0)	(23.0, 52686.0)	(24.0, 82676.0)	(25.0, 119682.0)	(26.0, 167069.0)	(27.0, 224272.0)	(28.0, 291075.0)	(29.0, 365440.0)	(30.0, 450826.0)	(31.0, 546567.0)	(32.0, 660025.0)	(33.0, 796104.0)	(34.0, 966225.0)	(35.0, 1197691.0)	(36.0, 1552602.0)	(37.0, 2188214.0)	(38.0, 3697994.0)	(39.0, 9230097.0)	(40.0, 15313748.0)		
ELP-1_S49_R2_001	(10.0, 3.0)	(11.0, 127.0)	(12.0, 1584.0)	(13.0, 5594.0)	(14.0, 15163.0)	(15.0, 38832.0)	(16.0, 83069.0)	(17.0, 128898.0)	(18.0, 160452.0)	(19.0, 187652.0)	(20.0, 223337.0)	(21.0, 265984.0)	(22.0, 315028.0)	(23.0, 374198.0)	(24.0, 445199.0)	(25.0, 528711.0)	(26.0, 627828.0)	(27.0, 733388.0)	(28.0, 850175.0)	(29.0, 986704.0)	(30.0, 1155573.0)	(31.0, 1372535.0)	(32.0, 1653844.0)	(33.0, 2032416.0)	(34.0, 2543558.0)	(35.0, 3240371.0)	(36.0, 4164242.0)	(37.0, 5235113.0)	(38.0, 5852593.0)	(39.0, 4198710.0)	(40.0, 547792.0)
FRUpstream-1_S1_R1_001	(15.0, 2.0)	(16.0, 14.0)	(17.0, 32.0)	(18.0, 113.0)	(19.0, 458.0)	(20.0, 1196.0)	(21.0, 2632.0)	(22.0, 4707.0)	(23.0, 7852.0)	(24.0, 12418.0)	(25.0, 17873.0)	(26.0, 25337.0)	(27.0, 33904.0)	(28.0, 43419.0)	(29.0, 54507.0)	(30.0, 66200.0)	(31.0, 80455.0)	(32.0, 96829.0)	(33.0, 115678.0)	(34.0, 139725.0)	(35.0, 172775.0)	(36.0, 222746.0)	(37.0, 312756.0)	(38.0, 524718.0)	(39.0, 1309898.0)	(40.0, 2303712.0)					
FRUpstream-1_S1_R2_001	(11.0, 14.0)	(12.0, 193.0)	(13.0, 632.0)	(14.0, 1599.0)	(15.0, 3715.0)	(16.0, 7565.0)	(17.0, 11804.0)	(18.0, 15856.0)	(19.0, 20150.0)	(20.0, 24959.0)	(21.0, 31066.0)	(22.0, 38184.0)	(23.0, 46650.0)	(24.0, 57392.0)	(25.0, 69122.0)	(26.0, 83715.0)	(27.0, 99671.0)	(28.0, 115425.0)	(29.0, 134087.0)	(30.0, 157942.0)	(31.0, 188137.0)	(32.0, 228779.0)	(33.0, 285460.0)	(34.0, 364612.0)	(35.0, 475566.0)	(36.0, 631044.0)	(37.0, 815525.0)	(38.0, 918707.0)	(39.0, 642701.0)	(40.0, 79684.0)	
FRUpstream-2_S2_R1_001	(15.0, 2.0)	(16.0, 11.0)	(17.0, 34.0)	(18.0, 115.0)	(19.0, 400.0)	(20.0, 1089.0)	(21.0, 2267.0)	(22.0, 4177.0)	(23.0, 7086.0)	(24.0, 10762.0)	(25.0, 16130.0)	(26.0, 22545.0)	(27.0, 29688.0)	(28.0, 38368.0)	(29.0, 47875.0)	(30.0, 58202.0)	(31.0, 71008.0)	(32.0, 84871.0)	(33.0, 101472.0)	(34.0, 122939.0)	(35.0, 152010.0)	(36.0, 195542.0)	(37.0, 274602.0)	(38.0, 462197.0)	(39.0, 1152265.0)	(40.0, 1933671.0)					
FRUpstream-2_S2_R2_001	(11.0, 13.0)	(12.0, 111.0)	(13.0, 371.0)	(14.0, 970.0)	(15.0, 2452.0)	(16.0, 5648.0)	(17.0, 9533.0)	(18.0, 13212.0)	(19.0, 17131.0)	(20.0, 21416.0)	(21.0, 27100.0)	(22.0, 33691.0)	(23.0, 41206.0)	(24.0, 50867.0)	(25.0, 61429.0)	(26.0, 74213.0)	(27.0, 88425.0)	(28.0, 102760.0)	(29.0, 118329.0)	(30.0, 138879.0)	(31.0, 164448.0)	(32.0, 201279.0)	(33.0, 249003.0)	(34.0, 317850.0)	(35.0, 416631.0)	(36.0, 548540.0)	(37.0, 702002.0)	(38.0, 778655.0)	(39.0, 536248.0)	(40.0, 66916.0)	
