Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CZP-1_S3_R1_001	(1.0, 75.66933650368671)	(2.0, 10.791003446199781)	(3.0, 3.1634632019263074)	(4.0, 2.0591900359717705)	(5.0, 1.5360424537553683)	(6.0, 1.206954759519483)	(7.0, 0.9580823431659761)	(8.0, 0.8012650865307986)	(9.0, 0.6384886425150658)	('>10', 2.5829545437806667)	('>50', 0.4250552296805554)	('>100', 0.16816375326755295)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CZP-1_S3_R2_001	(1.0, 77.51015334022637)	(2.0, 10.088089545759706)	(3.0, 3.0939302084171283)	(4.0, 1.9386091400441878)	(5.0, 1.4450745137465184)	(6.0, 1.1105056221201366)	(7.0, 0.8865679312224116)	(8.0, 0.7457269488173237)	(9.0, 0.5277062859293388)	('>10', 2.161678689091925)	('>50', 0.39185696168229245)	('>100', 0.10010081294274344)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CZP-2_S4_R1_001	(1.0, 67.2280160454438)	(2.0, 11.512611279485853)	(3.0, 3.4350217165174097)	(4.0, 1.7758237109349266)	(5.0, 1.266835322418238)	(6.0, 0.9379040718993833)	(7.0, 0.8898297128939368)	(8.0, 0.8366328664483468)	(9.0, 0.7361182832180814)	('>10', 10.05889243856095)	('>50', 0.6268240430763934)	('>100', 0.6866701416635719)	('>500', 0.008820367439098052)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CZP-2_S4_R2_001	(1.0, 69.36539770480685)	(2.0, 10.736913321087952)	(3.0, 3.1812591318266596)	(4.0, 1.7057795948255465)	(5.0, 1.182439991280966)	(6.0, 0.9914456123070398)	(7.0, 0.8672048613803255)	(8.0, 0.7778198512684761)	(9.0, 0.7244095006075091)	('>10', 9.36154229354509)	('>50', 0.5178806572454246)	('>100', 0.5811145610166781)	('>500', 0.006792918801570631)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ELP-1_S49_R1_001	(1.0, 70.03257632123413)	(2.0, 11.601189169841252)	(3.0, 3.103929958626026)	(4.0, 1.5971865524575402)	(5.0, 1.2749661747683942)	(6.0, 1.1203214909037975)	(7.0, 1.0847563177150361)	(8.0, 0.9243630715142439)	(9.0, 0.8561785603410532)	('>10', 7.335059041849002)	('>50', 0.5306347534040033)	('>100', 0.5119016526388163)	('>500', 0.020560298655428716)	('>1k', 0.006376636051503995)	('>5k', 0.0)	('>10k+', 0.0)
ELP-1_S49_R2_001	(1.0, 72.86330659273592)	(2.0, 10.49662563645002)	(3.0, 2.8529588943784194)	(4.0, 1.5060512819893546)	(5.0, 1.2576521982323043)	(6.0, 1.0486882378407345)	(7.0, 1.0149963212661501)	(8.0, 0.9188118119392544)	(9.0, 0.8082441465254698)	('>10', 6.344693336339927)	('>50', 0.4768379806549673)	('>100', 0.3912392825138481)	('>500', 0.013578288892762138)	('>1k', 0.006315990240823921)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-1_S1_R1_001	(1.0, 79.56520352095805)	(2.0, 11.760221934858153)	(3.0, 3.846793922296199)	(4.0, 1.903722898824649)	(5.0, 0.9652473553502514)	(6.0, 0.5097553806747067)	(7.0, 0.2931958932923656)	(8.0, 0.1661096448825893)	(9.0, 0.11287630718908288)	('>10', 0.8649648101784914)	('>50', 0.006512521404307711)	('>100', 0.005395810091148241)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-1_S1_R2_001	(1.0, 81.24977758600286)	(2.0, 10.899319010052938)	(3.0, 3.6250565428202854)	(4.0, 1.7024554534566245)	(5.0, 0.8413256625212093)	(6.0, 0.43567575284576415)	(7.0, 0.24998601161810222)	(8.0, 0.1416267580394729)	(9.0, 0.09137453895915626)	('>10', 0.7510734521879759)	('>50', 0.006375735180108593)	('>100', 0.005953496315495616)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-2_S2_R1_001	(1.0, 80.74177368147865)	(2.0, 11.896619013272629)	(3.0, 3.4547385627891094)	(4.0, 1.5502681952651294)	(5.0, 0.8005122225727656)	(6.0, 0.36316311736975015)	(7.0, 0.21075122103755578)	(8.0, 0.11838621227314744)	(9.0, 0.08814105821958684)	('>10', 0.7647759168403269)	('>50', 0.0016633248801300414)	('>100', 0.00920747400126227)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-2_S2_R2_001	(1.0, 82.48534881349654)	(2.0, 10.890191609416409)	(3.0, 3.1495460828460877)	(4.0, 1.4096525538300957)	(5.0, 0.6923925837940519)	(6.0, 0.3210955407489869)	(7.0, 0.15860100178179537)	(8.0, 0.12698968443627578)	(9.0, 0.077249046499214)	('>10', 0.6785912813729429)	('>50', 0.0)	('>100', 0.01034180177758799)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
