Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CZP-1_S3_R1_001	CZP-1_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19567940.0	2.9 Gbp	0.0	151.0	39.0	83.63744041490745	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
CZP-1_S3_R2_001	CZP-1_S3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19567940.0	2.9 Gbp	0.0	151.0	40.0	84.97804933891001	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
CZP-2_S4_R1_001	CZP-2_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49099010.0	7.4 Gbp	0.0	151.0	39.0	75.86504245316341	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
CZP-2_S4_R2_001	CZP-2_S4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49099010.0	7.4 Gbp	0.0	151.0	40.0	77.4598849594391	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
ELP-1_S49_R1_001	ELP-1_S49_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37968673.0	5.7 Gbp	0.0	151.0	37.0	78.55849209060779	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
ELP-1_S49_R2_001	ELP-1_S49_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37968673.0	5.7 Gbp	0.0	151.0	37.0	80.63574344457703	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
FRUpstream-1_S1_R1_001	FRUpstream-1_S1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5549956.0	838 Mbp	0.0	151.0	36.0	87.60725417891787	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
FRUpstream-1_S1_R2_001	FRUpstream-1_S1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5549956.0	838 Mbp	0.0	151.0	36.0	88.68212935205298	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
FRUpstream-2_S2_R1_001	FRUpstream-2_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4789328.0	723.1 Mbp	0.0	151.0	36.0	88.55241514817004	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
FRUpstream-2_S2_R2_001	FRUpstream-2_S2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4789328.0	723.1 Mbp	0.0	151.0	36.0	89.61612316662858	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
FZP-1_S50_R1_001	FZP-1_S50_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16933941.0	2.5 Gbp	0.0	151.0	36.0	83.75377200840094	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
FZP-1_S50_R2_001	FZP-1_S50_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16933941.0	2.5 Gbp	0.0	151.0	36.0	85.60561459407609	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
FZP-2_S51_R1_001	FZP-2_S51_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13433265.0	2 Gbp	0.0	151.0	38.0	84.09025395639051	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	warn
FZP-2_S51_R2_001	FZP-2_S51_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13433265.0	2 Gbp	0.0	151.0	39.0	85.38387123571196	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	warn
FZP-3_S52_R1_001	FZP-3_S52_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12451782.0	1.8 Gbp	0.0	151.0	40.0	84.93580202116553	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	warn
FZP-3_S52_R2_001	FZP-3_S52_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12451782.0	1.8 Gbp	0.0	151.0	40.0	86.06584332795434	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	warn
HFP-1_S53_R1_001	HFP-1_S53_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11711442.0	1.7 Gbp	0.0	151.0	41.0	83.93597471194204	151.0	151	pass	fail	fail	pass	warn	warn	fail	pass	pass	pass	warn
HFP-1_S53_R2_001	HFP-1_S53_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11711442.0	1.7 Gbp	0.0	151.0	41.0	84.96421717904255	151.0	151	pass	fail	fail	pass	warn	warn	fail	pass	pass	pass	warn
KTP-10_S22_R1_001	KTP-10_S22_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32787653.0	4.9 Gbp	0.0	151.0	37.0	81.88328481732707	151.0	151	pass	fail	fail	pass	warn	warn	fail	pass	pass	pass	pass
KTP-10_S22_R2_001	KTP-10_S22_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32787653.0	4.9 Gbp	0.0	151.0	37.0	83.90445914140949	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
KTP-11_S23_R1_001	KTP-11_S23_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12699425.0	1.9 Gbp	0.0	151.0	41.0	87.53433872029186	151.0	151	pass	fail	fail	pass	warn	fail	fail	pass	pass	pass	pass
KTP-11_S23_R2_001	KTP-11_S23_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12699425.0	1.9 Gbp	0.0	151.0	41.0	88.78807917836659	151.0	151	pass	fail	fail	pass	warn	fail	fail	pass	pass	pass	pass
