Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
20150415.B-CAMA_reseq_10_R1 - polya	(1, 0.0019642346569081434)	(2, 0.007336994159627477)	(3, 0.012579767545345536)	(4, 0.017745512120988766)	(5, 0.022607955756962356)	(6, 0.02745114219041724)	(7, 0.03230877152576116)	(8, 0.03743600169636697)	(9, 0.042259930927303145)	(10, 0.04928640269631647)	(12, 0.057754757503917994)	(14, 0.06585241116303442)	(16, 0.07315570521825415)	(18, 0.07972241127713334)	(20, 0.0860122950498061)	(22, 0.0927354658791498)	(24, 0.09923717887952833)	(26, 0.10529597622197662)	(28, 0.11145346672733328)	(30, 0.11744967816159577)	(32, 0.12352773270656274)	(34, 0.12942284382760202)	(36, 0.13523611183793677)	(38, 0.14113122295897604)	(40, 0.14732963501968493)	(42, 0.15323918904261324)	(44, 0.15922577187561637)	(46, 0.16517624745389692)	(48, 0.17132651650830907)	(50, 0.17747197126209155)	(52, 0.18328764642274115)	(54, 0.1889757426167043)	(56, 0.19462532440563005)	(58, 0.20210674758414782)	(60, 0.21034160881121006)	(62, 0.24168270591040614)	(64, 3.398886615950577)	(66, 3.4169691291156434)	(68, 3.423336041698391)	(70, 3.429681289928305)	(72, 3.4359302521456256)	(74, 3.4424464080478927)	(76, 3.4488807208394565)	(78, 3.4548769322737183)	(80, 3.460921286714278)	(82, 3.4669776769064113)	(84, 3.4731809032677496)	(86, 3.479449122687589)	(88, 3.486025457347728)	(90, 3.492247940911585)	(92, 3.498602817742758)	(94, 3.505585960806105)	(96, 3.5120371236498715)	(98, 3.5197375975070395)	(100, 3.5283190883794386)	(102, 3.5363348989278505)	(104, 3.5434095137031605)	(106, 3.550106205879041)	(108, 3.5562781392862863)	(110, 3.5627581879338317)	(112, 3.5693152653914515)	(114, 3.575978257462924)
20150415.B-CAMA_reseq_10_R2 - polya	(1, 0.00546904551531287)	(2, 0.013133412117758371)	(3, 0.019988976214418166)	(4, 0.02728745596900823)	(5, 0.034701478938710534)	(6, 0.041744800759927723)	(7, 0.04852815034714237)	(8, 0.05506115630161382)	(9, 0.06122346110760015)	(10, 0.07039711095744933)	(12, 0.08143389515098345)	(14, 0.09144764046071124)	(16, 0.10123511364084423)	(18, 0.11050986380391661)	(20, 0.11993867158713867)	(22, 0.12956727284649233)	(24, 0.1393114173209582)	(26, 0.1489183542274783)	(28, 0.15841696936983068)	(30, 0.16782892710084885)	(32, 0.17697850544754967)	(34, 0.18639046317856783)	(36, 0.19590352122280924)	(38, 0.20502902806636167)	(40, 0.2142050850665257)	(42, 0.22323430589748458)	(44, 0.23248498455740857)	(46, 0.24190175658905644)	(48, 0.2511909496540179)	(50, 0.26038385670638575)	(52, 0.2710691969539535)	(54, 0.28148493636625926)	(56, 0.3001162798031086)	(58, 3.2665198272879277)	(60, 3.287697935757876)	(62, 3.297755009773271)	(64, 3.3074461969408104)	(66, 3.3189740397985714)	(68, 3.328708555671778)	(70, 3.3392687241029746)	(72, 3.3491163760409783)	(74, 3.35847537646507)	(76, 3.3679715844571074)	(78, 3.3770561697453076)	(80, 3.3863212913071203)	(82, 3.3958415708023066)	(84, 3.4050633636584524)	(86, 3.4142466421095614)	(88, 3.4238054360097845)	(90, 3.432719113625631)	(92, 3.441644826993052)	(94, 3.4508112553919563)	(96, 3.4604013422462727)	(98, 3.469717013964697)	(100, 3.479497265693886)	(102, 3.4889044091242747)	(104, 3.4981647163854577)	(106, 3.507323923333418)	(108, 3.5164061014713033)	(110, 3.525957673920582)	(112, 3.53552368927175)	(114, 3.5456144633915523)
20150415.B-CAMA_reseq_11_R1 - polya	(1, 0.0020010093173940327)	(2, 0.007345674100381721)	(3, 0.012773282274763981)	(4, 0.01796761216084901)	(5, 0.02340040429719343)	(6, 0.02847550305814876)	(7, 0.03379424803132564)	(8, 0.038947106221713386)	(9, 0.043457153128793204)	(10, 0.050885770620569495)	(12, 0.05991364037767237)	(14, 0.06846976959621862)	(16, 0.07643492715107854)	(18, 0.08352140315335221)	(20, 0.0903979286961584)	(22, 0.09737554149722671)	(24, 0.10420022742041128)	(26, 0.11070869166390404)	(28, 0.11723789175524546)	(30, 0.12385003523798144)	(32, 0.13000599006804728)	(34, 0.13639263120542927)	(36, 0.14291146337284635)	(38, 0.14937586393966074)	(40, 0.15555255461757522)	(42, 0.1618640283065059)	(44, 0.16826622132977437)	(46, 0.17459065492361042)	(48, 0.181060239452387)	(50, 0.18767497491610408)	(52, 0.1939890405860158)	(54, 0.20046121709577344)	(56, 0.20697745728220945)	(58, 0.21457455353775595)	(60, 0.22313845869924545)	(62, 0.2527233296172966)	(64, 3.0450100089345584)	(66, 3.061725694281546)	(68, 3.0686281396341624)	(70, 3.075118460010788)	(72, 3.0816528440640916)	(74, 3.088350522919203)	(76, 3.09479677961915)	(78, 3.1012767320718506)	(80, 3.1081040099760164)	(82, 3.11492610391822)	(84, 3.1212842332648103)	(86, 3.128222966351162)	(88, 3.135153923494571)	(90, 3.141768658958288)	(92, 3.148619264691283)	(94, 3.1561567453842647)	(96, 3.1633935562834417)	(98, 3.1714286973247905)	(100, 3.1802958642610664)	(102, 3.1885798354765993)	(104, 3.196192483618032)	(106, 3.2029420020927653)	(108, 3.209929982817758)	(110, 3.2167131970452454)	(112, 3.2235326990064674)	(114, 3.2307150783050416)
20150415.B-CAMA_reseq_11_R2 - polya	(1, 0.005002523293485082)	(2, 0.013416093558071909)	(3, 0.021088357262069753)	(4, 0.02867249361271087)	(5, 0.03609074318056284)	(6, 0.04318758710676084)	(7, 0.050310350842769656)	(8, 0.05709615705123802)	(9, 0.06371089251495508)	(10, 0.07280356179658495)	(12, 0.0842497498090358)	(14, 0.0948302161738058)	(16, 0.1049363500190381)	(18, 0.11488696500540557)	(20, 0.12496977102180815)	(22, 0.13488928223640267)	(24, 0.1445806991246621)	(26, 0.15453649807299175)	(28, 0.16433159420049437)	(30, 0.17390118798264304)	(32, 0.18385439494999162)	(34, 0.1934084368462538)	(36, 0.20303246222900515)	(38, 0.2125916880872295)	(40, 0.22210166630681333)	(42, 0.23205746525514293)	(44, 0.24157521941767002)	(46, 0.2512899641347592)	(48, 0.2612068833683726)	(50, 0.2710486351535347)	(52, 0.28183127603482894)	(54, 0.2926553886118205)	(56, 0.3092725786815267)	(58, 2.7451748330051453)	(60, 2.764358084246121)	(62, 2.7749022628771556)	(64, 2.7849643330457097)	(66, 2.7957754857177957)	(68, 2.8059334591826497)	(70, 2.816539845357231)	(72, 2.8262753259221682)	(74, 2.835979702715333)	(76, 2.845971789397398)	(78, 2.8558861166500304)	(80, 2.865948186818584)	(82, 2.875484084847979)	(84, 2.8853076927662737)	(86, 2.895419010573468)	(88, 2.9053670335788544)	(90, 2.915133617915565)	(92, 2.924609900382395)	(94, 2.934557923387781)	(96, 2.9444800265833573)	(98, 2.954645775991154)	(100, 2.9647233980455945)	(102, 2.9745210861540783)	(104, 2.984479477083389)	(106, 2.9941164623710455)	(108, 3.003862310859908)	(110, 3.0136522230254483)	(112, 3.023193305016805)	(114, 3.0337193397809727)
20150415.B-CAMA_reseq_12_R1 - polya	(1, 0.002221296071275013)	(2, 0.007939483977527521)	(3, 0.01375114226301685)	(4, 0.019540807518097517)	(5, 0.025094047696285048)	(6, 0.03054282098003143)	(7, 0.03577716221729334)	(8, 0.040670611483220966)	(9, 0.04520117574740565)	(10, 0.05270354824556098)	(12, 0.06183890325155958)	(14, 0.07019350567805063)	(16, 0.07811924401157272)	(18, 0.08542642836485118)	(20, 0.09229100298115528)	(22, 0.09896863683898573)	(24, 0.10562427766640752)	(26, 0.11210397425056)	(28, 0.11866889382754606)	(30, 0.1251540886693007)	(32, 0.13155955877582393)	(34, 0.1378798058895136)	(36, 0.1442000530032033)	(38, 0.15069349523136116)	(40, 0.15711546011069094)	(42, 0.16340546680756868)	(44, 0.169846675588506)	(46, 0.1760679540653567)	(48, 0.18225624299659438)	(50, 0.18870295003513388)	(52, 0.1950286954064257)	(54, 0.20114825611763631)	(56, 0.20742451717050867)	(58, 0.2153282624736221)	(60, 0.22407324118986693)	(62, 0.24659135519953726)	(64, 3.5980597748573477)	(66, 3.616072066762043)	(68, 3.6227304567182657)	(70, 3.6296967491002103)	(72, 3.6362011878435725)	(74, 3.642810093481376)	(76, 3.649479479952803)	(78, 3.655909692218536)	(80, 3.662568082174759)	(82, 3.6693391864118263)	(84, 3.675992078110447)	(86, 3.6824167921185778)	(88, 3.688792021808289)	(90, 3.695491648696528)	(92, 3.7024854323664833)	(94, 3.710139006948698)	(96, 3.7169568463753837)	(98, 3.724393239782313)	(100, 3.732706605276788)	(102, 3.7408605213007995)	(104, 3.7483271551245414)	(106, 3.7550735172023986)	(108, 3.7621002904179663)	(110, 3.7690308441254965)	(112, 3.775678237566515)	(114, 3.7828837041541536)
20150415.B-CAMA_reseq_12_R2 - polya	(1, 0.0061250589688127835)	(2, 0.015257664846010299)	(3, 0.023109176701903166)	(4, 0.03092769901218304)	(5, 0.03870223526164558)	(6, 0.04599292484211753)	(7, 0.05305818586090068)	(8, 0.05988152354518853)	(9, 0.06653441524380924)	(10, 0.07602990612274971)	(12, 0.08793363383143882)	(14, 0.0991803197566691)	(16, 0.10990467120969365)	(18, 0.12051630838187379)	(20, 0.13103997343241927)	(22, 0.14123924128443696)	(24, 0.1514989899700785)	(26, 0.1623058152871355)	(28, 0.17255731658637377)	(30, 0.18308098163691927)	(32, 0.19339571289858243)	(34, 0.2038424023426976)	(36, 0.21419562140757592)	(38, 0.22441138403240013)	(40, 0.23517147415983874)	(42, 0.24568689182398096)	(44, 0.25604835827526257)	(46, 0.2666297550306308)	(48, 0.27724139220281097)	(50, 0.2875121374036568)	(52, 0.29886054109452714)	(54, 0.3103683942558603)	(56, 0.32979373836431236)	(58, 3.452754572076109)	(60, 3.4748300763488054)	(62, 3.4861125009484493)	(64, 3.497194239145615)	(66, 3.509364632348009)	(68, 3.5202594297867007)	(70, 3.5320916801465616)	(72, 3.542719812091548)	(74, 3.5532077384676795)	(76, 3.563239309462831)	(78, 3.5736227689445217)	(80, 3.5846027893760466)	(82, 3.59501923840335)	(84, 3.605589638643514)	(86, 3.6163112409677374)	(88, 3.6270548363223694)	(90, 3.6374685362208714)	(92, 3.6479757064986105)	(94, 3.658642326246812)	(96, 3.6687921097804104)	(98, 3.678845673805971)	(100, 3.6894325688189413)	(102, 3.699967230384691)	(104, 3.710862027823383)	(106, 3.7209595779097606)	(108, 3.731557469437935)	(110, 3.742059141458072)	(112, 3.752679026016655)	(114, 3.763342896636056)
20150415.B-CAMA_reseq_13_R1 - polya	(1, 0.0020037317668277275)	(2, 0.007595297377922905)	(3, 0.012704288846221875)	(4, 0.018080794241505698)	(5, 0.023473035750141574)	(6, 0.02856104573397114)	(7, 0.03384837982026002)	(8, 0.038453815661293377)	(9, 0.0433162746870769)	(10, 0.05012214371183861)	(12, 0.05899993432795361)	(14, 0.06721943086884118)	(16, 0.07496684400916723)	(18, 0.08190909268298005)	(20, 0.08849465612081306)	(22, 0.09513791864093693)	(24, 0.10130385238938194)	(26, 0.10781598063157205)	(28, 0.11415238894133095)	(30, 0.12000360042273495)	(32, 0.12595709664092727)	(34, 0.13204172713705337)	(36, 0.13827322802446523)	(38, 0.1447302798699232)	(40, 0.15064705849029408)	(42, 0.15689954086217534)	(44, 0.16304711581170964)	(46, 0.16922616298794801)	(48, 0.17517179114946435)	(50, 0.18103873874422038)	(52, 0.18722040860601744)	(54, 0.1933181525299369)	(56, 0.19929000754703996)	(58, 0.20552937649112787)	(60, 0.21197331490879245)	(62, 0.21938240161204942)	(64, 0.2306992897977322)	(66, 0.9145750399644825)	(68, 0.9224850596094465)	(70, 0.9286824655845956)	(72, 0.9350687049199693)	(74, 0.9412162798695035)	(76, 0.9474320446435633)	(78, 0.9535743742219804)	(80, 0.9594911528423512)	(82, 0.9657200310442045)	(84, 0.9720774208384327)	(86, 0.9782984309836098)	(88, 0.9847895777413306)	(90, 0.9913331782102248)	(92, 0.9978243249679455)	(94, 1.0040636939120335)	(96, 1.010468292046318)	(98, 1.0169437026906865)	(100, 1.0232276572892718)	(102, 1.0295902924546176)	(104, 1.0361994600624787)	(106, 1.0424204702076558)	(108, 1.0488617859397618)	(110, 1.0550775507138215)	(112, 1.0614742807914301)	(114, 1.0680309946881175)
20150415.B-CAMA_reseq_13_R2 - polya	(1, 0.00584334342472798)	(2, 0.014781455808692502)	(3, 0.02259181340242676)	(4, 0.030150393182528216)	(5, 0.03789780632285427)	(6, 0.04533574256725667)	(7, 0.052123252793107665)	(8, 0.05898944358571891)	(9, 0.0655671389668759)	(10, 0.07464163099989152)	(12, 0.08582738490764055)	(14, 0.09629976834342997)	(16, 0.10654397813561467)	(18, 0.1162269332182429)	(20, 0.12613806194447585)	(22, 0.13603869992847412)	(24, 0.14585803466015346)	(26, 0.15572720041744764)	(28, 0.16533934298999164)	(30, 0.17506163835599997)	(32, 0.18439577625932443)	(34, 0.19412331699645013)	(36, 0.20385085773357586)	(38, 0.21330826185815804)	(40, 0.2228600826628525)	(42, 0.2322650330762612)	(44, 0.24162802052073107)	(46, 0.25122442697992303)	(48, 0.26087328715028846)	(50, 0.27029921904816656)	(52, 0.2799979102441469)	(54, 0.2895287495643719)	(56, 0.300431253431784)	(58, 0.914289167238587)	(60, 0.9257371897022035)	(62, 0.9354647304393292)	(64, 0.9452683290576565)	(66, 0.9552581383506497)	(68, 0.9651954939324694)	(70, 0.9753059467611617)	(72, 0.9853482097653284)	(74, 0.9946377620141553)	(76, 1.0036598003359973)	(78, 1.0131355632594903)	(80, 1.0227004974919782)	(82, 1.0321788831010297)	(84, 1.0419247826370661)	(86, 1.0512536751692734)	(88, 1.060884176540728)	(90, 1.0701422565628511)	(92, 1.0798645519288592)	(94, 1.0894452222746993)	(96, 1.0988711541725773)	(98, 1.1087849055843688)	(100, 1.118300008791242)	(102, 1.1277390541169134)	(104, 1.1370994188758248)	(106, 1.1462761956456284)	(108, 1.1555788613222489)	(110, 1.1650729830446527)	(112, 1.1746641441327272)	(114, 1.1845988770289884)
20150415.B-CAMA_reseq_14_R1 - polya	(1, 0.0021029612370714085)	(2, 0.007787329186973519)	(3, 0.013165811866028878)	(4, 0.019111456818112587)	(5, 0.024458076448121414)	(6, 0.030091463519549062)	(7, 0.03550180924765096)	(8, 0.04096313585422732)	(9, 0.0461058319703383)	(10, 0.05364462937474884)	(12, 0.06320354408870979)	(14, 0.07192764691765148)	(16, 0.08010370530299274)	(18, 0.08764887531721258)	(20, 0.09479257091344606)	(22, 0.10171641147125846)	(24, 0.10834711197784269)	(26, 0.11529007036508299)	(28, 0.12249111944960024)	(30, 0.12918235974937292)	(32, 0.13571747110881754)	(34, 0.14218567006526445)	(36, 0.1487813212178975)	(38, 0.15522084343020254)	(40, 0.16167948347193548)	(42, 0.16869254056707816)	(44, 0.17510657234014593)	(46, 0.1816480563093999)	(48, 0.1880270387285165)	(50, 0.1947150927233845)	(52, 0.20112593819154764)	(54, 0.20740295885371535)	(56, 0.21406552240934612)	(58, 0.22037440612056036)	(60, 0.22749579758246125)	(62, 0.23525445002529288)	(64, 0.24783079548396084)	(66, 0.9703349915288898)	(68, 0.9788201214899824)	(70, 0.9854189589475202)	(72, 0.992237651443479)	(74, 0.9987855080225423)	(76, 1.0054894935419334)	(78, 1.0122125968907527)	(80, 1.018795502823767)	(82, 1.0255536555265374)	(84, 1.0322512684361196)	(86, 1.0388341743691338)	(88, 1.045742083402423)	(90, 1.052458814141433)	(92, 1.0595101068954316)	(94, 1.06637659396496)	(96, 1.0738580378810867)	(98, 1.0809157032448948)	(100, 1.0882888127942631)	(102, 1.0959200130409088)	(104, 1.103258073236326)	(106, 1.1104973579796993)	(108, 1.1174498752816535)	(110, 1.1246509243661706)	(112, 1.1314504990327015)	(114, 1.1386611070319328)
20150415.B-CAMA_reseq_14_R2 - polya	(1, 0.006270648052358382)	(2, 0.015625639252421497)	(3, 0.02361689195329285)	(4, 0.03190128470539234)	(5, 0.039854301747407846)	(6, 0.047667121373618594)	(7, 0.05523140921726636)	(8, 0.06288491359824443)	(9, 0.06973546914324977)	(10, 0.07922109884440368)	(12, 0.09127807660361309)	(14, 0.10294632516445476)	(16, 0.1143469241133055)	(18, 0.12509433055670227)	(20, 0.13581943286576648)	(22, 0.14652860365030737)	(24, 0.1572983142280367)	(26, 0.16814130981857306)	(28, 0.17869435166278597)	(30, 0.18882680125958456)	(32, 0.19909944827218795)	(34, 0.2101559262913361)	(36, 0.22060382007369542)	(38, 0.2313767169563294)	(40, 0.24224520298610297)	(42, 0.2522406414720015)	(44, 0.2624272582521792)	(46, 0.27306951663372236)	(48, 0.2834377527934654)	(50, 0.2942680031643831)	(52, 0.30542325663557557)	(54, 0.31651797031357953)	(56, 0.32876931267197285)	(58, 1.0186712369324855)	(60, 1.0315598402718096)	(62, 1.042071460152262)	(64, 1.0526946007043771)	(66, 1.0637255882842882)	(68, 1.0742149040304079)	(70, 1.0845767675803417)	(72, 1.0950883874607942)	(74, 1.1056191251706744)	(76, 1.115898144793087)	(78, 1.126495794905965)	(80, 1.1369341297736104)	(82, 1.1472673165794023)	(84, 1.1578840845217082)	(86, 1.1681184958754556)	(88, 1.1789678640758015)	(90, 1.189323355015926)	(92, 1.1999815449219922)	(94, 1.2105887539495843)	(96, 1.2207084583267642)	(98, 1.23105120404727)	(100, 1.2417731200514295)	(102, 1.2519469916119887)	(104, 1.262245129063829)	(106, 1.27295429984837)	(108, 1.2834021936307294)	(110, 1.293929745035705)	(112, 1.3043999429523971)	(114, 1.3149020039181354)
