Sample	Top overrepresented sequence
20150415.B-CAMA_reseq_10_R1	3.4772682445023455
20150415.B-CAMA_reseq_10_R2	3.5070832083019337
20150415.B-CAMA_reseq_11_R1	3.0202332627364115
20150415.B-CAMA_reseq_11_R2	3.008973697354598
20150415.B-CAMA_reseq_12_R1	3.6639838835073166
20150415.B-CAMA_reseq_12_R2	3.6911837638652316
20150415.B-CAMA_reseq_13_R1	0.711560818924124
20150415.B-CAMA_reseq_13_R2	0.7290279047448998
20150415.B-CAMA_reseq_14_R1	0.7977105507094691
20150415.B-CAMA_reseq_14_R2	0.8173254437025169
20150415.B-CAMA_reseq_15_R1	0.8048930508300325
20150415.B-CAMA_reseq_15_R2	0.8197241211336078
20150415.B-CAMA_reseq_16_R1	0.38084623600758305
20150415.B-CAMA_reseq_16_R2	0.3953098197303298
20150415.B-CAMA_reseq_17_R1	0.8291767256874746
20150415.B-CAMA_reseq_17_R2	0.8375232763478404
20150415.B-CAMA_reseq_18_R1	0.9917106993627279
20150415.B-CAMA_reseq_18_R2	1.0251256712404881
20150415.B-CAMA_reseq_19_R1	0.830310842001139
20150415.B-CAMA_reseq_19_R2	0.8228955407624697
20150415.B-CAMA_reseq_1_R1	1.0489047289930715
20150415.B-CAMA_reseq_1_R2	1.0643354997455325
20150415.B-CAMA_reseq_20_R1	0.8912594222493448
20150415.B-CAMA_reseq_20_R2	0.8901568082119221
20150415.B-CAMA_reseq_21_R1	1.0290994089156633
20150415.B-CAMA_reseq_21_R2	1.0294776436086692
20150415.B-CAMA_reseq_22_R1	1.0340726308979147
20150415.B-CAMA_reseq_22_R2	1.0332173031684035
20150415.B-CAMA_reseq_23_R1	6.793679430962421
20150415.B-CAMA_reseq_23_R2	6.753704826700736
20150415.B-CAMA_reseq_24_R1	9.140150282758427
20150415.B-CAMA_reseq_24_R2	9.133016372842356
20150415.B-CAMA_reseq_25_R1	0.9634708018946966
20150415.B-CAMA_reseq_25_R2	0.970506880901751
20150415.B-CAMA_reseq_26_R1	2.4916703064664767
20150415.B-CAMA_reseq_26_R2	2.5035433125233033
20150415.B-CAMA_reseq_2_R1	2.7824924326140277
20150415.B-CAMA_reseq_2_R2	2.82645150699268
20150415.B-CAMA_reseq_3_R1	3.389373099420139
20150415.B-CAMA_reseq_3_R2	3.4154546596335806
20150415.B-CAMA_reseq_4_R1	4.2587778308562845
20150415.B-CAMA_reseq_4_R2	4.334937408720825
20150415.B-CAMA_reseq_5_R1	3.970220293454383
20150415.B-CAMA_reseq_5_R2	4.039391828584794
20150415.B-CAMA_reseq_6_R1	4.880089969176685
20150415.B-CAMA_reseq_6_R2	4.944216677819614
20150415.B-CAMA_reseq_7_R1	5.390616485327726
20150415.B-CAMA_reseq_7_R2	5.432539063744453
20150415.B-CAMA_reseq_8_R1	3.6201533889571396
20150415.B-CAMA_reseq_8_R2	3.6451766801801595
20150415.B-CAMA_reseq_9_R1	2.797146889918259
20150415.B-CAMA_reseq_9_R2	2.8322555614089797
