Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
20150415.B-CAMA_reseq_10_R1	(1, 0.07875714400088314)	(2, 0.0008617598127121512)	(3, 0.0)	(4, 2.4071503148384112e-05)	(5, 0.0)	(6, 0.00877165574727117)	(7, 2.8885803778060933e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 2.407150314838411e-06)	(20, 0.00010350746353805166)	(22, 0.00019979347613158813)	(24, 3.129295409289934e-05)	(26, 0.00016850052203868878)	(28, 0.0008497240611379591)	(30, 0.0005704946246167035)	(32, 0.0015814977568488363)	(34, 0.0039525408169646704)	(36, 0.0035505467143866565)	(38, 0.0003827369000593074)	(40, 0.0001516504698348199)	(42, 0.000298486639039963)	(44, 0.00011313606479740534)	(46, 0.0)	(48, 1.4442901889030467e-05)	(50, 0.0)	(52, 0.0)	(54, 1.685005220386888e-05)	(56, 6.258590818579868e-05)	(58, 4.814300629676822e-06)	(60, 0.0)	(62, 6.980735913031391e-05)	(64, 9.147171196385962e-05)	(66, 0.0009363814724721418)	(68, 0.0008112096561005446)	(70, 7.943596038966757e-05)	(72, 0.00023590073085416429)	(74, 0.0003008937893548014)	(76, 0.0)	(78, 0.0008762027146011816)	(80, 0.0014539187901624004)	(82, 0.0011458035498630838)	(84, 0.0011722822033263063)	(86, 0.0025612079349880694)	(88, 0.004190848698133674)	(90, 0.0023204929035042284)	(92, 0.002708044104193213)	(94, 0.00268156545072999)	(96, 0.002375857360745512)	(98, 0.0027561871104899807)	(100, 0.0031389240105492884)	(102, 0.0012637539152901658)	(104, 0.0017909198342397777)	(106, 0.003928469313816288)	(108, 0.005673653292074135)	(110, 0.008735548492548593)	(112, 0.0041402985415220665)	(114, 0.0007847310026373221)	(116, 0.001042296086325032)	(118, 0.0)	(120, 0.0004188441547818836)	(122, 0.0005127230170605815)	(124, 0.00021664352833545701)	(126, 4.33287056670914e-05)
20150415.B-CAMA_reseq_10_R2	(1, 0.09445176405362958)	(2, 0.09804804662399817)	(3, 0.11063744277060306)	(4, 0.12306796699642861)	(5, 0.13197923746196039)	(6, 0.1260624619880876)	(7, 0.12251432242401576)	(8, 0.11566838692861534)	(9, 0.13057827597872446)	(10, 0.11415188223026712)	(12, 0.10333174156506848)	(14, 0.10867320811369491)	(16, 0.10875264407408458)	(18, 0.09940086510093736)	(20, 0.09671448534957769)	(22, 0.08457522631184758)	(24, 0.09374887616169676)	(26, 0.09640637010927837)	(28, 0.08258210585116137)	(30, 0.0857234370120255)	(32, 0.08921139781822636)	(34, 0.074826267536752)	(36, 0.08058898539047517)	(38, 0.09667356379422543)	(40, 0.11617629564504625)	(42, 0.1189565542586846)	(44, 0.11248131991176927)	(46, 0.10097995570747134)	(48, 0.11708379131374032)	(50, 0.1116556673537797)	(52, 0.10200780889190735)	(54, 0.09473580779078052)	(56, 0.08630837453853124)	(58, 0.05949994148217585)	(60, 0.04737271819601993)	(62, 0.04961377513913449)	(64, 0.056495817889257505)	(66, 0.05392738850332492)	(68, 0.05473859815942547)	(70, 0.0578991865228083)	(72, 0.06985790928692553)	(74, 0.06854119806470892)	(76, 0.08148444530759506)	(78, 0.07935893157959274)	(80, 0.06894559931760177)	(82, 0.07437131612724755)	(84, 0.07353603496799863)	(86, 0.06365949722621661)	(88, 0.062417407663760006)	(90, 0.05995007859105063)	(92, 0.061252346911378215)	(94, 0.05937476966580425)	(96, 0.050374434638623435)	(98, 0.05336170817933789)	(100, 0.055412600247580227)	(102, 0.05475785536194418)	(104, 0.05206666130995484)	(106, 0.06409759858351721)	(108, 0.06629051252033501)	(110, 0.05873687483237207)	(112, 0.05939884116895264)	(114, 0.051927046591694205)	(116, 0.08601951650075063)	(118, 0.12791596773051317)	(120, 0.1536171116420429)	(122, 0.19437979507351655)	(124, 0.15188637056567406)	(126, 0.13101156303539535)
20150415.B-CAMA_reseq_11_R1	(1, 0.07570658049539496)	(2, 0.0008501697617943558)	(3, 0.0)	(4, 6.220754354592848e-05)	(5, 5.183961962160706e-06)	(6, 0.008615744781111094)	(7, 4.147169569728565e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00012959904905401767)	(22, 0.00018662263063778543)	(24, 3.6287733735124945e-05)	(26, 0.0001710707447513033)	(28, 0.0008268419329646327)	(30, 0.0005754197777998384)	(32, 0.0017366272573238366)	(34, 0.0041679054175772084)	(36, 0.0035821177158530484)	(38, 0.0003784292232377316)	(40, 0.0001710707447513033)	(42, 0.0002721580030134371)	(44, 0.00010627122022429447)	(46, 1.2959904905401766e-05)	(48, 1.555188588648212e-05)	(50, 0.0)	(52, 0.0)	(54, 2.0735847848642826e-05)	(56, 9.331131531889272e-05)	(58, 1.0367923924321413e-05)	(60, 0.0)	(62, 0.00012441508709185695)	(64, 7.257546747024989e-05)	(66, 0.0011015919169591502)	(68, 0.0008683136286619183)	(70, 0.00010627122022429447)	(72, 0.00029807781282424064)	(74, 0.00026179007908911565)	(76, 0.0)	(78, 0.0008527617427754362)	(80, 0.0015137168929509263)	(82, 0.0012674786997482928)	(84, 0.0011715754034483197)	(86, 0.0027086201252289692)	(88, 0.004538558697871698)	(90, 0.0023949904265182466)	(92, 0.0027319479540586925)	(94, 0.00286154700311271)	(96, 0.002664556448550603)	(98, 0.003001513976091049)	(100, 0.003382535180309861)	(102, 0.0013452381291807034)	(104, 0.0018040187628319258)	(106, 0.004059042216371833)	(108, 0.00608597134357667)	(110, 0.009193756539892014)	(112, 0.004362303991158234)	(114, 0.0009642169249618914)	(116, 0.001078264088129427)	(118, 0.0)	(120, 0.0005002523293485082)	(122, 0.0005417240250457938)	(124, 0.00022291036437291036)	(126, 6.220754354592848e-05)
20150415.B-CAMA_reseq_11_R2	(1, 0.0908333815009799)	(2, 0.09469024920082746)	(3, 0.10660299378987277)	(4, 0.1195940024670475)	(5, 0.1265197756484942)	(6, 0.12247628531800886)	(7, 0.11858312988442617)	(8, 0.11233645572002252)	(9, 0.12686710109995897)	(10, 0.11053502893817167)	(12, 0.10003750596479623)	(14, 0.10569320846551356)	(16, 0.10598351033539458)	(18, 0.09688047312984037)	(20, 0.09431181997758972)	(22, 0.08227206832047149)	(24, 0.0913077140205176)	(26, 0.09356792143601968)	(28, 0.08007925241047752)	(30, 0.08269196923940651)	(32, 0.08623261525956227)	(34, 0.0722177740948608)	(36, 0.07821043412311858)	(38, 0.09406558178438709)	(40, 0.11260342976107379)	(42, 0.11514097914155144)	(44, 0.10877248187103702)	(46, 0.09747662875548883)	(48, 0.11296112313646288)	(50, 0.10790935220433727)	(52, 0.09844862162339398)	(54, 0.09139324939289326)	(56, 0.08343327579999549)	(58, 0.05755234570390816)	(60, 0.04607505391968436)	(62, 0.04818751841926485)	(64, 0.05527658640251961)	(66, 0.05257055825827172)	(68, 0.053200409636674245)	(70, 0.05628486700415987)	(72, 0.0673889135271081)	(74, 0.0665853994229732)	(76, 0.07926277840143721)	(78, 0.0773239766275891)	(80, 0.06717637108665951)	(82, 0.07254954766043908)	(84, 0.07171752176551228)	(86, 0.06168396338775024)	(88, 0.06017543045676148)	(90, 0.05780376785907296)	(92, 0.059460043705983304)	(94, 0.057915223041259414)	(96, 0.04961310795885904)	(98, 0.051951074803793525)	(100, 0.05410760298005238)	(102, 0.052850492204228404)	(104, 0.05030775886178858)	(106, 0.06254450107346893)	(108, 0.06409968966211713)	(110, 0.056427425958119296)	(112, 0.05721538817636772)	(114, 0.05026110320412913)	(116, 0.08285008007925242)	(118, 0.12462762953230555)	(120, 0.15092068460438465)	(122, 0.19136077187120032)	(124, 0.14905705027898788)	(126, 0.1284741293082288)
20150415.B-CAMA_reseq_12_R1	(1, 0.07924088856241457)	(2, 0.000995184625992023)	(3, 0.0)	(4, 6.048083362382461e-05)	(5, 0.0)	(6, 0.008610271404991758)	(7, 2.7491288010829366e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 9.072125043573691e-05)	(22, 0.00023367594809204964)	(24, 4.398606081732699e-05)	(26, 0.00016769685686605915)	(28, 0.0009017142467552033)	(30, 0.0005058396993992604)	(32, 0.0015834981894237716)	(34, 0.0040192263071832535)	(36, 0.003675585207047887)	(38, 0.00037937977454944525)	(40, 0.00015944947046281032)	(42, 0.00027216375130721074)	(44, 0.00011546340964548335)	(46, 5.498257602165874e-06)	(48, 2.474215920974643e-05)	(50, 0.0)	(52, 0.0)	(54, 1.0996515204331748e-05)	(56, 6.048083362382461e-05)	(58, 1.0996515204331748e-05)	(60, 0.0)	(62, 7.697560643032223e-05)	(64, 6.048083362382461e-05)	(66, 0.0010529163308147648)	(68, 0.0007752543219053883)	(70, 8.797212163465399e-05)	(72, 0.00029690591051695716)	(74, 0.00029140765291479133)	(76, 0.0)	(78, 0.0008412334131313786)	(80, 0.00147903129498262)	(82, 0.0011051497780353407)	(84, 0.0011243936796429212)	(86, 0.0026529092930450337)	(88, 0.004461836044157607)	(90, 0.0023147664505118325)	(92, 0.0025869302018190436)	(94, 0.002740881414679688)	(96, 0.0025374458833995507)	(98, 0.002952564332363074)	(100, 0.0033594353949233484)	(102, 0.0013113344381165608)	(104, 0.001690714212666006)	(106, 0.003870773351924775)	(108, 0.006006846430366217)	(110, 0.009206832354826755)	(112, 0.0042721461568828835)	(114, 0.0008192403827227151)	(116, 0.001127142808444004)	(118, 0.0)	(120, 0.000437111479372187)	(122, 0.00047010102498518217)	(124, 0.00014020556885522978)	(126, 5.498257602165873e-05)
20150415.B-CAMA_reseq_12_R2	(1, 0.09324495067513106)	(2, 0.09737414213435762)	(3, 0.1094593123439182)	(4, 0.12230324210257769)	(5, 0.13025922085291172)	(6, 0.12582212696796385)	(7, 0.12228674732977118)	(8, 0.11538093578145085)	(9, 0.13002279577601858)	(10, 0.11391290100167258)	(12, 0.10280367151649643)	(14, 0.10805175839776375)	(16, 0.10881326707566372)	(18, 0.09884492604293699)	(20, 0.09594184602899342)	(22, 0.08381543888741658)	(24, 0.09313223639428665)	(26, 0.09595009341539666)	(28, 0.08187180482505095)	(30, 0.084956327339866)	(32, 0.08835699966680559)	(34, 0.07399280168114725)	(36, 0.07963126485216834)	(38, 0.0959445951577945)	(40, 0.11519399502297721)	(42, 0.11808607852171647)	(44, 0.11165586625598348)	(46, 0.10006553923061783)	(48, 0.11583454203362954)	(50, 0.11082288022925535)	(52, 0.10122292245587373)	(54, 0.0938167694657563)	(56, 0.08584704507141687)	(58, 0.05919699047371888)	(60, 0.04654824885993629)	(62, 0.04914342644815857)	(64, 0.05576882685876845)	(66, 0.05299220676967469)	(68, 0.05398464226686563)	(70, 0.05704992088007311)	(72, 0.06867048832225067)	(74, 0.06773028627228031)	(76, 0.08080514285023076)	(78, 0.07823470742121821)	(80, 0.06760657547623158)	(82, 0.0729371362215314)	(84, 0.07220036970284117)	(86, 0.062372234238969676)	(88, 0.061495262151424215)	(90, 0.058935823237616)	(92, 0.06013444339488816)	(94, 0.05841898702301241)	(96, 0.0499131825124618)	(98, 0.052662311313544735)	(100, 0.05456195931509305)	(102, 0.05384993495561257)	(104, 0.05131798732981518)	(106, 0.0636230878434624)	(108, 0.06542101807937065)	(110, 0.05875163160794344)	(112, 0.059180495700912376)	(114, 0.05162588975553647)	(116, 0.08591302416264285)	(118, 0.12849428016261646)	(120, 0.15440756824162422)	(122, 0.19540807518097517)	(124, 0.15285431046901238)	(126, 0.13127090025171023)
20150415.B-CAMA_reseq_13_R1	(1, 0.07921034924310344)	(2, 0.000954657543357713)	(3, 0.0)	(4, 8.392593787760115e-05)	(5, 0.0)	(6, 0.008429311385581565)	(7, 7.868056676025107e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 5.245371117350072e-06)	(20, 9.703936567097633e-05)	(22, 0.00016260650463785224)	(24, 3.147222670410043e-05)	(26, 0.00011277547902302654)	(28, 0.0008890904043908373)	(30, 0.0004773287716788565)	(32, 0.0014503451139472948)	(34, 0.0038369889723415774)	(36, 0.0034435861385403222)	(38, 0.000367175978214505)	(40, 0.00016522919019652726)	(42, 0.00028587272589557895)	(44, 0.00012851159237507677)	(46, 1.5736113352050216e-05)	(48, 2.622685558675036e-05)	(50, 0.0)	(52, 0.0)	(54, 1.5736113352050216e-05)	(56, 8.65486234362762e-05)	(58, 0.0)	(60, 0.0)	(62, 0.00011277547902302654)	(64, 8.392593787760115e-05)	(66, 0.001075301079056765)	(68, 0.0008418820643346866)	(70, 4.720834005615065e-05)	(72, 0.00023604170028075324)	(74, 0.00029374078257160405)	(76, 0.0)	(78, 0.0006687848174621342)	(80, 0.0012929839804267926)	(82, 0.0011461135891409908)	(84, 0.0010674330223807396)	(86, 0.0025256461930040597)	(88, 0.0041700700382933074)	(90, 0.0022240373537564303)	(92, 0.002481060538506584)	(94, 0.0025256461930040597)	(96, 0.002342058203896807)	(98, 0.0028429911456037387)	(100, 0.0031944310104661936)	(102, 0.0012457756403706421)	(104, 0.0016365557886132225)	(106, 0.0037006093232904757)	(108, 0.005665000806738077)	(110, 0.008964339239551273)	(112, 0.004086144100415706)	(114, 0.0008366366932173366)	(116, 0.0009258080022122876)	(118, 0.0)	(120, 0.00041962968938800575)	(122, 0.00048781951391355674)	(124, 0.00014424770572712698)	(126, 2.622685558675036e-05)
20150415.B-CAMA_reseq_13_R2	(1, 0.09539756451124576)	(2, 0.0993840465604318)	(3, 0.11175787702626064)	(4, 0.12479262425287557)	(5, 0.132650190186666)	(6, 0.12775625893417836)	(7, 0.12395336487409955)	(8, 0.11724453521500883)	(9, 0.13202599102370133)	(10, 0.11522244464927035)	(12, 0.10426748707068473)	(14, 0.10977774942946099)	(16, 0.11023147403111176)	(18, 0.10009479434683274)	(20, 0.09746424073148169)	(22, 0.08460783612285666)	(24, 0.09486253665727605)	(26, 0.0973252383968719)	(28, 0.08305520627212104)	(30, 0.08627324145261532)	(32, 0.09020989247618655)	(34, 0.07544155009528741)	(36, 0.08065807167149205)	(38, 0.09727016200013974)	(40, 0.117412387090764)	(42, 0.12045207965326837)	(44, 0.11372226850970824)	(46, 0.10183625755779298)	(48, 0.11834606314965233)	(50, 0.11243977527151615)	(52, 0.10294303086355383)	(54, 0.09549198119135807)	(56, 0.08743246846954968)	(58, 0.059778871938880096)	(60, 0.04718998125723992)	(62, 0.049608097342338314)	(64, 0.05655559138726848)	(66, 0.05381226229289439)	(68, 0.05493739439756598)	(70, 0.05845703841730787)	(72, 0.06997325070544996)	(74, 0.0688140236885156)	(76, 0.08167305098269931)	(78, 0.07930214323765707)	(80, 0.0687510792351074)	(82, 0.07437936244402403)	(84, 0.07353223500857198)	(86, 0.06388075215264785)	(88, 0.06277135616132831)	(90, 0.06016702940156401)	(92, 0.06151508977872297)	(94, 0.05972379554214791)	(96, 0.05054701877234397)	(98, 0.052865472806212704)	(100, 0.05505016987658901)	(102, 0.05417419289999154)	(104, 0.051582979568020604)	(106, 0.0636761826790712)	(108, 0.06599201402738125)	(110, 0.058884536163371914)	(112, 0.05944054550181102)	(114, 0.052519278312467596)	(116, 0.0865564914929522)	(118, 0.12938756935167423)	(120, 0.1560655268545167)	(122, 0.19838780371485573)	(124, 0.1542978367879697)	(126, 0.13330061620521738)
20150415.B-CAMA_reseq_14_R1	(1, 0.07900124380598259)	(2, 0.0010769710577729335)	(3, 0.0)	(4, 7.647131771168759e-05)	(5, 0.0)	(6, 0.009170185515593203)	(7, 3.823565885584379e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 3.1863049046536493e-06)	(20, 9.240284223495582e-05)	(22, 0.00019436459918387261)	(24, 3.823565885584379e-05)	(26, 0.0001306385010907996)	(28, 0.0008316255801146025)	(30, 0.0004715731258887401)	(32, 0.001564475708184942)	(34, 0.0040115578749589445)	(36, 0.003383855808742176)	(38, 0.00033456201498863316)	(40, 0.0001752467697559507)	(42, 0.0003186304904653649)	(44, 0.00015931524523268246)	(46, 1.5931524523268248e-05)	(48, 2.2304134332575545e-05)	(50, 0.0)	(52, 0.0)	(54, 1.9117829427921897e-05)	(56, 6.053979318841934e-05)	(58, 0.0)	(60, 0.0)	(62, 0.00012745219618614598)	(64, 0.00010833436675822407)	(66, 0.0011024614970101627)	(68, 0.0007424090427843003)	(70, 8.921653733030218e-05)	(72, 0.0002517180874676383)	(74, 0.0003504935395119014)	(76, 0.0)	(78, 0.0006882418594051882)	(80, 0.0013127576207173034)	(82, 0.0010960888872008554)	(84, 0.0010387353989170897)	(86, 0.0025108082648670755)	(88, 0.004256903352617276)	(90, 0.002271835397018052)	(92, 0.002491690435439154)	(94, 0.0025649754482461877)	(96, 0.0024534547765833097)	(98, 0.002870860719092938)	(100, 0.003148069245797805)	(102, 0.0012203547784823477)	(104, 0.0015581030983756344)	(106, 0.003753467177681999)	(108, 0.00588510515889529)	(110, 0.009087341588072208)	(112, 0.004119892241717169)	(114, 0.0008252529703052953)	(116, 0.001000499740061246)	(118, 0.0)	(120, 0.0003759839787491306)	(122, 0.0004906909553166619)	(124, 0.0001625015501373361)	(126, 3.1863049046536495e-05)
20150415.B-CAMA_reseq_14_R2	(1, 0.0950028670371532)	(2, 0.09826564325951856)	(3, 0.11085154763290046)	(4, 0.12367961117903604)	(5, 0.13186841478399594)	(6, 0.12635610729894511)	(7, 0.12253254141336074)	(8, 0.11572022152721124)	(9, 0.13065761892022754)	(10, 0.11420035408769144)	(12, 0.10339240785110627)	(14, 0.10889834272634778)	(16, 0.10899074556858274)	(18, 0.09909089622982385)	(20, 0.09653229339138697)	(22, 0.08442752105860775)	(24, 0.09374427659981502)	(26, 0.09651317556195904)	(28, 0.08260495465314585)	(30, 0.08593145697360427)	(32, 0.08967855154147696)	(34, 0.07496738179669106)	(36, 0.08043826731798137)	(38, 0.09687960062599421)	(40, 0.11588909568715788)	(42, 0.11905309645747895)	(44, 0.1123395520233737)	(46, 0.10089753111076245)	(48, 0.11699155718416804)	(50, 0.11133905228331245)	(52, 0.1018024417036841)	(54, 0.09466511871725992)	(56, 0.0862309696346417)	(58, 0.0595456660581674)	(60, 0.047087213880971625)	(62, 0.050044104832490215)	(64, 0.057002994744253785)	(66, 0.054224536867395805)	(68, 0.055024299398463865)	(70, 0.05798437665488711)	(72, 0.06957934020292174)	(74, 0.06869673374433267)	(76, 0.08134955052071233)	(78, 0.07924658928364091)	(80, 0.06880825441599556)	(82, 0.07435561125499755)	(84, 0.07371197766425752)	(86, 0.0637324707028823)	(88, 0.062091523676985665)	(90, 0.05975914848677919)	(92, 0.061361859853819985)	(94, 0.059660373034734926)	(96, 0.05103185935293285)	(98, 0.053870857022979245)	(100, 0.05597381826005066)	(102, 0.055116702240698826)	(104, 0.05227770457065243)	(106, 0.06462782238108998)	(108, 0.06628151462660521)	(110, 0.05891796399195063)	(112, 0.05978782523092108)	(114, 0.05186985754285676)	(116, 0.08597925154717408)	(118, 0.12860882486653524)	(120, 0.15470147573074397)	(122, 0.1966842291544605)	(124, 0.15328038374326844)	(126, 0.13226351659217297)
