Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
20150415.B-CAMA_reseq_10_R1	(1, 33.31399042021575)	(2, 33.41281068066075)	(3, 33.41522052698394)	(4, 33.37186644995253)	(5, 33.41349320406102)	(6, 37.339420904145875)	(7, 37.51264396624424)	(8, 37.58386528546949)	(9, 37.60382696459934)	(10, 37.61077277276131)	(12, 37.60711920001344)	(14, 37.61048126685817)	(16, 37.60494730049887)	(18, 37.610018853282696)	(20, 37.57426756794868)	(22, 37.5190989323855)	(24, 37.5316408595279)	(26, 37.52175782248027)	(28, 37.50240642816974)	(30, 37.429325609397786)	(32, 37.449537030372795)	(34, 37.45386258320255)	(36, 37.44370190543761)	(38, 37.38290224721443)	(40, 37.24686012516507)	(42, 37.24230899827932)	(44, 37.33582823230098)	(46, 37.32817561259208)	(48, 37.31143686701876)	(50, 37.29688610072412)	(52, 37.2770377261596)	(54, 37.262559294731915)	(56, 37.25548682232039)	(58, 37.24847919853834)	(60, 37.22212051744681)	(62, 37.20302676043448)	(64, 37.17845724195746)	(66, 37.16574329985356)	(68, 37.14423286021115)	(70, 37.1263079913202)	(72, 37.08339047506989)	(74, 36.23257453054912)	(76, 35.98039224418095)	(78, 35.97111195757215)	(80, 35.960408756269246)	(82, 35.94357102867498)	(84, 35.921746913275044)	(86, 35.88646663504313)	(88, 35.85794638111189)	(90, 35.827998277828385)	(92, 35.796142339419845)	(94, 35.77021429751964)	(96, 35.73066214590999)	(98, 35.67200350346286)	(100, 35.61018167293)	(102, 35.541330554262245)	(104, 35.496654951707995)	(106, 35.444446003742925)	(108, 35.38675785208822)	(110, 35.31783593912972)	(112, 35.257076937675365)	(114, 35.165795510943894)	(116, 35.11723893215153)	(118, 35.07639281689015)	(120, 35.01176022914916)	(122, 34.93609052021359)	(124, 34.72683273083163)	(126, 31.546135611434714)
20150415.B-CAMA_reseq_10_R2	(1, 32.90154817798219)	(2, 33.00048605179157)	(3, 33.02301620845036)	(4, 32.974338718497684)	(5, 32.998028303177115)	(6, 37.093119550783385)	(7, 37.09217382956769)	(8, 37.109596109544405)	(9, 37.07761408460238)	(10, 37.09243187608144)	(12, 37.06128161785921)	(14, 37.05773961652844)	(16, 37.052859504409156)	(18, 37.05751868827254)	(20, 37.05999713837971)	(22, 37.06189387654179)	(24, 37.04202773720793)	(26, 37.05706364057703)	(28, 37.04406553437846)	(30, 37.01376666115108)	(32, 36.9640707059002)	(34, 36.96438081907526)	(36, 36.95257755007847)	(38, 36.975619202107666)	(40, 36.96901867558686)	(42, 36.94271167601259)	(44, 36.922349278569826)	(46, 36.896125927469)	(48, 36.87380637239126)	(50, 36.866263639094214)	(52, 36.86138191418422)	(54, 36.88130262361571)	(56, 36.860982423517974)	(58, 36.84924766201915)	(60, 36.84312086268031)	(62, 36.810856647506874)	(64, 36.76009410802299)	(66, 36.736988883153984)	(68, 35.7067090745571)	(70, 35.63638511689772)	(72, 35.624781256233014)	(74, 35.56920027582092)	(76, 35.55838044808525)	(78, 35.53476158548207)	(80, 35.510305877071936)	(82, 35.47299976520655)	(84, 35.410054782408295)	(86, 35.38901332786172)	(88, 35.363169921366584)	(90, 35.31554647439377)	(92, 35.24793183662825)	(94, 35.196332571694924)	(96, 35.10927258854209)	(98, 35.042814321716314)	(100, 34.945296449949154)	(102, 34.86549383242354)	(104, 34.770708028120715)	(106, 34.65392857282128)	(108, 34.59425745888022)	(110, 34.49303108319502)	(112, 34.38043344978003)	(114, 34.27148327495111)	(116, 34.151703980786316)	(118, 33.99681589377804)	(120, 33.844048746912165)	(122, 33.58314193679988)	(124, 33.17356234993524)	(126, 26.783754999470666)
20150415.B-CAMA_reseq_11_R1	(1, 33.28831340575155)	(2, 33.38710867891136)	(3, 33.394343519904986)	(4, 33.34548670015679)	(5, 33.38332604554681)	(6, 37.30328956082252)	(7, 37.487608697962415)	(8, 37.563113726016724)	(9, 37.579043470890625)	(10, 37.590546164088465)	(12, 37.5878197370539)	(14, 37.591253541618016)	(16, 37.58494795172591)	(18, 37.58449443281365)	(20, 37.55162020843156)	(22, 37.4977598804371)	(24, 37.51132838247686)	(26, 37.50253070655069)	(28, 37.47962586309727)	(30, 37.386022664800095)	(32, 37.42400599473361)	(34, 37.428208969653866)	(36, 37.408904776580314)	(38, 37.384228702923465)	(40, 37.22478115256582)	(42, 37.21579281051867)	(44, 37.300069387330865)	(46, 37.290718116106746)	(48, 37.27265504128637)	(50, 37.25960576487674)	(52, 37.23563390653265)	(54, 37.2213280636632)	(56, 37.21370919476741)	(58, 37.20498834515752)	(60, 37.17875412805371)	(62, 37.159725877275406)	(64, 37.131731731005246)	(66, 37.118746372846616)	(68, 37.09649315341184)	(70, 37.07423003260971)	(72, 37.0306737362084)	(74, 36.312119014435524)	(76, 36.06500395406699)	(78, 36.04994594423664)	(80, 36.03569787662326)	(82, 36.015646052555525)	(84, 35.993402915926765)	(86, 35.95385649186261)	(88, 35.92381081856574)	(90, 35.89232765853657)	(92, 35.85997623671837)	(94, 35.83394743410731)	(96, 35.79357380523285)	(98, 35.734418474810994)	(100, 35.67301778902467)	(102, 35.60381534416453)	(104, 35.559580104265024)	(106, 35.50684202627595)	(108, 35.449203523124226)	(110, 35.381023951718646)	(112, 35.3177719694364)	(114, 35.22219873599455)	(116, 35.17110918382925)	(118, 35.12790918113359)	(120, 35.06172489076744)	(122, 34.98115782753632)	(124, 34.7611282167456)	(126, 31.515733505993826)
20150415.B-CAMA_reseq_11_R2	(1, 32.826244273990014)	(2, 32.913641414464756)	(3, 32.95228976895859)	(4, 32.905491863382906)	(5, 32.916558481700484)	(6, 37.00655237240131)	(7, 36.99653021873986)	(8, 37.01227111187949)	(9, 36.98721541668816)	(10, 36.99808532956908)	(12, 36.975740224408526)	(14, 36.97059431272717)	(16, 36.96274779014182)	(18, 36.971375743153345)	(20, 36.96762317676818)	(22, 36.967851115575655)	(24, 36.9412059658071)	(26, 36.95815254481989)	(28, 36.9440130552898)	(30, 36.9217050672969)	(32, 36.90194748491014)	(34, 36.87017726298731)	(36, 36.87300234081802)	(38, 36.88301122353685)	(40, 36.86857508178348)	(42, 36.84529289773883)	(44, 36.81995882379013)	(46, 36.79168578036642)	(48, 36.7691648352161)	(50, 36.76287580808247)	(52, 36.75800236544184)	(54, 36.7737486239821)	(56, 36.753504086128416)	(58, 36.73749300489133)	(60, 36.72536385581017)	(62, 36.69083859138275)	(64, 36.635127614887615)	(66, 36.608005877576076)	(68, 35.74279256920524)	(70, 35.687237448526496)	(72, 35.67340554937944)	(74, 35.61370924660703)	(76, 35.59948642488841)	(78, 35.57173841313222)	(80, 35.544106237006076)	(82, 35.50534360207079)	(84, 35.44047577884493)	(86, 35.416242234100984)	(88, 35.38614039257625)	(90, 35.33398773941157)	(92, 35.260666688612105)	(94, 35.20384087517719)	(96, 35.11012676601384)	(98, 35.037584424060526)	(100, 34.93330068301291)	(102, 34.84954895642958)	(104, 34.74797287647422)	(106, 34.62602206346051)	(108, 34.560954450340624)	(110, 34.447947734258705)	(112, 34.326644242575206)	(114, 34.20426181288852)	(116, 34.07206655792443)	(118, 33.90439141193758)	(120, 33.73277469231242)	(122, 33.448709828506765)	(124, 33.00567140990546)	(126, 26.571463637228415)
20150415.B-CAMA_reseq_12_R1	(1, 33.31171832646234)	(2, 33.40909015932851)	(3, 33.41344192025547)	(4, 33.370249093062405)	(5, 33.413214842216505)	(6, 37.34206744382705)	(7, 37.513715788466634)	(8, 37.5852580167345)	(9, 37.60517067141423)	(10, 37.611605832111806)	(12, 37.606741880997916)	(14, 37.61015671133818)	(16, 37.60393491052686)	(18, 37.60890374090451)	(20, 37.572997974441904)	(22, 37.51497126060751)	(24, 37.52841213619404)	(26, 37.51712358103717)	(28, 37.49628312287836)	(30, 37.42380800524314)	(32, 37.43806902842489)	(34, 37.44274164017423)	(36, 37.42775611158824)	(38, 37.40641514703991)	(40, 37.225106473758466)	(42, 37.190797731198984)	(44, 37.329433135139475)	(46, 37.324379274208006)	(48, 37.3081092151897)	(50, 37.2944690277651)	(52, 37.27445699207921)	(54, 37.26034997509289)	(56, 37.25234629895786)	(58, 37.24685142278412)	(60, 37.221850955432224)	(62, 37.202094451268394)	(64, 37.17723754342249)	(66, 37.16618082229742)	(68, 37.14470726726701)	(70, 37.120367855426615)	(72, 37.078266514841445)	(74, 36.19185556847035)	(76, 35.93215496509156)	(78, 35.920505944166294)	(80, 35.91067151319747)	(82, 35.895961997143104)	(84, 35.875816051393315)	(86, 35.841631816877225)	(88, 35.81217182274937)	(90, 35.78240043480221)	(92, 35.751958561831756)	(94, 35.72524882364779)	(96, 35.6863857093687)	(98, 35.627429872473414)	(100, 35.56640451890796)	(102, 35.49846958748772)	(104, 35.45441479845037)	(106, 35.403166419061805)	(108, 35.346623794919395)	(110, 35.28059582418332)	(112, 35.22076260283116)	(114, 35.13110721712289)	(116, 35.084565263767914)	(118, 35.04357253686307)	(120, 34.98107870865722)	(122, 34.906804066291386)	(124, 34.70287418667024)	(126, 31.58516427144238)
20150415.B-CAMA_reseq_12_R2	(1, 32.86673521161144)	(2, 32.96930322780711)	(3, 32.99608672511681)	(4, 32.94130747466128)	(5, 32.96989022178872)	(6, 37.06091156712438)	(7, 37.06385165041198)	(8, 37.08393744522361)	(9, 37.05232647773921)	(10, 37.06905077530931)	(12, 37.03778823240915)	(14, 37.033642518685824)	(16, 37.02800966373756)	(18, 37.03066705411055)	(20, 37.034096839711495)	(22, 37.03693102655768)	(24, 37.01651503388576)	(26, 37.03149979271569)	(28, 37.01750933879054)	(30, 36.984346900467244)	(32, 36.930935753959574)	(34, 36.93392917034592)	(36, 36.91933564003567)	(38, 36.94349580867823)	(40, 36.93957244449234)	(42, 36.911686491550824)	(44, 36.89276033425008)	(46, 36.86248412378117)	(48, 36.841568312001925)	(50, 36.83419080493391)	(52, 36.82988949052046)	(54, 36.8503939501572)	(56, 36.82741868351919)	(58, 36.81678771997154)	(60, 36.81231593208112)	(62, 36.780865211314534)	(64, 36.728010790880376)	(66, 36.70397111655316)	(68, 35.61986286795714)	(70, 35.54988393178202)	(72, 35.53932235624531)	(74, 35.4841945162578)	(76, 35.47359398556597)	(78, 35.44869658305283)	(80, 35.423978423737516)	(82, 35.38996249088663)	(84, 35.327483755397914)	(86, 35.30634608892442)	(88, 35.277791410402045)	(90, 35.229370729915686)	(92, 35.162709002517104)	(94, 35.112446570681755)	(96, 35.02485803498871)	(98, 34.95579235940131)	(100, 34.85968935944199)	(102, 34.778797948929984)	(104, 34.68739722381977)	(106, 34.572651171843646)	(108, 34.51260049440332)	(110, 34.40889224954611)	(112, 34.29514880484375)	(114, 34.18785847265002)	(116, 34.0699950460699)	(118, 33.91716135406689)	(120, 33.76141971609197)	(122, 33.50190396413377)	(124, 33.10073058097889)	(126, 26.771713828887627)
20150415.B-CAMA_reseq_13_R1	(1, 33.33841162189603)	(2, 33.43503922593429)	(3, 33.445385248379864)	(4, 33.40213438347062)	(5, 33.4367386737226)	(6, 37.376315512849374)	(7, 37.54049977266562)	(8, 37.59945013823651)	(9, 37.61745597612475)	(10, 37.62909852317625)	(12, 37.62197043100375)	(14, 37.623037129674174)	(16, 37.61972032415554)	(18, 37.62186235013188)	(20, 37.58475858808877)	(22, 37.52874290275061)	(24, 37.545441882651815)	(26, 37.540906210246646)	(28, 37.51707045708373)	(30, 37.44949594081711)	(32, 37.464185419043254)	(34, 37.478394054099084)	(36, 37.45964256047965)	(38, 37.431452572298525)	(40, 37.410759006249755)	(42, 37.35231046533366)	(44, 37.310524317855226)	(46, 37.34126161561207)	(48, 37.32553229501562)	(50, 37.32268589437879)	(52, 37.31098685468035)	(54, 37.299292666950194)	(56, 37.28809351111924)	(58, 37.2712465068451)	(60, 37.25844024798436)	(62, 37.24091152905295)	(64, 37.20959873540397)	(66, 37.19312113639077)	(68, 37.184597067375954)	(70, 37.17790586216381)	(72, 37.16164880477925)	(74, 37.1414862801024)	(76, 36.96600739870087)	(78, 36.89783994568313)	(80, 36.88021848859037)	(82, 36.860420884382165)	(84, 36.840257966302474)	(86, 36.80601699668094)	(88, 36.78243071336837)	(90, 36.755137106657486)	(92, 36.73119036144173)	(94, 36.71180425659768)	(96, 36.67878863189601)	(98, 36.62965796823277)	(100, 36.57619444443861)	(102, 36.51665727920083)	(104, 36.4807808028649)	(106, 36.434127816475794)	(108, 36.381255996770534)	(110, 36.31675736612711)	(112, 36.257522176904544)	(114, 36.16822337916459)	(116, 36.122236712268524)	(118, 36.08536532016591)	(120, 36.02475495199751)	(122, 35.95267974995106)	(124, 35.74951530148191)	(126, 32.49955875938161)
20150415.B-CAMA_reseq_13_R2	(1, 32.9641013619711)	(2, 33.05662813486982)	(3, 33.08816010635095)	(4, 33.05625356291833)	(5, 33.06360138368694)	(6, 37.17174514755963)	(7, 37.17268475088788)	(8, 37.174910466760394)	(9, 37.164854985421016)	(10, 37.171198160259515)	(12, 37.154573743308745)	(14, 37.15646281126294)	(16, 37.14691256406959)	(18, 37.15260418513474)	(20, 37.151144267218505)	(22, 37.13984114813201)	(24, 37.145325026274065)	(26, 37.13768294018577)	(28, 37.13494543345334)	(30, 37.11185289692405)	(32, 37.0867346242961)	(34, 37.07473814582845)	(36, 37.074447604722266)	(38, 37.083717827778514)	(40, 37.06230732440543)	(42, 37.050725230256056)	(44, 37.03344807932344)	(46, 37.027095305455795)	(48, 37.01123251639126)	(50, 37.008904069925414)	(52, 37.01073688127438)	(54, 37.000248787952096)	(56, 36.977129683618095)	(58, 36.958351176337416)	(60, 36.94177147617542)	(62, 36.9165369661235)	(64, 36.876373526653936)	(66, 36.879803396147004)	(68, 36.678033508269955)	(70, 36.65612264894598)	(72, 36.643687500091794)	(74, 36.58353751814636)	(76, 36.57529016868484)	(78, 36.55437406776642)	(80, 36.533463395807104)	(82, 36.50358269338057)	(84, 36.447701315769876)	(86, 36.43350839060055)	(88, 36.41493702302529)	(90, 36.37510343871844)	(92, 36.31433898777346)	(94, 36.26859748952342)	(96, 36.186477480467815)	(98, 36.12452479560362)	(100, 36.033723723575655)	(102, 35.95942251716128)	(104, 35.86948218430682)	(106, 35.76099104573187)	(108, 35.709371191204895)	(110, 35.614267236341945)	(112, 35.50697849418823)	(114, 35.40711397163345)	(116, 35.29577561938916)	(118, 35.15112931791082)	(120, 35.007928562031864)	(122, 34.75695895518082)	(124, 34.367954469968886)	(126, 27.848102130313062)
20150415.B-CAMA_reseq_14_R1	(1, 33.337064857491235)	(2, 33.434709043842155)	(3, 33.44537825836319)	(4, 33.40109365455025)	(5, 33.436698763802916)	(6, 37.38146678105076)	(7, 37.542241736286364)	(8, 37.602380501139486)	(9, 37.618569351646855)	(10, 37.629401832431206)	(12, 37.62212762578608)	(14, 37.6233114973734)	(16, 37.61863505325398)	(18, 37.62120155812859)	(20, 37.58423847758861)	(22, 37.527228759741014)	(24, 37.541740562387915)	(26, 37.53652811805744)	(28, 37.51121917074758)	(30, 37.442600820103905)	(32, 37.45768829245793)	(34, 37.47002948861463)	(36, 37.452256152404274)	(38, 37.42089899298745)	(40, 37.4010302789457)	(42, 37.33998427749708)	(44, 37.30977645012241)	(46, 37.33423838199947)	(48, 37.31729029875942)	(50, 37.31595440856509)	(52, 37.303894658720615)	(54, 37.29102867814612)	(56, 37.279563779564285)	(58, 37.26152999479103)	(60, 37.24849883617027)	(62, 37.23166638393521)	(64, 37.20058474430349)	(66, 37.18381987359546)	(68, 37.174952928717644)	(70, 37.16861205450519)	(72, 37.15130057319076)	(74, 37.1269475810784)	(76, 36.92393372536779)	(78, 36.860121374000954)	(80, 36.84441741537397)	(82, 36.82371841400016)	(84, 36.802968431747885)	(86, 36.76958975304735)	(88, 36.744116137500015)	(90, 36.71837828168694)	(92, 36.695465499391474)	(94, 36.67457092262262)	(96, 36.64190460610963)	(98, 36.59052416500012)	(100, 36.53878962982657)	(102, 36.478702323797656)	(104, 36.44065411525935)	(106, 36.39519223551025)	(108, 36.34280441224209)	(110, 36.276896460002504)	(112, 36.21645627070541)	(114, 36.129184112217075)	(116, 36.08452263226001)	(118, 36.04629710585377)	(120, 35.986589416191194)	(122, 35.91244958150434)	(124, 35.70961008039812)	(126, 32.50134277261292)
20150415.B-CAMA_reseq_14_R2	(1, 32.94024187113079)	(2, 33.03310825700328)	(3, 33.06487393257193)	(4, 33.03470096337291)	(5, 33.04202098908257)	(6, 37.148668526024274)	(7, 37.151811433456125)	(8, 37.15197476344554)	(9, 37.13755571413441)	(10, 37.14338158588512)	(12, 37.12293615065563)	(14, 37.12228254393054)	(16, 37.11295543289839)	(18, 37.118415261941664)	(20, 37.114816808497594)	(22, 37.10262597406934)	(24, 37.107552702439015)	(26, 37.10101086797622)	(28, 37.09478782331914)	(30, 37.06939179429624)	(32, 37.039461334763516)	(34, 37.02726269388825)	(36, 37.02445205433185)	(38, 37.035845261053325)	(40, 37.01332002902342)	(42, 37.00177639684739)	(44, 36.98301215167474)	(46, 36.979407261894764)	(48, 36.95842636812604)	(50, 36.953079780359076)	(52, 36.95467379311373)	(54, 36.944721051113554)	(56, 36.9209925110364)	(58, 36.89906410577818)	(60, 36.88183282375821)	(62, 36.85603471491939)	(64, 36.8142850078364)	(66, 36.81640918986413)	(68, 36.58761519607437)	(70, 36.56086333058844)	(72, 36.54766552822117)	(74, 36.48916219808646)	(76, 36.47886683271989)	(78, 36.45723844993149)	(80, 36.4362964928087)	(82, 36.4034747802055)	(84, 36.346307531443415)	(86, 36.3310607757072)	(88, 36.31009845809608)	(90, 36.266688686157764)	(92, 36.202596672809435)	(94, 36.15495548795774)	(96, 36.07209754069517)	(98, 36.00724970396041)	(100, 35.91454546914452)	(102, 35.83652334497269)	(104, 35.7436021865189)	(106, 35.632824688611976)	(108, 35.57735574036407)	(110, 35.47860577875905)	(112, 35.36709441110649)	(114, 35.26014678796887)	(116, 35.1455712146156)	(118, 34.99558161471481)	(120, 34.84723465058152)	(122, 34.586638529895)	(124, 34.18238963691291)	(126, 27.6422312979515)
