Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
20150415.B-CAMA_reseq_10_R1	(0.0, 16.0)	(1.0, 21.0)	(2.0, 45.0)	(3.0, 71.0)	(4.0, 112.0)	(5.0, 176.5)	(6.0, 249.5)	(7.0, 345.5)	(8.0, 497.0)	(9.0, 706.0)	(10.0, 1029.5)	(11.0, 1571.0)	(12.0, 2379.5)	(13.0, 3733.5)	(14.0, 5762.0)	(15.0, 8704.5)	(16.0, 12879.0)	(17.0, 18521.0)	(18.0, 26183.5)	(19.0, 36920.0)	(20.0, 51161.5)	(21.0, 69204.0)	(22.0, 91423.5)	(23.0, 118244.5)	(24.0, 149480.5)	(25.0, 185952.0)	(26.0, 228377.0)	(27.0, 275040.0)	(28.0, 327787.5)	(29.0, 386769.5)	(30.0, 457581.5)	(31.0, 545878.0)	(32.0, 647569.5)	(33.0, 755923.5)	(34.0, 850267.0)	(35.0, 925793.5)	(36.0, 984611.5)	(37.0, 1020533.0)	(38.0, 1041149.5)	(39.0, 1052151.5)	(40.0, 1054015.5)	(41.0, 1046719.0)	(42.0, 1024842.5)	(43.0, 978079.5)	(44.0, 904355.5)	(45.0, 815825.0)	(46.0, 725189.0)	(47.0, 631766.5)	(48.0, 541856.0)	(49.0, 464009.0)	(50.0, 390964.0)	(51.0, 325786.5)	(52.0, 272757.5)	(53.0, 231701.5)	(54.0, 198999.0)	(55.0, 166558.0)	(56.0, 138187.0)	(57.0, 114708.5)	(58.0, 94375.0)	(59.0, 76934.0)	(60.0, 61967.5)	(61.0, 49350.5)	(62.0, 38106.5)	(63.0, 26965.0)	(64.0, 19442.5)	(65.0, 15046.0)	(66.0, 11699.0)	(67.0, 12530.5)	(68.0, 11824.0)	(69.0, 9683.0)	(70.0, 8975.5)	(71.0, 6913.5)	(72.0, 4673.0)	(73.0, 3240.5)	(74.0, 2303.0)	(75.0, 1719.5)	(76.0, 1222.0)	(77.0, 915.0)	(78.0, 707.0)	(79.0, 558.0)	(80.0, 422.5)	(81.0, 270.0)	(82.0, 168.0)	(83.0, 114.0)	(84.0, 75.5)	(85.0, 42.0)	(86.0, 22.0)	(87.0, 15.0)	(88.0, 12.5)	(89.0, 8.5)	(90.0, 3.0)	(91.0, 1.0)	(92.0, 2.0)	(93.0, 2.5)	(94.0, 2.0)	(95.0, 2.0)	(96.0, 1.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 1.0)	(100.0, 1.0)
20150415.B-CAMA_reseq_10_R2	(0.0, 4573.0)	(1.0, 2874.0)	(2.0, 1150.0)	(3.0, 1058.5)	(4.0, 999.0)	(5.0, 1019.0)	(6.0, 1056.5)	(7.0, 1132.5)	(8.0, 1315.5)	(9.0, 1623.0)	(10.0, 1988.0)	(11.0, 2491.0)	(12.0, 3287.0)	(13.0, 4462.0)	(14.0, 6349.0)	(15.0, 9285.5)	(16.0, 13363.0)	(17.0, 18849.0)	(18.0, 26559.0)	(19.0, 37044.5)	(20.0, 51098.5)	(21.0, 69335.5)	(22.0, 90973.0)	(23.0, 117680.5)	(24.0, 149443.0)	(25.0, 185244.5)	(26.0, 227309.5)	(27.0, 274576.5)	(28.0, 327689.5)	(29.0, 386531.0)	(30.0, 457481.5)	(31.0, 546929.0)	(32.0, 649760.0)	(33.0, 759998.5)	(34.0, 856441.0)	(35.0, 930954.5)	(36.0, 984029.0)	(37.0, 1013834.0)	(38.0, 1029943.5)	(39.0, 1036854.5)	(40.0, 1037177.5)	(41.0, 1032125.5)	(42.0, 1015865.5)	(43.0, 974353.0)	(44.0, 906446.5)	(45.0, 823512.0)	(46.0, 733790.0)	(47.0, 639911.0)	(48.0, 548911.0)	(49.0, 468775.0)	(50.0, 393888.5)	(51.0, 327679.5)	(52.0, 274104.5)	(53.0, 232234.5)	(54.0, 198740.0)	(55.0, 166446.5)	(56.0, 138665.5)	(57.0, 114560.0)	(58.0, 93924.0)	(59.0, 76454.5)	(60.0, 61569.5)	(61.0, 49268.5)	(62.0, 37911.5)	(63.0, 27134.5)	(64.0, 19726.0)	(65.0, 15169.5)	(66.0, 11812.5)	(67.0, 12468.0)	(68.0, 11717.0)	(69.0, 9627.0)	(70.0, 8767.5)	(71.0, 6920.0)	(72.0, 4871.5)	(73.0, 3396.5)	(74.0, 2465.0)	(75.0, 1793.0)	(76.0, 1308.5)	(77.0, 1018.0)	(78.0, 771.0)	(79.0, 560.5)	(80.0, 411.5)	(81.0, 302.0)	(82.0, 198.5)	(83.0, 124.5)	(84.0, 80.0)	(85.0, 54.0)	(86.0, 31.0)	(87.0, 27.0)	(88.0, 20.5)	(89.0, 9.5)	(90.0, 10.0)	(91.0, 6.5)	(92.0, 5.0)	(93.0, 3.5)	(94.0, 3.5)	(95.0, 5.5)	(96.0, 4.5)	(97.0, 4.5)	(98.0, 3.0)	(99.0, 1.0)	(100.0, 2.0)
20150415.B-CAMA_reseq_11_R1	(0.0, 21.0)	(1.0, 26.0)	(2.0, 45.0)	(3.0, 81.0)	(4.0, 128.5)	(5.0, 189.0)	(6.0, 295.5)	(7.0, 422.5)	(8.0, 589.5)	(9.0, 840.0)	(10.0, 1235.5)	(11.0, 1828.0)	(12.0, 2692.0)	(13.0, 4037.5)	(14.0, 6122.0)	(15.0, 9181.0)	(16.0, 13429.0)	(17.0, 19187.5)	(18.0, 26874.0)	(19.0, 37345.0)	(20.0, 51464.0)	(21.0, 68698.5)	(22.0, 89770.0)	(23.0, 115946.5)	(24.0, 145992.0)	(25.0, 180648.5)	(26.0, 220259.5)	(27.0, 264608.0)	(28.0, 314774.0)	(29.0, 369904.5)	(30.0, 434308.5)	(31.0, 512773.5)	(32.0, 601732.5)	(33.0, 696454.5)	(34.0, 782766.0)	(35.0, 851049.5)	(36.0, 897676.0)	(37.0, 923642.0)	(38.0, 940160.0)	(39.0, 952056.0)	(40.0, 959819.0)	(41.0, 963345.0)	(42.0, 955053.0)	(43.0, 920885.5)	(44.0, 858444.0)	(45.0, 779604.0)	(46.0, 693855.5)	(47.0, 601976.0)	(48.0, 512404.5)	(49.0, 434118.0)	(50.0, 362389.5)	(51.0, 299529.5)	(52.0, 249272.5)	(53.0, 211116.5)	(54.0, 180736.0)	(55.0, 151261.5)	(56.0, 125596.0)	(57.0, 103347.5)	(58.0, 84297.5)	(59.0, 68206.5)	(60.0, 54360.0)	(61.0, 42785.5)	(62.0, 32453.0)	(63.0, 22977.0)	(64.0, 16436.0)	(65.0, 12320.5)	(66.0, 9300.0)	(67.0, 9722.0)	(68.0, 9211.5)	(69.0, 7411.5)	(70.0, 6466.0)	(71.0, 4740.5)	(72.0, 2973.0)	(73.0, 1782.5)	(74.0, 1116.5)	(75.0, 687.0)	(76.0, 361.0)	(77.0, 221.0)	(78.0, 137.5)	(79.0, 81.5)	(80.0, 61.5)	(81.0, 50.0)	(82.0, 31.0)	(83.0, 16.5)	(84.0, 12.0)	(85.0, 11.0)	(86.0, 8.5)	(87.0, 6.5)	(88.0, 4.5)	(89.0, 2.5)	(90.0, 1.5)	(91.0, 2.0)	(92.0, 2.0)	(93.0, 2.5)	(94.0, 3.0)	(95.0, 1.5)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.5)
20150415.B-CAMA_reseq_11_R2	(0.0, 4045.0)	(1.0, 2590.5)	(2.0, 1059.5)	(3.0, 978.0)	(4.0, 966.0)	(5.0, 957.5)	(6.0, 974.0)	(7.0, 1081.5)	(8.0, 1283.5)	(9.0, 1538.0)	(10.0, 2008.0)	(11.0, 2631.0)	(12.0, 3374.5)	(13.0, 4652.5)	(14.0, 6666.0)	(15.0, 9741.0)	(16.0, 13779.5)	(17.0, 19419.5)	(18.0, 27239.0)	(19.0, 37468.0)	(20.0, 51366.0)	(21.0, 68814.0)	(22.0, 89634.5)	(23.0, 116048.0)	(24.0, 146255.5)	(25.0, 180287.5)	(26.0, 219594.0)	(27.0, 264201.0)	(28.0, 314609.5)	(29.0, 370292.0)	(30.0, 435615.0)	(31.0, 514387.5)	(32.0, 605625.0)	(33.0, 703033.0)	(34.0, 792216.0)	(35.0, 867705.0)	(36.0, 920345.5)	(37.0, 949027.5)	(38.0, 963492.0)	(39.0, 966098.5)	(40.0, 963302.5)	(41.0, 955510.5)	(42.0, 937453.5)	(43.0, 899072.5)	(44.0, 834946.5)	(45.0, 757814.5)	(46.0, 676079.5)	(47.0, 587785.0)	(48.0, 503658.0)	(49.0, 429834.5)	(50.0, 360444.0)	(51.0, 299120.0)	(52.0, 249083.0)	(53.0, 210493.0)	(54.0, 179971.0)	(55.0, 150358.0)	(56.0, 124435.0)	(57.0, 102722.0)	(58.0, 83987.0)	(59.0, 67854.5)	(60.0, 54140.5)	(61.0, 42676.0)	(62.0, 32628.0)	(63.0, 23335.5)	(64.0, 16709.5)	(65.0, 12501.5)	(66.0, 9467.5)	(67.0, 9808.5)	(68.0, 9325.5)	(69.0, 7305.5)	(70.0, 6212.5)	(71.0, 4718.0)	(72.0, 3063.0)	(73.0, 1852.5)	(74.0, 1194.0)	(75.0, 784.0)	(76.0, 433.0)	(77.0, 283.5)	(78.0, 207.0)	(79.0, 141.5)	(80.0, 96.5)	(81.0, 75.0)	(82.0, 59.5)	(83.0, 48.0)	(84.0, 39.5)	(85.0, 34.5)	(86.0, 25.5)	(87.0, 12.5)	(88.0, 10.0)	(89.0, 10.0)	(90.0, 12.0)	(91.0, 11.0)	(92.0, 6.5)	(93.0, 5.5)	(94.0, 4.5)	(95.0, 3.0)	(96.0, 3.5)	(97.0, 4.0)	(98.0, 2.5)	(99.0, 1.0)	(100.0, 6.5)
20150415.B-CAMA_reseq_12_R1	(0.0, 14.0)	(1.0, 28.0)	(2.0, 49.0)	(3.0, 79.0)	(4.0, 141.5)	(5.0, 204.0)	(6.0, 309.0)	(7.0, 463.5)	(8.0, 674.0)	(9.0, 979.5)	(10.0, 1460.5)	(11.0, 2253.0)	(12.0, 3503.0)	(13.0, 5392.5)	(14.0, 8120.5)	(15.0, 11791.0)	(16.0, 16679.0)	(17.0, 22913.0)	(18.0, 31059.5)	(19.0, 41892.0)	(20.0, 55865.5)	(21.0, 73202.5)	(22.0, 93720.5)	(23.0, 118657.0)	(24.0, 147009.0)	(25.0, 179460.5)	(26.0, 216528.5)	(27.0, 256606.5)	(28.0, 302260.0)	(29.0, 352203.0)	(30.0, 407749.5)	(31.0, 473257.0)	(32.0, 547073.0)	(33.0, 629042.5)	(34.0, 711612.0)	(35.0, 786846.0)	(36.0, 846936.0)	(37.0, 888495.0)	(38.0, 915567.5)	(39.0, 928892.5)	(40.0, 930368.0)	(41.0, 918650.5)	(42.0, 892461.5)	(43.0, 849168.0)	(44.0, 785597.0)	(45.0, 709160.0)	(46.0, 629809.0)	(47.0, 546875.5)	(48.0, 467719.5)	(49.0, 399884.0)	(50.0, 336622.0)	(51.0, 281180.5)	(52.0, 236454.5)	(53.0, 200882.5)	(54.0, 172953.0)	(55.0, 146008.5)	(56.0, 121218.5)	(57.0, 100144.5)	(58.0, 82217.5)	(59.0, 66487.0)	(60.0, 53458.0)	(61.0, 42852.5)	(62.0, 32612.5)	(63.0, 22843.0)	(64.0, 16498.0)	(65.0, 12231.5)	(66.0, 8851.5)	(67.0, 9708.5)	(68.0, 9256.5)	(69.0, 7259.5)	(70.0, 6343.5)	(71.0, 4927.5)	(72.0, 3241.0)	(73.0, 1803.0)	(74.0, 1151.5)	(75.0, 643.0)	(76.0, 328.5)	(77.0, 208.5)	(78.0, 153.5)	(79.0, 103.5)	(80.0, 66.0)	(81.0, 43.5)	(82.0, 38.5)	(83.0, 30.0)	(84.0, 16.5)	(85.0, 13.0)	(86.0, 10.0)	(87.0, 10.0)	(88.0, 8.5)	(89.0, 4.5)	(90.0, 2.5)	(91.0, 3.5)	(92.0, 3.0)	(93.0, 1.5)	(94.0, 3.0)	(95.0, 2.5)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 1.0)	(100.0, 1.5)
20150415.B-CAMA_reseq_12_R2	(0.0, 4021.0)	(1.0, 2542.5)	(2.0, 1052.5)	(3.0, 1034.0)	(4.0, 986.5)	(5.0, 1006.5)	(6.0, 1113.5)	(7.0, 1197.5)	(8.0, 1413.0)	(9.0, 1822.0)	(10.0, 2370.0)	(11.0, 3110.5)	(12.0, 4198.0)	(13.0, 6103.5)	(14.0, 8847.0)	(15.0, 12438.0)	(16.0, 17278.0)	(17.0, 23579.0)	(18.0, 31546.0)	(19.0, 42386.5)	(20.0, 56383.0)	(21.0, 73457.0)	(22.0, 94330.5)	(23.0, 119405.5)	(24.0, 147369.5)	(25.0, 178758.0)	(26.0, 216093.5)	(27.0, 257612.5)	(28.0, 302865.0)	(29.0, 352227.5)	(30.0, 408581.5)	(31.0, 475589.0)	(32.0, 551073.0)	(33.0, 635087.5)	(34.0, 718899.0)	(35.0, 793063.0)	(36.0, 850049.0)	(37.0, 887057.0)	(38.0, 907452.5)	(39.0, 914364.5)	(40.0, 912861.5)	(41.0, 902736.0)	(42.0, 881315.5)	(43.0, 843590.5)	(44.0, 786500.5)	(45.0, 713777.5)	(46.0, 634301.5)	(47.0, 550913.0)	(48.0, 471572.0)	(49.0, 403392.0)	(50.0, 339466.5)	(51.0, 282564.0)	(52.0, 237583.5)	(53.0, 201929.5)	(54.0, 172592.0)	(55.0, 144699.5)	(56.0, 119957.0)	(57.0, 99329.0)	(58.0, 81636.0)	(59.0, 66623.5)	(60.0, 53655.5)	(61.0, 42625.5)	(62.0, 32566.0)	(63.0, 22857.0)	(64.0, 16408.0)	(65.0, 12249.5)	(66.0, 8853.5)	(67.0, 9451.0)	(68.0, 9107.0)	(69.0, 7229.5)	(70.0, 6234.0)	(71.0, 4835.0)	(72.0, 3262.5)	(73.0, 1912.0)	(74.0, 1214.0)	(75.0, 688.0)	(76.0, 380.0)	(77.0, 214.5)	(78.0, 154.5)	(79.0, 140.5)	(80.0, 108.0)	(81.0, 68.5)	(82.0, 52.5)	(83.0, 45.5)	(84.0, 37.5)	(85.0, 31.5)	(86.0, 21.5)	(87.0, 13.0)	(88.0, 10.0)	(89.0, 12.0)	(90.0, 11.0)	(91.0, 9.5)	(92.0, 7.0)	(93.0, 3.5)	(94.0, 3.0)	(95.0, 2.0)	(96.0, 1.5)	(97.0, 1.5)	(98.0, 1.5)	(99.0, 0.5)	(100.0, 4.0)
20150415.B-CAMA_reseq_13_R1	(0.0, 7.0)	(1.0, 19.5)	(2.0, 51.0)	(3.0, 81.0)	(4.0, 105.0)	(5.0, 145.5)	(6.0, 196.5)	(7.0, 268.0)	(8.0, 358.0)	(9.0, 514.0)	(10.0, 741.0)	(11.0, 1088.0)	(12.0, 1675.0)	(13.0, 2686.0)	(14.0, 4340.0)	(15.0, 7034.5)	(16.0, 11074.0)	(17.0, 16419.5)	(18.0, 23755.0)	(19.0, 33815.5)	(20.0, 46979.5)	(21.0, 63989.5)	(22.0, 85185.0)	(23.0, 110484.5)	(24.0, 140071.0)	(25.0, 175100.0)	(26.0, 216329.5)	(27.0, 263208.0)	(28.0, 315866.5)	(29.0, 374300.5)	(30.0, 442429.0)	(31.0, 521773.5)	(32.0, 611526.5)	(33.0, 707008.0)	(34.0, 793359.5)	(35.0, 861828.0)	(36.0, 909513.0)	(37.0, 937498.5)	(38.0, 953829.0)	(39.0, 962569.0)	(40.0, 961975.0)	(41.0, 950497.5)	(42.0, 930568.5)	(43.0, 895861.5)	(44.0, 838366.5)	(45.0, 763016.0)	(46.0, 677410.0)	(47.0, 589977.0)	(48.0, 506050.5)	(49.0, 428357.5)	(50.0, 357764.5)	(51.0, 295329.0)	(52.0, 242504.5)	(53.0, 200668.5)	(54.0, 167506.5)	(55.0, 137495.5)	(56.0, 111833.5)	(57.0, 90679.5)	(58.0, 72384.0)	(59.0, 57067.0)	(60.0, 44638.5)	(61.0, 34687.0)	(62.0, 26124.5)	(63.0, 18424.0)	(64.0, 13350.0)	(65.0, 10088.5)	(66.0, 7671.0)	(67.0, 7850.0)	(68.0, 7218.0)	(69.0, 5782.0)	(70.0, 5006.5)	(71.0, 3847.0)	(72.0, 2650.5)	(73.0, 1574.5)	(74.0, 1041.0)	(75.0, 646.0)	(76.0, 378.5)	(77.0, 254.5)	(78.0, 184.5)	(79.0, 133.0)	(80.0, 88.5)	(81.0, 55.0)	(82.0, 37.5)	(83.0, 37.5)	(84.0, 31.0)	(85.0, 20.5)	(86.0, 18.5)	(87.0, 15.5)	(88.0, 7.5)	(89.0, 5.0)	(90.0, 5.5)	(91.0, 4.0)	(92.0, 2.5)	(93.0, 2.0)	(94.0, 4.0)	(95.0, 4.5)	(96.0, 2.5)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 1.5)	(100.0, 2.0)
20150415.B-CAMA_reseq_13_R2	(0.0, 4199.0)	(1.0, 2625.0)	(2.0, 1017.0)	(3.0, 961.5)	(4.0, 912.0)	(5.0, 891.0)	(6.0, 935.5)	(7.0, 1023.5)	(8.0, 1123.0)	(9.0, 1290.5)	(10.0, 1529.0)	(11.0, 1831.5)	(12.0, 2472.5)	(13.0, 3596.0)	(14.0, 5246.0)	(15.0, 7819.0)	(16.0, 11566.0)	(17.0, 16869.0)	(18.0, 24355.5)	(19.0, 34321.5)	(20.0, 47473.5)	(21.0, 64265.0)	(22.0, 85018.0)	(23.0, 110305.5)	(24.0, 140634.0)	(25.0, 175623.0)	(26.0, 216733.0)	(27.0, 263697.5)	(28.0, 315872.5)	(29.0, 374918.0)	(30.0, 442870.5)	(31.0, 522319.5)	(32.0, 612332.5)	(33.0, 708345.0)	(34.0, 796237.0)	(35.0, 865304.0)	(36.0, 913229.5)	(37.0, 939440.0)	(38.0, 952993.0)	(39.0, 960154.0)	(40.0, 957106.0)	(41.0, 946402.5)	(42.0, 926653.5)	(43.0, 892125.0)	(44.0, 836651.0)	(45.0, 761362.0)	(46.0, 677572.0)	(47.0, 589730.5)	(48.0, 504640.0)	(49.0, 427430.0)	(50.0, 356245.0)	(51.0, 293402.0)	(52.0, 241456.5)	(53.0, 199362.5)	(54.0, 165967.5)	(55.0, 136749.0)	(56.0, 111297.5)	(57.0, 90286.5)	(58.0, 72245.5)	(59.0, 56926.0)	(60.0, 44481.0)	(61.0, 34340.0)	(62.0, 25704.5)	(63.0, 18158.0)	(64.0, 13322.5)	(65.0, 10158.5)	(66.0, 7609.5)	(67.0, 7781.0)	(68.0, 7074.5)	(69.0, 5678.5)	(70.0, 4917.0)	(71.0, 3830.0)	(72.0, 2667.0)	(73.0, 1595.5)	(74.0, 1080.0)	(75.0, 663.5)	(76.0, 403.0)	(77.0, 280.5)	(78.0, 203.0)	(79.0, 139.0)	(80.0, 102.5)	(81.0, 82.0)	(82.0, 64.0)	(83.0, 51.5)	(84.0, 38.0)	(85.0, 32.5)	(86.0, 23.5)	(87.0, 12.5)	(88.0, 11.5)	(89.0, 11.5)	(90.0, 8.0)	(91.0, 6.5)	(92.0, 5.5)	(93.0, 3.5)	(94.0, 4.0)	(95.0, 4.0)	(96.0, 2.5)	(97.0, 4.0)	(98.0, 5.0)	(99.0, 2.5)	(100.0, 3.5)
20150415.B-CAMA_reseq_14_R1	(0.0, 12.0)	(1.0, 20.5)	(2.0, 37.5)	(3.0, 71.5)	(4.0, 117.0)	(5.0, 160.0)	(6.0, 209.5)	(7.0, 275.0)	(8.0, 383.5)	(9.0, 561.0)	(10.0, 902.5)	(11.0, 1456.0)	(12.0, 2342.5)	(13.0, 3769.0)	(14.0, 5971.0)	(15.0, 9114.5)	(16.0, 13254.5)	(17.0, 18650.5)	(18.0, 25424.5)	(19.0, 34889.5)	(20.0, 47524.5)	(21.0, 63155.0)	(22.0, 81576.0)	(23.0, 103524.5)	(24.0, 129673.0)	(25.0, 159740.5)	(26.0, 193873.5)	(27.0, 232148.5)	(28.0, 275309.5)	(29.0, 322261.5)	(30.0, 375782.0)	(31.0, 439890.0)	(32.0, 510260.0)	(33.0, 582782.5)	(34.0, 644191.5)	(35.0, 686223.5)	(36.0, 715038.5)	(37.0, 736143.5)	(38.0, 752447.5)	(39.0, 763614.5)	(40.0, 769290.0)	(41.0, 766534.0)	(42.0, 752234.0)	(43.0, 725108.0)	(44.0, 681339.5)	(45.0, 622404.0)	(46.0, 555606.0)	(47.0, 484134.5)	(48.0, 414822.5)	(49.0, 352810.0)	(50.0, 294614.5)	(51.0, 242934.0)	(52.0, 201850.0)	(53.0, 169954.0)	(54.0, 143155.0)	(55.0, 118073.5)	(56.0, 97038.5)	(57.0, 79564.0)	(58.0, 64743.0)	(59.0, 51587.5)	(60.0, 40875.5)	(61.0, 32322.5)	(62.0, 24027.0)	(63.0, 16537.5)	(64.0, 11923.0)	(65.0, 8924.0)	(66.0, 6403.0)	(67.0, 6752.5)	(68.0, 6483.5)	(69.0, 4843.5)	(70.0, 4100.0)	(71.0, 3286.0)	(72.0, 2096.0)	(73.0, 1156.5)	(74.0, 709.5)	(75.0, 413.5)	(76.0, 245.5)	(77.0, 146.0)	(78.0, 96.0)	(79.0, 65.5)	(80.0, 43.0)	(81.0, 32.0)	(82.0, 24.0)	(83.0, 15.0)	(84.0, 12.0)	(85.0, 12.5)	(86.0, 10.5)	(87.0, 5.5)	(88.0, 4.5)	(89.0, 5.0)	(90.0, 4.5)	(91.0, 3.5)	(92.0, 2.0)	(93.0, 1.5)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 1.0)	(100.0, 0.5)
20150415.B-CAMA_reseq_14_R2	(0.0, 3382.0)	(1.0, 2126.5)	(2.0, 837.0)	(3.0, 840.0)	(4.0, 855.0)	(5.0, 829.5)	(6.0, 840.0)	(7.0, 891.5)	(8.0, 1053.5)	(9.0, 1261.5)	(10.0, 1575.0)	(11.0, 2063.5)	(12.0, 2917.5)	(13.0, 4417.0)	(14.0, 6516.0)	(15.0, 9490.5)	(16.0, 13508.0)	(17.0, 18782.5)	(18.0, 25889.0)	(19.0, 35427.5)	(20.0, 47764.0)	(21.0, 63558.5)	(22.0, 82083.0)	(23.0, 104102.5)	(24.0, 129780.0)	(25.0, 159562.5)	(26.0, 194392.5)	(27.0, 232587.0)	(28.0, 274961.0)	(29.0, 321990.0)	(30.0, 376471.0)	(31.0, 440159.5)	(32.0, 510335.5)	(33.0, 584146.5)	(34.0, 645906.5)	(35.0, 688584.5)	(36.0, 720010.0)	(37.0, 741044.5)	(38.0, 754935.5)	(39.0, 763668.5)	(40.0, 767067.0)	(41.0, 763651.0)	(42.0, 748814.5)	(43.0, 720409.5)	(44.0, 675821.5)	(45.0, 618865.5)	(46.0, 553000.0)	(47.0, 481333.0)	(48.0, 413867.0)	(49.0, 352456.0)	(50.0, 293616.0)	(51.0, 242316.0)	(52.0, 201442.5)	(53.0, 168893.5)	(54.0, 142081.0)	(55.0, 117504.0)	(56.0, 96626.5)	(57.0, 79316.0)	(58.0, 64509.5)	(59.0, 51435.5)	(60.0, 40811.0)	(61.0, 32067.5)	(62.0, 23713.5)	(63.0, 16495.0)	(64.0, 11894.0)	(65.0, 8829.0)	(66.0, 6524.5)	(67.0, 6712.5)	(68.0, 6366.0)	(69.0, 4975.5)	(70.0, 4111.0)	(71.0, 3189.5)	(72.0, 2115.5)	(73.0, 1203.0)	(74.0, 799.5)	(75.0, 475.5)	(76.0, 263.5)	(77.0, 185.0)	(78.0, 136.5)	(79.0, 89.0)	(80.0, 66.5)	(81.0, 58.0)	(82.0, 45.0)	(83.0, 32.5)	(84.0, 26.0)	(85.0, 19.0)	(86.0, 13.5)	(87.0, 12.0)	(88.0, 10.0)	(89.0, 9.5)	(90.0, 7.0)	(91.0, 5.0)	(92.0, 2.5)	(93.0, 2.0)	(94.0, 1.5)	(95.0, 1.0)	(96.0, 3.0)	(97.0, 2.5)	(98.0, 1.0)	(99.0, 1.0)	(100.0, 1.5)
