Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
20150415.B-CAMA_reseq_10_R1	(2.0, 60.0)	(3.0, 63.0)	(4.0, 83.0)	(5.0, 70.0)	(6.0, 144.0)	(7.0, 232.0)	(8.0, 732.0)	(9.0, 978.0)	(10.0, 1244.0)	(11.0, 1499.0)	(12.0, 1902.0)	(13.0, 2244.0)	(14.0, 3026.0)	(15.0, 4093.0)	(16.0, 5692.0)	(17.0, 7896.0)	(18.0, 11275.0)	(19.0, 16560.0)	(20.0, 27220.0)	(21.0, 62049.0)	(22.0, 527201.0)	(23.0, 53478.0)	(24.0, 51530.0)	(25.0, 62631.0)	(26.0, 70735.0)	(27.0, 79812.0)	(28.0, 96979.0)	(29.0, 121196.0)	(30.0, 150092.0)	(31.0, 187722.0)	(32.0, 241567.0)	(33.0, 326381.0)	(34.0, 470096.0)	(35.0, 758638.0)	(36.0, 1638532.0)	(37.0, 15787797.0)
20150415.B-CAMA_reseq_10_R2	(2.0, 24453.0)	(3.0, 3420.0)	(4.0, 2507.0)	(5.0, 2172.0)	(6.0, 2235.0)	(7.0, 2549.0)	(8.0, 3144.0)	(9.0, 3794.0)	(10.0, 4305.0)	(11.0, 5119.0)	(12.0, 6590.0)	(13.0, 8353.0)	(14.0, 11732.0)	(15.0, 15799.0)	(16.0, 21451.0)	(17.0, 30072.0)	(18.0, 45703.0)	(19.0, 82364.0)	(20.0, 530400.0)	(21.0, 87883.0)	(22.0, 73556.0)	(23.0, 79066.0)	(24.0, 87501.0)	(25.0, 101164.0)	(26.0, 116602.0)	(27.0, 134596.0)	(28.0, 155385.0)	(29.0, 178752.0)	(30.0, 207344.0)	(31.0, 248742.0)	(32.0, 311536.0)	(33.0, 409760.0)	(34.0, 575236.0)	(35.0, 910379.0)	(36.0, 1918129.0)	(37.0, 14369656.0)
20150415.B-CAMA_reseq_11_R1	(2.0, 49.0)	(3.0, 71.0)	(4.0, 56.0)	(5.0, 80.0)	(6.0, 146.0)	(7.0, 261.0)	(8.0, 705.0)	(9.0, 987.0)	(10.0, 1225.0)	(11.0, 1497.0)	(12.0, 1953.0)	(13.0, 2367.0)	(14.0, 2963.0)	(15.0, 4007.0)	(16.0, 5611.0)	(17.0, 7876.0)	(18.0, 11125.0)	(19.0, 16821.0)	(20.0, 27242.0)	(21.0, 60920.0)	(22.0, 428438.0)	(23.0, 53635.0)	(24.0, 44097.0)	(25.0, 50882.0)	(26.0, 59640.0)	(27.0, 71375.0)	(28.0, 90003.0)	(29.0, 114825.0)	(30.0, 145769.0)	(31.0, 183734.0)	(32.0, 240081.0)	(33.0, 325415.0)	(34.0, 470329.0)	(35.0, 758076.0)	(36.0, 1635476.0)	(37.0, 14472528.0)
20150415.B-CAMA_reseq_11_R2	(2.0, 23250.0)	(3.0, 3480.0)	(4.0, 2516.0)	(5.0, 2270.0)	(6.0, 2281.0)	(7.0, 2667.0)	(8.0, 3240.0)	(9.0, 3861.0)	(10.0, 4281.0)	(11.0, 5088.0)	(12.0, 6744.0)	(13.0, 8828.0)	(14.0, 12127.0)	(15.0, 16042.0)	(16.0, 22010.0)	(17.0, 30498.0)	(18.0, 44940.0)	(19.0, 77085.0)	(20.0, 419883.0)	(21.0, 79529.0)	(22.0, 71923.0)	(23.0, 79037.0)	(24.0, 89184.0)	(25.0, 102268.0)	(26.0, 119120.0)	(27.0, 137487.0)	(28.0, 157590.0)	(29.0, 182055.0)	(30.0, 211842.0)	(31.0, 254821.0)	(32.0, 318877.0)	(33.0, 419099.0)	(34.0, 584112.0)	(35.0, 920889.0)	(36.0, 1934863.0)	(37.0, 12936478.0)
20150415.B-CAMA_reseq_12_R1	(2.0, 51.0)	(3.0, 58.0)	(4.0, 83.0)	(5.0, 71.0)	(6.0, 108.0)	(7.0, 252.0)	(8.0, 680.0)	(9.0, 934.0)	(10.0, 1230.0)	(11.0, 1356.0)	(12.0, 1720.0)	(13.0, 2119.0)	(14.0, 2936.0)	(15.0, 3798.0)	(16.0, 5331.0)	(17.0, 7399.0)	(18.0, 10599.0)	(19.0, 15372.0)	(20.0, 25124.0)	(21.0, 56798.0)	(22.0, 476821.0)	(23.0, 54556.0)	(24.0, 47572.0)	(25.0, 57216.0)	(26.0, 64301.0)	(27.0, 71406.0)	(28.0, 86332.0)	(29.0, 107715.0)	(30.0, 133020.0)	(31.0, 164167.0)	(32.0, 209857.0)	(33.0, 281067.0)	(34.0, 401018.0)	(35.0, 641071.0)	(36.0, 1369754.0)	(37.0, 13885688.0)
20150415.B-CAMA_reseq_12_R2	(2.0, 21085.0)	(3.0, 3254.0)	(4.0, 2385.0)	(5.0, 2124.0)	(6.0, 2093.0)	(7.0, 2391.0)	(8.0, 2808.0)	(9.0, 3569.0)	(10.0, 4063.0)	(11.0, 4720.0)	(12.0, 5983.0)	(13.0, 7834.0)	(14.0, 10770.0)	(15.0, 14412.0)	(16.0, 19645.0)	(17.0, 27494.0)	(18.0, 41531.0)	(19.0, 74178.0)	(20.0, 488601.0)	(21.0, 80770.0)	(22.0, 68506.0)	(23.0, 73611.0)	(24.0, 80998.0)	(25.0, 91972.0)	(26.0, 105613.0)	(27.0, 121895.0)	(28.0, 139956.0)	(29.0, 160531.0)	(30.0, 184579.0)	(31.0, 219686.0)	(32.0, 274286.0)	(33.0, 358536.0)	(34.0, 499208.0)	(35.0, 785111.0)	(36.0, 1647603.0)	(37.0, 12555779.0)
20150415.B-CAMA_reseq_13_R1	(2.0, 57.0)	(3.0, 64.0)	(4.0, 72.0)	(5.0, 76.0)	(6.0, 150.0)	(7.0, 295.0)	(8.0, 726.0)	(9.0, 933.0)	(10.0, 1280.0)	(11.0, 1511.0)	(12.0, 1893.0)	(13.0, 2274.0)	(14.0, 2812.0)	(15.0, 3575.0)	(16.0, 4372.0)	(17.0, 5338.0)	(18.0, 6974.0)	(19.0, 8657.0)	(20.0, 11151.0)	(21.0, 15961.0)	(22.0, 46432.0)	(23.0, 94074.0)	(24.0, 27274.0)	(25.0, 36276.0)	(26.0, 46481.0)	(27.0, 60057.0)	(28.0, 78275.0)	(29.0, 101287.0)	(30.0, 130610.0)	(31.0, 168740.0)	(32.0, 222242.0)	(33.0, 301692.0)	(34.0, 436743.0)	(35.0, 706260.0)	(36.0, 1538615.0)	(37.0, 15001199.0)
20150415.B-CAMA_reseq_13_R2	(2.0, 18720.0)	(3.0, 2050.0)	(4.0, 1606.0)	(5.0, 1486.0)	(6.0, 1550.0)	(7.0, 1702.0)	(8.0, 2213.0)	(9.0, 2669.0)	(10.0, 3103.0)	(11.0, 3695.0)	(12.0, 4658.0)	(13.0, 5747.0)	(14.0, 7543.0)	(15.0, 9751.0)	(16.0, 12268.0)	(17.0, 15469.0)	(18.0, 20851.0)	(19.0, 30230.0)	(20.0, 122823.0)	(21.0, 41376.0)	(22.0, 46282.0)	(23.0, 55595.0)	(24.0, 65835.0)	(25.0, 78877.0)	(26.0, 93291.0)	(27.0, 110266.0)	(28.0, 129525.0)	(29.0, 152762.0)	(30.0, 181154.0)	(31.0, 219833.0)	(32.0, 278678.0)	(33.0, 368895.0)	(34.0, 521105.0)	(35.0, 832293.0)	(36.0, 1768267.0)	(37.0, 13852260.0)
20150415.B-CAMA_reseq_14_R1	(2.0, 35.0)	(3.0, 52.0)	(4.0, 58.0)	(5.0, 64.0)	(6.0, 130.0)	(7.0, 227.0)	(8.0, 617.0)	(9.0, 739.0)	(10.0, 984.0)	(11.0, 1191.0)	(12.0, 1452.0)	(13.0, 1777.0)	(14.0, 2399.0)	(15.0, 2951.0)	(16.0, 3849.0)	(17.0, 4895.0)	(18.0, 6137.0)	(19.0, 7776.0)	(20.0, 10020.0)	(21.0, 14506.0)	(22.0, 41121.0)	(23.0, 85821.0)	(24.0, 23960.0)	(25.0, 31423.0)	(26.0, 40637.0)	(27.0, 51907.0)	(28.0, 66874.0)	(29.0, 85482.0)	(30.0, 109703.0)	(31.0, 141396.0)	(32.0, 185116.0)	(33.0, 249723.0)	(34.0, 357258.0)	(35.0, 573341.0)	(36.0, 1233393.0)	(37.0, 12355144.0)
20150415.B-CAMA_reseq_14_R2	(2.0, 16255.0)	(3.0, 1987.0)	(4.0, 1495.0)	(5.0, 1391.0)	(6.0, 1412.0)	(7.0, 1701.0)	(8.0, 2005.0)	(9.0, 2368.0)	(10.0, 2908.0)	(11.0, 3380.0)	(12.0, 4159.0)	(13.0, 5310.0)	(14.0, 6961.0)	(15.0, 8662.0)	(16.0, 11098.0)	(17.0, 14210.0)	(18.0, 19196.0)	(19.0, 28266.0)	(20.0, 112426.0)	(21.0, 37138.0)	(22.0, 41049.0)	(23.0, 49019.0)	(24.0, 58861.0)	(25.0, 70045.0)	(26.0, 82313.0)	(27.0, 97231.0)	(28.0, 112884.0)	(29.0, 131572.0)	(30.0, 156245.0)	(31.0, 189610.0)	(32.0, 238252.0)	(33.0, 312591.0)	(34.0, 438280.0)	(35.0, 694842.0)	(36.0, 1467129.0)	(37.0, 11269907.0)
