Sample	Unique Reads	Duplicate Reads
20150415.B-CAMA_reseq_10_R1	15284444.0	5487005.0
20150415.B-CAMA_reseq_10_R2	15363147.0	5408302.0
20150415.B-CAMA_reseq_11_R1	14607320.0	4682945.0
20150415.B-CAMA_reseq_11_R2	14664273.0	4625992.0
20150415.B-CAMA_reseq_12_R1	13523646.0	4663934.0
20150415.B-CAMA_reseq_12_R2	13594809.0	4592771.0
20150415.B-CAMA_reseq_13_R1	15835385.0	3229043.0
20150415.B-CAMA_reseq_13_R2	15868386.0	3196042.0
20150415.B-CAMA_reseq_14_R1	12479624.0	3212534.0
20150415.B-CAMA_reseq_14_R2	12516583.0	3175575.0
20150415.B-CAMA_reseq_15_R1	13991843.0	4139013.0
20150415.B-CAMA_reseq_15_R2	14003030.0	4127826.0
20150415.B-CAMA_reseq_16_R1	12925167.0	3661317.0
20150415.B-CAMA_reseq_16_R2	12960214.0	3626270.0
20150415.B-CAMA_reseq_17_R1	13305773.0	3743186.0
20150415.B-CAMA_reseq_17_R2	13369930.0	3679029.0
20150415.B-CAMA_reseq_18_R1	13246536.0	4009202.0
20150415.B-CAMA_reseq_18_R2	13305673.0	3950065.0
20150415.B-CAMA_reseq_19_R1	19722728.0	6398935.0
20150415.B-CAMA_reseq_19_R2	19881227.0	6240436.0
20150415.B-CAMA_reseq_1_R1	15585297.0	4018390.0
20150415.B-CAMA_reseq_1_R2	15619589.0	3984098.0
20150415.B-CAMA_reseq_20_R1	17809955.0	5226211.0
20150415.B-CAMA_reseq_20_R2	17889359.0	5146807.0
20150415.B-CAMA_reseq_21_R1	19850698.0	6059141.0
20150415.B-CAMA_reseq_21_R2	19987195.0	5922644.0
20150415.B-CAMA_reseq_22_R1	16588949.0	4923273.0
20150415.B-CAMA_reseq_22_R2	16699635.0	4812587.0
20150415.B-CAMA_reseq_23_R1	15701003.0	6212910.0
20150415.B-CAMA_reseq_23_R2	15780108.0	6133805.0
20150415.B-CAMA_reseq_24_R1	14144115.0	6083222.0
20150415.B-CAMA_reseq_24_R2	14206723.0	6020614.0
20150415.B-CAMA_reseq_25_R1	15648087.0	4689945.0
20150415.B-CAMA_reseq_25_R2	15757942.0	4580090.0
20150415.B-CAMA_reseq_26_R1	15748873.0	4961973.0
20150415.B-CAMA_reseq_26_R2	15866603.0	4844243.0
20150415.B-CAMA_reseq_2_R1	14058622.0	3637383.0
20150415.B-CAMA_reseq_2_R2	14129171.0	3566834.0
20150415.B-CAMA_reseq_3_R1	15213511.0	4221676.0
20150415.B-CAMA_reseq_3_R2	15251655.0	4183532.0
20150415.B-CAMA_reseq_4_R1	13419655.0	5010069.0
20150415.B-CAMA_reseq_4_R2	13490024.0	4939700.0
20150415.B-CAMA_reseq_5_R1	16891374.0	5781247.0
20150415.B-CAMA_reseq_5_R2	16974380.0	5698241.0
20150415.B-CAMA_reseq_6_R1	15035428.0	4778469.0
20150415.B-CAMA_reseq_6_R2	15113103.0	4700794.0
20150415.B-CAMA_reseq_7_R1	17956071.0	5899809.0
20150415.B-CAMA_reseq_7_R2	18054291.0	5801589.0
20150415.B-CAMA_reseq_8_R1	16931992.0	6378291.0
20150415.B-CAMA_reseq_8_R2	16988211.0	6322072.0
20150415.B-CAMA_reseq_9_R1	15500298.0	4150118.0
20150415.B-CAMA_reseq_9_R2	15538910.0	4111506.0
