Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
20150415.B-CAMA_reseq_1	1.32704	94.05160000000001	4646.272324	39.207374	38.7087	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_10	1.4115499999999999	93.7393	4906.696443	41.542898	39.2433	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_10_R1										26.416096356408374	39.0	126.0	126	9.090909090909092	20.771449
20150415.B-CAMA_reseq_10_R2										26.03719513429685	39.0	126.0	126	18.181818181818183	20.771449
20150415.B-CAMA_reseq_11	1.3318	93.54860000000001	4547.536658999999	38.580529999999996	39.115	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_11_R1										24.27620886075161	39.0	126.0	126	9.090909090909092	19.290264999999998
20150415.B-CAMA_reseq_11_R2										23.980967579210272	39.0	126.0	126	18.181818181818183	19.290264999999998
20150415.B-CAMA_reseq_12	1.4264000000000001	93.60730000000001	4290.273848	36.37516	39.023799999999994	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_12_R1										25.643515290759268	38.0	126.0	126	9.090909090909092	18.18758
20150415.B-CAMA_reseq_12_R2										25.25223884943307	39.0	126.0	126	18.181818181818183	18.18758
20150415.B-CAMA_reseq_13	1.31423	95.2325	4575.193816999999	38.128856	39.0456	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_13_R1										16.937530295549152	39.0	126.0	126	0.0	19.064428
20150415.B-CAMA_reseq_13_R2										16.76443120191273	39.0	126.0	126	9.090909090909092	19.064428
20150415.B-CAMA_reseq_14	1.38493	95.0454	3758.4966419999996	31.384316	38.9237	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_14_R1										20.472229456810652	38.0	126.0	126	0.0	15.692158
20150415.B-CAMA_reseq_14_R2										20.23670642131418	38.0	126.0	126	9.090909090909092	15.692158
20150415.B-CAMA_reseq_15	1.50256	94.90769999999999	4336.309534	36.261711999999996	38.3287	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_15_R1										22.82856088676597	38.0	126.0	126	0.0	18.130855999999998
20150415.B-CAMA_reseq_15_R2										22.766859899776577	38.0	126.0	126	9.090909090909092	18.130855999999998
20150415.B-CAMA_reseq_16	1.4843	95.1729	3978.0298759999996	33.172968	39.872099999999996	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_16_R1										22.074100475291175	39.0	126.0	126	0.0	16.586484
20150415.B-CAMA_reseq_16_R2										21.86280577794301	39.0	126.0	126	9.090909090909092	16.586484
20150415.B-CAMA_reseq_17	1.29792	94.1599	4045.4276139999997	34.097918	38.8764	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_17_R1										21.955513330135375	38.0	126.0	126	0.0	17.048959
20150415.B-CAMA_reseq_17_R2										21.57920259229951	38.0	126.0	126	9.090909090909092	17.048959
20150415.B-CAMA_reseq_18	1.32856	93.73280000000001	4075.9191039999996	34.511476	39.1201	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_18_R1										23.23402337639098	39.0	126.0	126	0.0	17.255738
20150415.B-CAMA_reseq_18_R2										22.891315436264236	39.0	126.0	126	18.181818181818183	17.255738
20150415.B-CAMA_reseq_19	0.778323	94.1083	6194.8263799999995	52.243325999999996	39.232	100.0	100.0	126.0	126.0						
