Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
CZP-1_S3	39115656.0	0.0	0.0	nan	19914.0	0.0
CZP-2_S4	98145478.0	0.0	0.0	nan	50318.0	0.0
ELP-1_S49	75896940.0	0.0	0.0	nan	40132.0	0.0
FRUpstream-1_S1	11091984.0	0.0	0.0	nan	6794.0	0.0
FRUpstream-2_S2	9571050.0	0.0	0.0	nan	5770.0	0.0
FZP-1_S50	33849004.0	0.0	0.0	nan	18842.0	0.0
FZP-2_S51	26852226.0	0.0	0.0	nan	13798.0	0.0
FZP-3_S52	24889756.0	0.0	0.0	nan	12784.0	0.0
HFP-1_S53	23411632.0	0.0	0.0	nan	11154.0	0.0
KTP-10_S22	65538266.0	0.0	0.0	nan	34390.0	0.0
KTP-11_S23	25387296.0	0.0	0.0	nan	11468.0	0.0
KTP-12_S24	34537136.0	0.0	0.0	nan	16748.0	0.0
KTP-13_S25	29670706.0	0.0	0.0	nan	13838.0	0.0
KTP-14_S26	36253148.0	0.0	0.0	nan	18628.0	0.0
KTP-15_S27	34040304.0	0.0	0.0	nan	18454.0	0.0
KTP-16_S28	27295220.0	0.0	0.0	nan	13512.0	0.0
KTP-17_S29	32756592.0	0.0	0.0	nan	17138.0	0.0
KTP-18_S30	33057430.0	0.0	0.0	nan	17726.0	0.0
KTP-19_S31	53528018.0	0.0	0.0	nan	29064.0	0.0
KTP-1_S13	23995056.0	0.0	0.0	nan	11718.0	0.0
KTP-2_S14	57194954.0	0.0	0.0	nan	29732.0	0.0
KTP-3_S15	32307340.0	0.0	0.0	nan	16634.0	0.0
KTP-4_S16	35483430.0	0.0	0.0	nan	18838.0	0.0
KTP-5_S17	64413258.0	0.0	0.0	nan	32910.0	0.0
KTP-6_S18	23780836.0	0.0	0.0	nan	12360.0	0.0
KTP-7_S19	21964840.0	0.0	0.0	nan	9304.0	0.0
KTP-8_S20	40581834.0	0.0	0.0	nan	21396.0	0.0
KTP-9_S21	30995210.0	0.0	0.0	nan	14088.0	0.0
STP-1_S46	22363968.0	0.0	0.0	nan	11756.0	0.0
STP-2_S47	27514480.0	0.0	0.0	nan	13338.0	0.0
STP-3_S48	28353148.0	0.0	0.0	nan	14682.0	0.0
WBP-1_S5	22512522.0	0.0	0.0	nan	11200.0	0.0
WBP-2_S6	24422638.0	0.0	0.0	nan	12976.0	0.0
WBP-3_S7	18952528.0	0.0	0.0	nan	9798.0	0.0
WBP-4_S8	57541262.0	0.0	0.0	nan	31222.0	0.0
WBP-5_S9	47469478.0	0.0	0.0	nan	25870.0	0.0
WBP-6_S10	50367254.0	0.0	0.0	nan	26702.0	0.0
WBP-7_S11	54257420.0	0.0	0.0	nan	29506.0	0.0
WBP-8_S12	18993444.0	0.0	0.0	nan	9358.0	0.0
WZP-10_S41	42367680.0	0.0	0.0	nan	23680.0	0.0
WZP-11_S42	53113428.0	0.0	0.0	nan	28884.0	0.0
WZP-12_S43	40657370.0	0.0	0.0	nan	22782.0	0.0
WZP-13_S44	27477144.0	0.0	0.0	nan	14532.0	0.0
WZP-14_S45	30359466.0	0.0	0.0	nan	16506.0	0.0
WZP-1_S32	42723506.0	0.0	0.0	nan	22948.0	0.0
WZP-2_S33	27607236.0	0.0	0.0	nan	13578.0	0.0
WZP-3_S34	38121976.0	0.0	0.0	nan	19994.0	0.0
WZP-4_S35	26798830.0	0.0	0.0	nan	13520.0	0.0
WZP-5_S36	29841646.0	0.0	0.0	nan	16020.0	0.0
WZP-6_S37	26413902.0	0.0	0.0	nan	13900.0	0.0
WZP-7_S38	26641030.0	0.0	0.0	nan	13508.0	0.0
WZP-8_S39	33369834.0	0.0	0.0	nan	16812.0	0.0
WZP-9_S40	44472264.0	0.0	0.0	nan	23092.0	0.0
