.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
CZP-1_S3_R1_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
CZP-1_S3_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
CZP-2_S4_R1_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
CZP-2_S4_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
ELP-1_S49_R1_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
ELP-1_S49_R2_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FRUpstream-1_S1_R1_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FRUpstream-1_S1_R2_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FRUpstream-2_S2_R1_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FRUpstream-2_S2_R2_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FZP-1_S50_R1_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FZP-1_S50_R2_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FZP-2_S51_R1_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FZP-2_S51_R2_001	1	0.25	0.25	1	1	1	0.25	0.5	1	1	1
FZP-3_S52_R1_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
FZP-3_S52_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
HFP-1_S53_R1_001	1	0.25	0.25	1	0.5	0.5	0.25	0.5	1	1	1
HFP-1_S53_R2_001	1	0.25	0.25	1	0.5	0.5	0.25	0.5	1	1	1
KTP-10_S22_R1_001	1	0.25	0.25	1	0.5	0.5	0.25	0.5	1	1	1
KTP-10_S22_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-11_S23_R1_001	1	0.25	0.25	1	0.5	0.25	0.25	0.5	1	1	1
KTP-11_S23_R2_001	1	0.25	0.25	1	0.5	0.25	0.25	0.5	1	1	1
KTP-12_S24_R1_001	1	0.25	0.25	1	0.5	0.5	0.25	0.5	1	1	1
KTP-12_S24_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-13_S25_R1_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-13_S25_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-14_S26_R1_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-14_S26_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-15_S27_R1_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-15_S27_R2_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
KTP-16_S28_R1_001	1	0.25	0.25	1	1	0.5	0.25	0.5	1	1	1
