Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
CZP-1_S3_R1_001 - polya	(1, 0.004105772890527517)	(2, 0.011616831889512475)	(3, 0.017399682623244258)	(4, 0.022855298655863013)	(5, 0.02856656679872632)	(6, 0.033572235117314664)	(7, 0.03821487743935574)	(8, 0.042162146021531635)	(9, 0.045884440746692325)	(10, 0.05746650394921153)	(15, 0.0746360996732357)	(20, 0.09002431149307581)	(25, 0.10442161573360804)	(30, 0.11809184537260475)	(35, 0.13236541399177865)	(40, 0.1472106207294593)	(45, 0.16184312491141656)	(50, 0.17647051605116887)	(55, 0.19104370894354933)	(60, 0.2056189470528118)	(65, 0.22082308935327583)	(70, 0.2357490821577938)	(75, 0.25062803497402675)	(80, 0.2659313702932657)	(85, 0.28181759242386223)	(90, 0.2973653311604949)	(95, 0.3132423498151226)	(100, 0.3289199598237596)	(105, 0.34490844279845384)	(110, 0.3606780875667789)	(115, 0.3764088732143468)	(120, 0.39211511625933104)	(125, 0.4075350289408415)	(130, 0.4227657590607709)	(135, 0.4380793204644197)	(140, 0.4473247233793037)
CZP-1_S3_R2_001 - polya	(1, 0.00625325061658176)	(2, 0.0162339090005291)	(3, 0.02355578543793309)	(4, 0.029936862109637124)	(5, 0.03702353860561612)	(6, 0.04441699763388859)	(7, 0.051294039399467056)	(8, 0.05775181170424446)	(9, 0.06485894036904302)	(10, 0.08376492522584819)	(15, 0.1111779897031511)	(20, 0.13590261658912225)	(25, 0.16073359475295518)	(30, 0.1847659157243841)	(35, 0.20841475853044625)	(40, 0.2324440116765522)	(45, 0.25642417961749125)	(50, 0.2802550467260475)	(55, 0.3039570651710405)	(60, 0.3274525167109558)	(65, 0.35084775262365536)	(70, 0.3741161850896736)	(75, 0.39743574797774067)	(80, 0.4206929317509081)	(85, 0.4435124391113369)	(90, 0.466458749918447)	(95, 0.4883374575131757)	(100, 0.5090074419306684)	(105, 0.5303963200821686)	(110, 0.5534019421788554)	(115, 0.575291898466435)	(120, 0.5965621540387819)	(125, 0.6172679297517086)	(130, 0.6377180533543909)	(135, 0.6580648935045343)	(140, 0.6712095024048683)
CZP-2_S4_R1_001 - polya	(1, 0.0039492395156504306)	(2, 0.010561872244383996)	(3, 0.015739899906544855)	(4, 0.020359572755863496)	(5, 0.02507705958699391)	(6, 0.02952759575942969)	(7, 0.03339532362357031)	(8, 0.036776019369939794)	(9, 0.040272869219710766)	(10, 0.05048464892086011)	(15, 0.06611450809786672)	(20, 0.08040961398140015)	(25, 0.0940721894492174)	(30, 0.10732231596039503)	(35, 0.12058059363672365)	(40, 0.13382623700706825)	(45, 0.14743256943534372)	(50, 0.16145583396109192)	(55, 0.17530181064480627)	(60, 0.18901247798701432)	(65, 0.20298968842965945)	(70, 0.2170288477274521)	(75, 0.2309400337323743)	(80, 0.24513651051758084)	(85, 0.25925962681642856)	(90, 0.273317941352326)	(95, 0.2874712169622323)	(100, 0.30176061703016005)	(105, 0.31607284036051053)	(110, 0.3303467532146514)	(115, 0.34433292993896264)	(120, 0.3582644938567623)	(125, 0.3722624897705425)	(130, 0.3858961286020738)	(135, 0.39941361333020364)	(140, 0.4080371385016842)
CZP-2_S4_R2_001 - polya	(1, 0.005652833032205518)	(2, 0.014341975083151564)	(3, 0.020671354822888528)	(4, 0.026595214096364176)	(5, 0.032869573471332014)	(6, 0.039280464862578794)	(7, 0.04568931846253783)	(8, 0.05139717185951247)	(9, 0.05719061249057241)	(10, 0.07394370222538424)	(15, 0.09920742349433562)	(20, 0.12232738832857892)	(25, 0.14515635656693218)	(30, 0.16800977830073843)	(35, 0.19057057320562443)	(40, 0.21282040116000048)	(45, 0.23479186682447048)	(50, 0.2568966040391591)	(55, 0.27867366441477825)	(60, 0.30055465214607235)	(65, 0.3224816939604696)	(70, 0.34434393401191654)	(75, 0.36612099438753565)	(80, 0.3876457762017319)	(85, 0.4090857858983579)	(90, 0.4302759623831064)	(95, 0.45088577590910506)	(100, 0.46998884655694473)	(105, 0.4898829877826872)	(110, 0.5109965433150165)	(115, 0.5314441486545107)	(120, 0.5512058334465496)	(125, 0.5702575517539381)	(130, 0.5888157170114348)	(135, 0.6071705106984144)	(140, 0.6189261210791597)
ELP-1_S49_R1_001 - polya	(1, 0.004964627032394192)	(2, 0.014530230072516758)	(3, 0.02240670045459013)	(4, 0.03019357565667338)	(5, 0.03766686772879117)	(6, 0.04539840473146875)	(7, 0.0519309474136902)	(8, 0.057622876495416024)	(9, 0.0631830479595093)	(10, 0.07961533100016945)	(15, 0.10369693429010444)	(20, 0.12525933193090524)	(25, 0.14563591101301318)	(30, 0.16483879323725042)	(35, 0.1844111238213293)	(40, 0.2044957280227635)	(45, 0.2247405494872389)	(50, 0.24507812831452752)	(55, 0.26541201792852254)	(60, 0.28590612480555866)	(65, 0.3065804761035162)	(70, 0.3273491658556985)	(75, 0.3477937318685048)	(80, 0.3690003839416978)	(85, 0.38986710136139874)	(90, 0.41090141447072837)	(95, 0.4318556189485373)	(100, 0.4530485682294965)	(105, 0.4744913299534869)	(110, 0.4959209159157142)	(115, 0.5172851500995955)	(120, 0.5387563714689947)	(125, 0.5601369435974626)	(130, 0.5812808790446624)	(135, 0.6019288788190934)	(140, 0.614728340826389)
ELP-1_S49_R2_001 - polya	(1, 0.00836133841496113)	(2, 0.021397437103524857)	(3, 0.031337231777723844)	(4, 0.04091601057960967)	(5, 0.05096648165261999)	(6, 0.06093526300269813)	(7, 0.07069059701221156)	(8, 0.07930754520537982)	(9, 0.08834611777497221)	(10, 0.11383067617745854)	(15, 0.15049038867706654)	(20, 0.18374864651987288)	(25, 0.2165441716095537)	(30, 0.24856338081614354)	(35, 0.2802879799897071)	(40, 0.31191929476998675)	(45, 0.34381359775506104)	(50, 0.37536796608664325)	(55, 0.4063125601638221)	(60, 0.4373757360968703)	(65, 0.46824812699958657)	(70, 0.49939773592980163)	(75, 0.5303823843227408)	(80, 0.5614966822114305)	(85, 0.5922605048372175)	(90, 0.622292282139438)	(95, 0.651393850661173)	(100, 0.678349351106909)	(105, 0.7063220203607681)	(110, 0.7359295381342121)	(115, 0.7645736442075266)	(120, 0.7928235314888848)	(125, 0.8204367659618423)	(130, 0.8471651162747799)	(135, 0.8736267891696292)	(140, 0.8908501449465551)
FRUpstream-1_S1_R1_001 - polya	(1, 0.0074468192525340825)	(2, 0.02048326070430682)	(3, 0.029120128554098165)	(4, 0.036891506514975136)	(5, 0.04432029472815684)	(6, 0.05239820035802432)	(7, 0.059213933233225005)	(8, 0.06565101428202565)	(9, 0.07183566077989294)	(10, 0.08975490768829093)	(15, 0.11541668289460208)	(20, 0.13852165672074535)	(25, 0.16016251015147515)	(30, 0.1804149735520715)	(35, 0.20164832549343742)	(40, 0.22404287636909678)	(45, 0.2461958113174343)	(50, 0.2677248723041793)	(55, 0.2899968121122425)	(60, 0.3118828876781647)	(65, 0.3347426393691156)	(70, 0.3571227654132931)	(75, 0.3803683813463849)	(80, 0.40363924073457014)	(85, 0.42701828635886957)	(90, 0.45073992173086436)	(95, 0.4748293903056477)	(100, 0.49960764458369217)	(105, 0.5233184613320755)	(110, 0.5473502305809312)	(115, 0.571457730195067)	(120, 0.5954750746124409)	(125, 0.6193950514173118)	(130, 0.6433691213402399)	(135, 0.6660341378061851)	(140, 0.6807258286705066)
FRUpstream-1_S1_R2_001 - polya	(1, 0.012207013641563132)	(2, 0.027280962540155124)	(3, 0.038099586151584784)	(4, 0.04789044051992863)	(5, 0.05946636778415836)	(6, 0.07138488479608338)	(7, 0.08164454618758916)	(8, 0.0908043141785996)	(9, 0.0997116476186767)	(10, 0.12735323094587947)	(15, 0.16799158743827974)	(20, 0.20333603077682047)	(25, 0.23847852647461446)	(30, 0.27353447318351704)	(35, 0.3081576749479625)	(40, 0.34332902030872026)	(45, 0.3785292153324419)	(50, 0.41316684192836917)	(55, 0.44826245692384703)	(60, 0.48321742981237625)	(65, 0.517328550059214)	(70, 0.5520383008125508)	(75, 0.5872312834205314)	(80, 0.6233726986984475)	(85, 0.6590849752397767)	(90, 0.6924532166652962)	(95, 0.7250749730616273)	(100, 0.7551182908305674)	(105, 0.786474268264361)	(110, 0.8201887056454463)	(115, 0.8527058820135333)	(120, 0.8861101855177577)	(125, 0.9171524228668199)	(130, 0.9484362761432038)	(135, 0.9810760635788874)	(140, 1.0008489013327102)
FRUpstream-2_S2_R1_001 - polya	(1, 0.0069166914810809684)	(2, 0.018263408925875427)	(3, 0.026621948480051824)	(4, 0.03433270121877955)	(5, 0.04216883205081992)	(6, 0.04958703590515147)	(7, 0.05723509959722287)	(8, 0.06408910203164753)	(9, 0.06989828702180012)	(10, 0.08699567967986795)	(15, 0.11419436738915793)	(20, 0.1380287429278919)	(25, 0.15938481148881262)	(30, 0.18187346215932418)	(35, 0.203802090679706)	(40, 0.2258310216747379)	(45, 0.2480313027306304)	(50, 0.26982201534836825)	(55, 0.29223125989311516)	(60, 0.3142852665068096)	(65, 0.3366568976235627)	(70, 0.3604244048458633)	(75, 0.38377816436023215)	(80, 0.40765433259673706)	(85, 0.43108749823687054)	(90, 0.4551768092320069)	(95, 0.47948344225555195)	(100, 0.5039656046097345)	(105, 0.52933377215666)	(110, 0.5539162369854927)	(115, 0.5784067578792296)	(120, 0.603971351105678)	(125, 0.6278642364212913)	(130, 0.6526431269296472)	(135, 0.6784125043751731)	(140, 0.6934453377633593)
FRUpstream-2_S2_R2_001 - polya	(1, 0.011764644422503278)	(2, 0.02681001562002079)	(3, 0.037007433876116)	(4, 0.04689140689892959)	(5, 0.057318684992764636)	(6, 0.06770417038882881)	(7, 0.07740007627167343)	(8, 0.08707508580563261)	(9, 0.09641575375742474)	(10, 0.12329681696365602)	(15, 0.16383991307118864)	(20, 0.20083480913797339)	(25, 0.23686429388625072)	(30, 0.27230868086573573)	(35, 0.308333986344236)	(40, 0.34509902257328084)	(45, 0.3803804180314595)	(50, 0.4144999764916076)	(55, 0.4486989410775202)	(60, 0.4838633169819403)	(65, 0.5177948083021195)	(70, 0.5527000694803601)	(75, 0.5875301038026131)	(80, 0.6231834542709526)	(85, 0.6567179149623082)	(90, 0.6898386279457324)	(95, 0.7225790273794411)	(100, 0.7534638310321229)	(105, 0.7859451157396522)	(110, 0.82032378892598)	(115, 0.8539501935524315)	(120, 0.8872464358664931)	(125, 0.9196190595598184)	(130, 0.950871638952884)	(135, 0.9832776968044259)	(140, 1.0031710209433657)
