Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CZP-1_S3_R1_001	(1, 27.713062002590473)	(2, 0.00458641363161895)	(3, 0.009858016441310263)	(4, 0.007577619597667259)	(5, 0.0)	(6, 2.556577311562612e-05)	(7, 0.0)	(8, 0.0003374705863704834)	(9, 0.0)	(10, 0.0)	(15, 8.181356957819684e-06)	(20, 1.7385717796460495e-05)	(25, 0.00030885937445524543)	(30, 0.0011610570459754449)	(35, 0.0008047490267297696)	(40, 0.0002869319987661514)	(45, 0.0005846192640888601)	(50, 0.0007750386713500766)	(55, 0.0034236136062830175)	(60, 0.0005523023314069879)	(65, 0.0013147465712732404)	(70, 0.0006235747323395648)	(75, 0.000495329108423703)	(80, 0.061196224060924016)	(85, 6.311820465916443e-05)	(90, 0.0002165907835502181)	(95, 0.0003913455295977323)	(100, 0.00020486738279152254)	(105, 0.028056980825034453)	(110, 0.009767409705503147)	(115, 0.0003004427835716127)	(120, 0.0005132926850313062)	(125, 0.00032846639136621035)	(130, 0.00045945256153358374)	(135, 0.0008109798229598183)	(140, 0.0003929738407218451)	(145, 0.00026921954006147645)	(150, 0.0003635548098462923)
CZP-1_S3_R2_001	(1, 25.631496503599475)	(2, 0.004233620808798487)	(3, 0.00010737492942654936)	(4, 9.714915299232684e-05)	(5, 3.06787975404399e-05)	(6, 0.00038348671438400377)	(7, 0.0002352060868062833)	(8, 0.00015339596422376606)	(9, 0.00026077420589268915)	(10, 0.0004601956295711935)	(15, 0.0008130324832248644)	(20, 0.000919418548255703)	(25, 0.0014114011635959385)	(30, 0.0008439908404589689)	(35, 0.001613696664099906)	(40, 0.001102713352256892)	(45, 0.06205714178453183)	(50, 0.0007350590219542829)	(55, 0.0006936143265330117)	(60, 0.0007662932511082502)	(65, 0.06221765313727363)	(70, 0.001136972042445032)	(75, 0.00046235347226374025)	(80, 0.05856349064858694)	(85, 0.05817231694986235)	(90, 0.0005130352036361613)	(95, 0.0003830841381396419)	(100, 0.0007758791930719106)	(105, 1.6465648366995225)	(110, 0.0008877613646483879)	(115, 0.0626742287127013)	(120, 0.00038947820125151205)	(125, 0.0004106310829072369)	(130, 0.059219770492174896)	(135, 0.0002438459898413761)	(140, 0.0005825562942944468)	(145, 0.0008567670009809392)	(150, 0.0004388036371491266)
CZP-2_S4_R1_001	(1, 27.800777535568173)	(2, 0.004307904125780041)	(3, 0.010078987184463867)	(4, 0.007717200370066963)	(5, 0.0)	(6, 1.222699339882967e-05)	(7, 0.0)	(8, 0.0004320236204431214)	(9, 0.0)	(10, 0.0)	(15, 6.113750534963362e-06)	(20, 1.1412582400628148e-05)	(25, 0.0003232288358012269)	(30, 0.0011411338065778441)	(35, 0.0007523751461291855)	(40, 0.0002887059384357332)	(45, 0.0005366292148791709)	(50, 0.0007563939362127634)	(55, 0.0032572123676623873)	(60, 0.0005219058522512657)	(65, 0.001274649666849476)	(70, 0.0006125642141507226)	(75, 0.0004620265067324715)	(80, 0.06071706983651143)	(85, 5.415109881136189e-05)	(90, 0.00020713598806962991)	(95, 0.0003450819006420093)	(100, 0.0001686172188581514)	(105, 0.027860856838833336)	(110, 0.009324817780363375)	(115, 0.00029202247539427025)	(120, 0.0005208360855584312)	(125, 0.00035565715532595045)	(130, 0.00044694735910563916)	(135, 0.0007260414287615009)	(140, 0.000403195017039159)	(145, 0.00026618582812431364)	(150, 0.000393345436387179)
CZP-2_S4_R2_001	(1, 25.719338796230634)	(2, 0.0036782284901681053)	(3, 9.373921298553831e-05)	(4, 8.151269465460738e-05)	(5, 5.705914206566852e-05)	(6, 0.0004055290358585891)	(7, 0.00018544363262475185)	(8, 0.0001365359755177546)	(9, 0.00022212652440950414)	(10, 0.000438552830437901)	(15, 0.0007540347431086166)	(20, 0.000835576703933999)	(25, 0.001309260777709788)	(30, 0.000817874652987323)	(35, 0.0015354349560190508)	(40, 0.0010184926202225892)	(45, 0.06166627017164668)	(50, 0.0006758484911653797)	(55, 0.0006503399264956164)	(60, 0.0006941477249927429)	(65, 0.0611314907151491)	(70, 0.0010295165985807677)	(75, 0.00045629781899732134)	(80, 0.05781051080010308)	(85, 0.05749958925469021)	(90, 0.0005017263280173875)	(95, 0.00035549409162382624)	(100, 0.0007319847650736742)	(105, 1.6272891231118751)	(110, 0.0008275578853078313)	(115, 0.06182920912604674)	(120, 0.00034795083067588173)	(125, 0.0003903984689198719)	(130, 0.05851078400023435)	(135, 0.000227773762535169)	(140, 0.0005514638058701607)	(145, 0.0007765895384834547)	(150, 0.00041494521579601686)
ELP-1_S49_R1_001	(1, 27.705393656186928)	(2, 0.004361194956877533)	(3, 0.009723795714488698)	(4, 0.007586703783804609)	(5, 0.0)	(6, 3.162253987180644e-05)	(7, 0.0)	(8, 0.0003926498271365724)	(9, 0.0)	(10, 0.0)	(15, 6.3248034504079755e-06)	(20, 1.3176981525228865e-05)	(25, 0.0003204724506068673)	(30, 0.0010823760394737744)	(35, 0.0007461196344051783)	(40, 0.00027304350386831344)	(45, 0.0005375815291680505)	(50, 0.0007528766315611704)	(55, 0.0032967618902841455)	(60, 0.0005847801915703856)	(65, 0.0013052233691013724)	(70, 0.0006409615196625762)	(75, 0.00048165780293011977)	(80, 0.06078781576378842)	(85, 4.3247678778282335e-05)	(90, 0.00018507046606135004)	(95, 0.0003387027908198896)	(100, 0.00019172737411429002)	(105, 0.027595326250531134)	(110, 0.009592215064659824)	(115, 0.0002910707102079883)	(120, 0.00045796313764631766)	(125, 0.00033855181933747144)	(130, 0.0004101516498314615)	(135, 0.0007855404037498968)	(140, 0.0003783056604670023)	(145, 0.00023895719876829594)	(150, 0.0003576567924584572)
ELP-1_S49_R2_001	(1, 25.638556705975233)	(2, 0.0038447012638131235)	(3, 0.0001080420464860655)	(4, 0.00010804251910567252)	(5, 6.324469975158536e-05)	(6, 0.0003004134875431308)	(7, 0.0002134525435044612)	(8, 0.0001765603255245357)	(9, 0.00019237255976725556)	(10, 0.00039318322535947475)	(15, 0.0007400045311046675)	(20, 0.0008380657650867611)	(25, 0.0012982694663646527)	(30, 0.0008283018390320174)	(35, 0.0014949651441990186)	(40, 0.0010404814025410437)	(45, 0.062279014616284)	(50, 0.0006407578988133646)	(55, 0.0006037903415366549)	(60, 0.0006680708419987909)	(65, 0.061755771974434846)	(70, 0.00103806927449264)	(75, 0.00041889582541460984)	(80, 0.05838695510701729)	(85, 0.05801599944876551)	(90, 0.00046967952279019853)	(95, 0.0003349879648471884)	(100, 0.0007218782188436985)	(105, 1.6693740789815905)	(110, 0.0008321383531574016)	(115, 0.062486181570151955)	(120, 0.0003804180332908651)	(125, 0.0003723445728282604)	(130, 0.05906480741618502)	(135, 0.00024835111852628954)	(140, 0.0005385807442482096)	(145, 0.0007871417752426197)	(150, 0.00038678143018945095)
FRUpstream-1_S1_R1_001	(1, 27.53283812886856)	(2, 0.004291402841557801)	(3, 0.010007299017373393)	(4, 0.007591152430701433)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0005409465916217471)	(9, 0.0)	(10, 0.0)	(15, 1.803221765838815e-05)	(20, 7.21307514130865e-06)	(25, 0.0003895161160309361)	(30, 0.0013096192907859551)	(35, 0.0008451972173795953)	(40, 0.0003218277851066924)	(45, 0.0005393777817549347)	(50, 0.0007899906016485073)	(55, 0.003743700597979991)	(60, 0.0005084008889171657)	(65, 0.0013959491156189767)	(70, 0.0006222895152113578)	(75, 0.0005391441021806302)	(80, 0.0615535481044078)	(85, 0.00010585534844733565)	(90, 0.00024480286262967745)	(95, 0.0003913212838805145)	(100, 0.00016839325888106047)	(105, 0.027953626366531658)	(110, 0.009477071757937397)	(115, 0.0003928013535273855)	(120, 0.0006099771537833981)	(125, 0.0004524308502665388)	(130, 0.00048605620731887974)	(135, 0.0007852021901169143)	(140, 0.000513239492722947)	(145, 0.00027423341384431074)	(150, 0.0004362013323444866)
FRUpstream-1_S1_R2_001	(1, 25.482348333715592)	(2, 0.0038225989525718248)	(3, 9.01559933089828e-05)	(4, 5.409372278409572e-05)	(5, 1.803130270211693e-05)	(6, 0.0003606272245064952)	(7, 0.00028850276800374474)	(8, 0.0002704723691738674)	(9, 0.00028850542110702055)	(10, 0.0005625923679296385)	(15, 0.000930462632512485)	(20, 0.0009881974600295766)	(25, 0.0014066130143587055)	(30, 0.0009488795986881505)	(35, 0.0016904689266887696)	(40, 0.0011608082074709256)	(45, 0.06298027117754608)	(50, 0.0008081525852964284)	(55, 0.000729191672166743)	(60, 0.0008098567483256485)	(65, 0.06226897258667378)	(70, 0.0011282039262806806)	(75, 0.0005027517277901045)	(80, 0.05774726514641293)	(85, 0.05739275190360354)	(90, 0.0005809982866031661)	(95, 0.0004645048440540198)	(100, 0.0008237327283840177)	(105, 1.6463093459182985)	(110, 0.000920647148189089)	(115, 0.06239468258527144)	(120, 0.0004042403935302281)	(125, 0.0004193743133895219)	(130, 0.05823035763021889)	(135, 0.0002470171754360222)	(140, 0.0005649940749477565)	(145, 0.0008634146567417214)	(150, 0.0004268676433769536)
FRUpstream-2_S2_R1_001	(1, 27.5827626018044)	(2, 0.004367353344170221)	(3, 0.010301990415596504)	(4, 0.00712575175636198)	(5, 0.0)	(6, 2.0896768084951213e-05)	(7, 0.0)	(8, 0.000480629884270593)	(9, 0.0)	(10, 0.0)	(15, 4.17956672521543e-06)	(20, 8.359323515057085e-06)	(25, 0.0003260214796326022)	(30, 0.0013881221813436964)	(35, 0.0008916252528364567)	(40, 0.0003310842237193934)	(45, 0.0006461416010927345)	(50, 0.0009031171234535065)	(55, 0.0034904982749368765)	(60, 0.0006399474569456403)	(65, 0.0014541230499999158)	(70, 0.0007299772103646637)	(75, 0.00046043339539468607)	(80, 0.061533298496462115)	(85, 4.233309900551931e-05)	(90, 0.00020764091444719717)	(95, 0.0003393541403516973)	(100, 0.00022080055913495437)	(105, 0.027134152755844264)	(110, 0.009661818484424434)	(115, 0.0003321682744037005)	(120, 0.0004646399809574337)	(125, 0.0004224595724325073)	(130, 0.0004955251092397919)	(135, 0.0008467066297941609)	(140, 0.0004925226707114627)	(145, 0.0002750564617854173)	(150, 0.00038742629483786746)
FRUpstream-2_S2_R2_001	(1, 25.52100344267348)	(2, 0.003573295819996163)	(3, 0.0001462757871152346)	(4, 6.268983264949174e-05)	(5, 0.0)	(6, 0.00035524520591370424)	(7, 0.00018807193458941703)	(8, 0.0001462787521335801)	(9, 0.00033435269110032546)	(10, 0.000484817237693604)	(15, 0.0008818857040183436)	(20, 0.0009404282977967771)	(25, 0.0012497731390062891)	(30, 0.0008404299489093853)	(35, 0.001590754468052543)	(40, 0.001144176556249857)	(45, 0.06342961498806934)	(50, 0.0007015238610529075)	(55, 0.0006855205279332372)	(60, 0.0007620880319463935)	(65, 0.06218124314939904)	(70, 0.0011098025100103764)	(75, 0.0004182168500836222)	(80, 0.058965655370928356)	(85, 0.058592689952293525)	(90, 0.0004704023877116657)	(95, 0.0003563461840393138)	(100, 0.0007558672389685741)	(105, 1.6595692298484768)	(110, 0.0008722278524648287)	(115, 0.0622099308122674)	(120, 0.0004007317019829952)	(125, 0.000401155412941487)	(130, 0.0595664495508101)	(135, 0.00022666388397546213)	(140, 0.0006595929745981323)	(145, 0.0008508207799310801)	(150, 0.00041961269748022574)
