Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CZP-1_S3_R1_001	(1, 21.215594287872864)	(2, 31.6518789340193)	(3, 34.25132527174609)	(4, 36.10124165074915)	(5, 36.39306323298938)	(6, 39.96224410834202)	(7, 40.12018716453129)	(8, 40.17947928288523)	(9, 40.20860415018722)	(10, 40.23264791825105)	(15, 40.20199378560082)	(20, 40.157135092667275)	(25, 40.04713767143593)	(30, 39.98353002056017)	(35, 39.93806702321338)	(40, 39.87542556085675)	(45, 39.828890473517305)	(50, 39.76068826178005)	(55, 39.68823958580215)	(60, 39.62846782333241)	(65, 39.53392643918945)	(70, 39.44510030884304)	(75, 39.07835610668055)	(80, 39.333423363460454)	(85, 39.32573791359078)	(90, 39.18914656214482)	(95, 39.05296634532035)	(100, 38.871219213425384)	(105, 38.58367357068445)	(110, 38.31757855318112)	(115, 37.98028340238288)	(120, 37.59078528632756)	(125, 37.09503500064433)	(130, 36.54757894773622)	(135, 35.86635540653322)	(140, 35.223923373170486)	(145, 34.599970239440935)	(150, 31.899124218806758)
CZP-1_S3_R2_001	(1, 21.13983122256725)	(2, 31.2981234475765)	(3, 33.31395007924781)	(4, 35.37614295978496)	(5, 35.76183088200367)	(6, 39.17089154832096)	(7, 39.269213154340136)	(8, 39.24331882599524)	(9, 39.380669800081805)	(10, 39.417326569351886)	(15, 39.360973618110336)	(20, 39.284569951970326)	(25, 39.15809252272253)	(30, 39.11013791506813)	(35, 38.78868825242207)	(40, 38.59627209012432)	(45, 38.40967534073938)	(50, 38.303943718304865)	(55, 38.11307101414371)	(60, 37.93474496560361)	(65, 37.60999866646322)	(70, 37.26349852805013)	(75, 36.03372060366632)	(80, 36.53642633111341)	(85, 36.038633383707335)	(90, 35.35623645117514)	(95, 34.4626183521416)	(100, 33.986760595260115)	(105, 32.89409003131284)	(110, 32.71450013207471)	(115, 31.935622693813134)	(120, 31.29872881877826)	(125, 30.413212974204647)	(130, 29.38579671291519)	(135, 28.459217528515296)	(140, 27.12870052151983)	(145, 26.096155137245205)	(150, 22.595708612399264)
CZP-2_S4_R1_001	(1, 21.221527027460194)	(2, 31.662676842368224)	(3, 34.26695067701103)	(4, 36.11936177713655)	(5, 36.40578362434778)	(6, 39.980246619679555)	(7, 40.136723206740065)	(8, 40.19689637491629)	(9, 40.22513763310933)	(10, 40.2476385164769)	(15, 40.219168654713975)	(20, 40.17615622142729)	(25, 40.06864382438722)	(30, 40.00943983267914)	(35, 39.96395597088226)	(40, 39.90433951522054)	(45, 39.85879510381618)	(50, 39.792727530621285)	(55, 39.721901082860185)	(60, 39.66475346557375)	(65, 39.57303184196624)	(70, 39.48665339085041)	(75, 39.127360816059294)	(80, 39.379015044563836)	(85, 39.37223244985042)	(90, 39.238647242322735)	(95, 39.10650321850086)	(100, 38.926956335803155)	(105, 38.642845279973585)	(110, 38.38147748927469)	(115, 38.05031333441648)	(120, 37.6666535658302)	(125, 37.17581840217969)	(130, 36.63273111098508)	(135, 35.955801986546284)	(140, 35.32484137998258)	(145, 34.70497076039997)	(150, 32.01815462004711)
CZP-2_S4_R2_001	(1, 21.178096070814387)	(2, 31.386336667010646)	(3, 33.5263067995185)	(4, 35.540794892642786)	(5, 35.887283985041456)	(6, 39.312257907826385)	(7, 39.425251553778196)	(8, 39.43585309593083)	(9, 39.525881122938024)	(10, 39.54204562550278)	(15, 39.475775881532776)	(20, 39.404616381708514)	(25, 39.28372545506962)	(30, 39.24701431861159)	(35, 38.94644911108337)	(40, 38.77429718183461)	(45, 38.60168846641626)	(50, 38.50707013917873)	(55, 38.33342450138484)	(60, 38.16013640445398)	(65, 37.85125045823414)	(70, 37.52197165669726)	(75, 36.3285376640354)	(80, 36.8396659898264)	(85, 36.36365757892135)	(90, 35.70915989699729)	(95, 34.84925371109686)	(100, 34.38174800757935)	(105, 33.302504698724576)	(110, 33.13127950308853)	(115, 32.36057369430763)	(120, 31.721772294929565)	(125, 30.836195244010547)	(130, 29.810921019880038)	(135, 28.87984355822228)	(140, 27.533949392160913)	(145, 26.487158317970728)	(150, 22.912226355149834)
ELP-1_S49_R1_001	(1, 21.206417202063747)	(2, 31.63718086033596)	(3, 34.220632055154)	(4, 36.08009964907476)	(5, 36.37929794576546)	(6, 39.951064198604726)	(7, 40.11509633518243)	(8, 40.17120507499638)	(9, 40.20198907581279)	(10, 40.232385132376905)	(15, 40.201111357732884)	(20, 40.15349200663685)	(25, 40.03828703735009)	(30, 39.968855887710255)	(35, 39.9168201257688)	(40, 39.85194136676322)	(45, 39.80476377741002)	(50, 39.73562168746414)	(55, 39.661946701452905)	(60, 39.59764228553031)	(65, 39.500458941572795)	(70, 39.4080887408046)	(75, 39.02145654708195)	(80, 39.28317651547788)	(85, 39.271672980367896)	(90, 39.12769183549662)	(95, 38.98486726777645)	(100, 38.79766504949919)	(105, 38.503684036648664)	(110, 38.23019601505785)	(115, 37.88602173914763)	(120, 37.49088044585609)	(125, 36.98947656539219)	(130, 36.437675282649586)	(135, 35.7614872899553)	(140, 35.132766854399605)	(145, 34.50662869514612)	(150, 31.879654943702977)
ELP-1_S49_R2_001	(1, 21.11491008728415)	(2, 31.136626795612518)	(3, 33.23746392746173)	(4, 35.2267601924875)	(5, 35.629273879169524)	(6, 38.93313660114868)	(7, 39.11126698710022)	(8, 39.12906246203624)	(9, 39.229228454273304)	(10, 39.23625215491366)	(15, 39.18943638031152)	(20, 39.09083298342637)	(25, 38.9432626051947)	(30, 38.89301511387649)	(35, 38.62624609643503)	(40, 38.44324210059996)	(45, 38.2391759687646)	(50, 38.11255213841439)	(55, 37.90569241922753)	(60, 37.718765240246114)	(65, 37.388004018120824)	(70, 37.027484393037525)	(75, 35.7951130337796)	(80, 36.29942403866799)	(85, 35.789160474312645)	(90, 35.110337730305446)	(95, 34.229244052240766)	(100, 33.74878521062675)	(105, 32.64616407889004)	(110, 32.46066537786813)	(115, 31.67440527838864)	(120, 31.033046091674027)	(125, 30.148265844023648)	(130, 29.11711669183387)	(135, 28.190980967291466)	(140, 26.86955710464246)	(145, 25.84347524917925)	(150, 22.481347855712954)
FRUpstream-1_S1_R1_001	(1, 21.26298216802332)	(2, 31.63675078056651)	(3, 34.21137687452037)	(4, 36.055379350262264)	(5, 36.36320948043305)	(6, 39.93318016265399)	(7, 40.10254386108848)	(8, 40.16768496857281)	(9, 40.19384692670904)	(10, 40.2200398653376)	(15, 40.19206936122616)	(20, 40.14797500206355)	(25, 40.030042220423454)	(30, 39.96145214304856)	(35, 39.91302664502406)	(40, 39.85041448673995)	(45, 39.801733926946824)	(50, 39.73379824157874)	(55, 39.661548742084804)	(60, 39.59778365187495)	(65, 39.501963126173806)	(70, 39.41172046470171)	(75, 39.02206424661058)	(80, 39.28343194308262)	(85, 39.27197378520868)	(90, 39.130908185634844)	(95, 38.98866163236474)	(100, 38.80478051972483)	(105, 38.514337480414284)	(110, 38.24864806752527)	(115, 37.90587323362671)	(120, 37.516108444311335)	(125, 37.02629975209284)	(130, 36.48379914822757)	(135, 35.8205968243484)	(140, 35.211018797421424)	(145, 34.59845732356492)	(150, 31.999266276488438)
FRUpstream-1_S1_R2_001	(1, 21.179913169726895)	(2, 31.29704929620003)	(3, 33.37822278375382)	(4, 35.34361955524141)	(5, 35.71177142943693)	(6, 39.132380664394354)	(7, 39.27240070726454)	(8, 39.30070162335713)	(9, 39.393732724610935)	(10, 39.42256462471869)	(15, 39.38124227398053)	(20, 39.31555760247635)	(25, 39.18496249811595)	(30, 39.130724542845854)	(35, 38.85260585164206)	(40, 38.67903543073004)	(45, 38.50594236432487)	(50, 38.41302870944914)	(55, 38.22286937795002)	(60, 38.05014145766251)	(65, 37.73730602701737)	(70, 37.39799659922147)	(75, 36.159309899087525)	(80, 36.69628395869499)	(85, 36.21918877765845)	(90, 35.57177540844486)	(95, 34.72446865289643)	(100, 34.262639467276465)	(105, 33.173886697190966)	(110, 33.008755660643985)	(115, 32.23736079514109)	(120, 31.607002491595313)	(125, 30.73354083254865)	(130, 29.714674140810825)	(135, 28.797658184560753)	(140, 27.470312976155686)	(145, 26.441330283497944)	(150, 22.967123849112305)
FRUpstream-2_S2_R1_001	(1, 21.256402798021117)	(2, 31.630242939776288)	(3, 34.199712129371264)	(4, 36.047176238021)	(5, 36.35270138056213)	(6, 39.91987217864898)	(7, 40.090329697702224)	(8, 40.15824258309725)	(9, 40.18377475174851)	(10, 40.20779582811154)	(15, 40.18219671556244)	(20, 40.1375737597438)	(25, 40.01495368247489)	(30, 39.94403718129023)	(35, 39.89299182125709)	(40, 39.82755467228063)	(45, 39.77954139900042)	(50, 39.70915152515768)	(55, 39.63778057612476)	(60, 39.572381913910576)	(65, 39.47312724002849)	(70, 39.3809252116253)	(75, 38.987862126582215)	(80, 39.253373387210665)	(85, 39.24054421514619)	(90, 39.097194097294334)	(95, 38.952751325410816)	(100, 38.7664724149499)	(105, 38.472763569185645)	(110, 38.19899418319125)	(115, 37.85436457324772)	(120, 37.4591659536204)	(125, 36.96340770617193)	(130, 36.41125258821504)	(135, 35.73767754798557)	(140, 35.12081510411195)	(145, 34.503977026315056)	(150, 31.9060122320451)
FRUpstream-2_S2_R2_001	(1, 21.24702869591111)	(2, 31.32024211482274)	(3, 33.49205586648448)	(4, 35.44400700872329)	(5, 35.80230849715105)	(6, 39.17454408979596)	(7, 39.337368869455716)	(8, 39.37375349606218)	(9, 39.45274342652161)	(10, 39.44882908878256)	(15, 39.39992380201049)	(20, 39.32076543548327)	(25, 39.184910397523474)	(30, 39.12942005267466)	(35, 38.87046519503134)	(40, 38.692693278990475)	(45, 38.5035764513871)	(50, 38.40399769100824)	(55, 38.211887660974625)	(60, 38.02928179587127)	(65, 37.71190662420294)	(70, 37.36606437822723)	(75, 36.12347165686132)	(80, 36.65134988292715)	(85, 36.16701558238485)	(90, 35.51172867307285)	(95, 34.65794255596229)	(100, 34.19369329914143)	(105, 33.09460071771066)	(110, 32.9298328768068)	(115, 32.14974778671389)	(120, 31.51375263383452)	(125, 30.632424951932386)	(130, 29.603708798176996)	(135, 28.678398525770906)	(140, 27.34677950870772)	(145, 26.32124449434615)	(150, 22.879274871961265)
