Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
CZP-1_S3_R1_001	(2.0, 15.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 11.0)	(16.0, 70.0)	(17.0, 301.0)	(18.0, 778.0)	(19.0, 1948.0)	(20.0, 4291.0)	(21.0, 8526.0)	(22.0, 15217.0)	(23.0, 24834.0)	(24.0, 38275.0)	(25.0, 56025.0)	(26.0, 78421.0)	(27.0, 106207.0)	(28.0, 138387.0)	(29.0, 174099.0)	(30.0, 215159.0)	(31.0, 260325.0)	(32.0, 313929.0)	(33.0, 376657.0)	(34.0, 459572.0)	(35.0, 574755.0)	(36.0, 754429.0)	(37.0, 1091610.0)	(38.0, 1906265.0)	(39.0, 4825691.0)	(40.0, 8132023.0)
CZP-1_S3_R2_001	(2.0, 27.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 33.0)	(12.0, 381.0)	(13.0, 1471.0)	(14.0, 4669.0)	(15.0, 13465.0)	(16.0, 29434.0)	(17.0, 47122.0)	(18.0, 60812.0)	(19.0, 75550.0)	(20.0, 93103.0)	(21.0, 113584.0)	(22.0, 137232.0)	(23.0, 163035.0)	(24.0, 194047.0)	(25.0, 230047.0)	(26.0, 273926.0)	(27.0, 325169.0)	(28.0, 386955.0)	(29.0, 462905.0)	(30.0, 556723.0)	(31.0, 678027.0)	(32.0, 838361.0)	(33.0, 1041625.0)	(34.0, 1318642.0)	(35.0, 1686882.0)	(36.0, 2163292.0)	(37.0, 2707772.0)	(38.0, 3052553.0)	(39.0, 2366480.0)	(40.0, 534503.0)
CZP-2_S4_R1_001	(2.0, 34.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 22.0)	(13.0, 1.0)	(14.0, 7.0)	(15.0, 24.0)	(16.0, 132.0)	(17.0, 547.0)	(18.0, 1333.0)	(19.0, 3934.0)	(20.0, 9517.0)	(21.0, 18968.0)	(22.0, 34519.0)	(23.0, 57747.0)	(24.0, 91181.0)	(25.0, 134606.0)	(26.0, 190216.0)	(27.0, 257728.0)	(28.0, 335225.0)	(29.0, 423843.0)	(30.0, 522759.0)	(31.0, 633667.0)	(32.0, 763038.0)	(33.0, 920095.0)	(34.0, 1120486.0)	(35.0, 1398977.0)	(36.0, 1835012.0)	(37.0, 2651193.0)	(38.0, 4654532.0)	(39.0, 12080947.0)	(40.0, 20932449.0)
CZP-2_S4_R2_001	(2.0, 49.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 4.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 3.0)	(11.0, 77.0)	(12.0, 799.0)	(13.0, 3027.0)	(14.0, 9670.0)	(15.0, 27028.0)	(16.0, 59869.0)	(17.0, 97651.0)	(18.0, 129467.0)	(19.0, 162703.0)	(20.0, 201700.0)	(21.0, 247714.0)	(22.0, 301739.0)	(23.0, 362634.0)	(24.0, 434989.0)	(25.0, 519284.0)	(26.0, 620713.0)	(27.0, 737829.0)	(28.0, 881102.0)	(29.0, 1057899.0)	(30.0, 1280170.0)	(31.0, 1564810.0)	(32.0, 1939210.0)	(33.0, 2448915.0)	(34.0, 3155405.0)	(35.0, 4131613.0)	(36.0, 5440304.0)	(37.0, 7003934.0)	(38.0, 8094196.0)	(39.0, 6471794.0)	(40.0, 1686438.0)
ELP-1_S49_R1_001	(2.0, 42.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 19.0)	(13.0, 7.0)	(14.0, 12.0)	(15.0, 58.0)	(16.0, 251.0)	(17.0, 742.0)	(18.0, 1629.0)	(19.0, 3819.0)	(20.0, 8556.0)	(21.0, 17261.0)	(22.0, 30617.0)	(23.0, 50037.0)	(24.0, 78589.0)	(25.0, 113989.0)	(26.0, 159264.0)	(27.0, 213977.0)	(28.0, 277881.0)	(29.0, 350258.0)	(30.0, 432694.0)	(31.0, 526715.0)	(32.0, 636786.0)	(33.0, 769062.0)	(34.0, 933077.0)	(35.0, 1158121.0)	(36.0, 1502802.0)	(37.0, 2125533.0)	(38.0, 3616361.0)	(39.0, 9125436.0)	(40.0, 15814875.0)
ELP-1_S49_R2_001	(2.0, 30.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 5.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 4.0)	(11.0, 127.0)	(12.0, 1607.0)	(13.0, 5575.0)	(14.0, 15129.0)	(15.0, 38730.0)	(16.0, 82747.0)	(17.0, 128273.0)	(18.0, 159542.0)	(19.0, 186104.0)	(20.0, 220491.0)	(21.0, 260772.0)	(22.0, 305968.0)	(23.0, 359107.0)	(24.0, 420966.0)	(25.0, 491161.0)	(26.0, 575472.0)	(27.0, 672506.0)	(28.0, 789088.0)	(29.0, 929724.0)	(30.0, 1104256.0)	(31.0, 1323354.0)	(32.0, 1603873.0)	(33.0, 1979067.0)	(34.0, 2483372.0)	(35.0, 3168912.0)	(36.0, 4074883.0)	(37.0, 5122766.0)	(38.0, 5782922.0)	(39.0, 4537665.0)	(40.0, 1124272.0)
FRUpstream-1_S1_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 13.0)	(17.0, 37.0)	(18.0, 106.0)	(19.0, 444.0)	(20.0, 1154.0)	(21.0, 2547.0)	(22.0, 4504.0)	(23.0, 7531.0)	(24.0, 11938.0)	(25.0, 17097.0)	(26.0, 24081.0)	(27.0, 32497.0)	(28.0, 41824.0)	(29.0, 52563.0)	(30.0, 64074.0)	(31.0, 78003.0)	(32.0, 94105.0)	(33.0, 112418.0)	(34.0, 135986.0)	(35.0, 168214.0)	(36.0, 217084.0)	(37.0, 305684.0)	(38.0, 516427.0)	(39.0, 1309363.0)	(40.0, 2348292.0)
FRUpstream-1_S1_R2_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 14.0)	(12.0, 195.0)	(13.0, 632.0)	(14.0, 1593.0)	(15.0, 3701.0)	(16.0, 7519.0)	(17.0, 11736.0)	(18.0, 15766.0)	(19.0, 19948.0)	(20.0, 24513.0)	(21.0, 30278.0)	(22.0, 36899.0)	(23.0, 44269.0)	(24.0, 53148.0)	(25.0, 62826.0)	(26.0, 74507.0)	(27.0, 88428.0)	(28.0, 104439.0)	(29.0, 124547.0)	(30.0, 149332.0)	(31.0, 180930.0)	(32.0, 222475.0)	(33.0, 279818.0)	(34.0, 359957.0)	(35.0, 471757.0)	(36.0, 628580.0)	(37.0, 816248.0)	(38.0, 929426.0)	(39.0, 684604.0)	(40.0, 117898.0)
FRUpstream-2_S2_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 11.0)	(17.0, 41.0)	(18.0, 112.0)	(19.0, 383.0)	(20.0, 1057.0)	(21.0, 2180.0)	(22.0, 4005.0)	(23.0, 6795.0)	(24.0, 10329.0)	(25.0, 15392.0)	(26.0, 21245.0)	(27.0, 28346.0)	(28.0, 36832.0)	(29.0, 46179.0)	(30.0, 56111.0)	(31.0, 68601.0)	(32.0, 82167.0)	(33.0, 98181.0)	(34.0, 119310.0)	(35.0, 147555.0)	(36.0, 189885.0)	(37.0, 267758.0)	(38.0, 454473.0)	(39.0, 1151969.0)	(40.0, 1976602.0)
FRUpstream-2_S2_R2_001	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 13.0)	(12.0, 115.0)	(13.0, 370.0)	(14.0, 967.0)	(15.0, 2434.0)	(16.0, 5611.0)	(17.0, 9481.0)	(18.0, 13109.0)	(19.0, 16939.0)	(20.0, 21075.0)	(21.0, 26342.0)	(22.0, 32581.0)	(23.0, 38982.0)	(24.0, 46870.0)	(25.0, 55323.0)	(26.0, 65794.0)	(27.0, 77995.0)	(28.0, 92448.0)	(29.0, 109235.0)	(30.0, 130984.0)	(31.0, 157804.0)	(32.0, 195532.0)	(33.0, 243918.0)	(34.0, 313660.0)	(35.0, 413178.0)	(36.0, 546713.0)	(37.0, 702898.0)	(38.0, 789242.0)	(39.0, 574439.0)	(40.0, 101466.0)
