Sample	Unique Reads	Duplicate Reads
CZP-1_S3_R1_001	16387615.0	3170213.0
CZP-1_S3_R2_001	16631556.0	2926272.0
CZP-2_S4_R1_001	37311263.0	11761476.0
CZP-2_S4_R2_001	38054920.0	11017819.0
ELP-1_S49_R1_001	29874238.0	8074232.0
ELP-1_S49_R2_001	30625694.0	7322776.0
FRUpstream-1_S1_R1_001	4868815.0	677177.0
FRUpstream-1_S1_R2_001	4924074.0	621918.0
FRUpstream-2_S2_R1_001	4245697.0	539828.0
FRUpstream-2_S2_R2_001	4292839.0	492686.0
FZP-1_S50_R1_001	14199380.0	2725122.0
FZP-1_S50_R2_001	14499402.0	2425100.0
FZP-2_S51_R1_001	11317108.0	2109005.0
FZP-2_S51_R2_001	11476737.0	1949376.0
FZP-3_S52_R1_001	10585797.0	1859081.0
FZP-3_S52_R2_001	10720290.0	1724588.0
HFP-1_S53_R1_001	9846597.0	1859219.0
HFP-1_S53_R2_001	9953657.0	1752159.0
KTP-10_S22_R1_001	26886906.0	5882227.0
KTP-10_S22_R2_001	27520206.0	5248927.0
KTP-11_S23_R1_001	11133641.0	1560007.0
KTP-11_S23_R2_001	11280719.0	1412929.0
KTP-12_S24_R1_001	14283628.0	2984940.0
KTP-12_S24_R2_001	14499861.0	2768707.0
KTP-13_S25_R1_001	13293302.0	1542051.0
KTP-13_S25_R2_001	13456095.0	1379258.0
KTP-14_S26_R1_001	15358092.0	2768482.0
KTP-14_S26_R2_001	15653592.0	2472982.0
KTP-15_S27_R1_001	14864163.0	2155989.0
KTP-15_S27_R2_001	15110100.0	1910052.0
KTP-16_S28_R1_001	11888788.0	1758822.0
KTP-16_S28_R2_001	12093372.0	1554238.0
KTP-17_S29_R1_001	14196516.0	2181780.0
KTP-17_S29_R2_001	14414677.0	1963619.0
KTP-18_S30_R1_001	14128763.0	2399952.0
KTP-18_S30_R2_001	14369526.0	2159189.0
KTP-19_S31_R1_001	21660121.0	5103888.0
KTP-19_S31_R2_001	22249492.0	4514517.0
KTP-1_S13_R1_001	10664217.0	1333311.0
KTP-1_S13_R2_001	10803062.0	1194466.0
KTP-2_S14_R1_001	23275003.0	5322474.0
KTP-2_S14_R2_001	23821622.0	4775855.0
KTP-3_S15_R1_001	14167555.0	1986115.0
KTP-3_S15_R2_001	14384605.0	1769065.0
KTP-4_S16_R1_001	15753032.0	1988683.0
KTP-4_S16_R2_001	15975640.0	1766075.0
KTP-5_S17_R1_001	26020513.0	6186116.0
KTP-5_S17_R2_001	26612145.0	5594484.0
KTP-6_S18_R1_001	10193206.0	1697212.0
KTP-6_S18_R2_001	10321030.0	1569388.0
KTP-7_S19_R1_001	9919587.0	1062833.0
KTP-7_S19_R2_001	10006748.0	975672.0
KTP-8_S20_R1_001	17646382.0	2644535.0
KTP-8_S20_R2_001	17966073.0	2324844.0
KTP-9_S21_R1_001	13578408.0	1919197.0
KTP-9_S21_R2_001	13745864.0	1751741.0
STP-1_S46_R1_001	9791676.0	1390308.0
STP-1_S46_R2_001	9942652.0	1239332.0
STP-2_S47_R1_001	11881359.0	1875881.0
STP-2_S47_R2_001	12037062.0	1720178.0
STP-3_S48_R1_001	12074072.0	2102502.0
STP-3_S48_R2_001	12247078.0	1929496.0
WBP-1_S5_R1_001	9578537.0	1677724.0
WBP-1_S5_R2_001	9692739.0	1563522.0
WBP-2_S6_R1_001	10062093.0	2149226.0
WBP-2_S6_R2_001	10235724.0	1975595.0
WBP-3_S7_R1_001	7820533.0	1655731.0
WBP-3_S7_R2_001	7925338.0	1550926.0
WBP-4_S8_R1_001	22522502.0	6248129.0
WBP-4_S8_R2_001	23141406.0	5629225.0
WBP-5_S9_R1_001	17901469.0	5833270.0
WBP-5_S9_R2_001	18445966.0	5288773.0
WBP-6_S10_R1_001	19851837.0	5331790.0
WBP-6_S10_R2_001	20365712.0	4817915.0
WBP-7_S11_R1_001	20497751.0	6630959.0
WBP-7_S11_R2_001	21187862.0	5940848.0
WBP-8_S12_R1_001	7639125.0	1857597.0
WBP-8_S12_R2_001	7778244.0	1718478.0
WZP-10_S41_R1_001	17180724.0	4003116.0
WZP-10_S41_R2_001	17620682.0	3563158.0
WZP-11_S42_R1_001	21182762.0	5373952.0
WZP-11_S42_R2_001	21754105.0	4802609.0
WZP-12_S43_R1_001	16674561.0	3654124.0
WZP-12_S43_R2_001	17047012.0	3281673.0
WZP-13_S44_R1_001	11351248.0	2387324.0
WZP-13_S44_R2_001	11577914.0	2160658.0
WZP-14_S45_R1_001	12242410.0	2937323.0
WZP-14_S45_R2_001	12489681.0	2690052.0
WZP-1_S32_R1_001	17919208.0	3442545.0
WZP-1_S32_R2_001	18298717.0	3063036.0
WZP-2_S33_R1_001	11348870.0	2454748.0
WZP-2_S33_R2_001	11556833.0	2246785.0
WZP-3_S34_R1_001	16263336.0	2797652.0
WZP-3_S34_R2_001	16541607.0	2519381.0
WZP-4_S35_R1_001	11096945.0	2302470.0
WZP-4_S35_R2_001	11305582.0	2093833.0
WZP-5_S36_R1_001	12927459.0	1993364.0
WZP-5_S36_R2_001	13189740.0	1731083.0
WZP-6_S37_R1_001	10646855.0	2560096.0
WZP-6_S37_R2_001	10891125.0	2315826.0
WZP-7_S38_R1_001	10882895.0	2437620.0
WZP-7_S38_R2_001	11096101.0	2224414.0
WZP-8_S39_R1_001	13555834.0	3129083.0
WZP-8_S39_R2_001	13822095.0	2862822.0
WZP-9_S40_R1_001	18605477.0	3630655.0
WZP-9_S40_R2_001	19000093.0	3236039.0
