Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CZP-1_S3_R1_001	(1.0, 75.82867042207799)	(2.0, 10.79954446193493)	(3.0, 3.172225918342296)	(4.0, 2.0345587098144113)	(5.0, 1.5223011170819125)	(6.0, 1.205220057501045)	(7.0, 0.9562833826014586)	(8.0, 0.8024709440370368)	(9.0, 0.6253988943067038)	('>10', 2.5424312280995887)	('>50', 0.39136977553938695)	('>100', 0.11952508866332572)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CZP-1_S3_R2_001	(1.0, 77.56965688021556)	(2.0, 10.09896603061298)	(3.0, 3.0901947223755406)	(4.0, 1.9417983294544496)	(5.0, 1.4321043840201706)	(6.0, 1.1106080062801045)	(7.0, 0.8825974934590012)	(8.0, 0.7478296709841151)	(9.0, 0.5216438579341927)	('>10', 2.1478598817167085)	('>50', 0.3676979346780517)	('>100', 0.08904280826907135)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CZP-2_S4_R1_001	(1.0, 67.40724217205243)	(2.0, 11.525625460833448)	(3.0, 3.4096897803550688)	(4.0, 1.77614077202254)	(5.0, 1.2500609942512644)	(6.0, 0.9270594120751735)	(7.0, 0.8789646109452329)	(8.0, 0.8417997621159026)	(9.0, 0.7312284571835901)	('>10', 10.011892047779366)	('>50', 0.6094179117939447)	('>100', 0.6220919529070935)	('>500', 0.008786665684880622)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CZP-2_S4_R2_001	(1.0, 69.45839442860304)	(2.0, 10.74488005701217)	(3.0, 3.1655804350781658)	(4.0, 1.705938137566145)	(5.0, 1.1785486693274485)	(6.0, 0.9875326167964941)	(7.0, 0.8622736511723156)	(8.0, 0.7778938271091181)	(9.0, 0.7264884375328087)	('>10', 9.334993301529623)	('>50', 0.4981982086976286)	('>100', 0.554150692957405)	('>500', 0.0051275366175500174)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ELP-1_S49_R1_001	(1.0, 70.20122499351899)	(2.0, 11.613364921924033)	(3.0, 3.1115119460706087)	(4.0, 1.5784846789274283)	(5.0, 1.27520917870059)	(6.0, 1.1125100192071384)	(7.0, 1.0759223223840404)	(8.0, 0.9114616730699706)	(9.0, 0.8482830234614969)	('>10', 7.290404122822763)	('>50', 0.5278172260467723)	('>100', 0.42700982106525187)	('>500', 0.02044506625040995)	('>1k', 0.006351006550493074)	('>5k', 0.0)	('>10k+', 0.0)
ELP-1_S49_R2_001	(1.0, 72.91836532393711)	(2.0, 10.534456609527728)	(3.0, 2.8482109383338625)	(4.0, 1.4971769278699256)	(5.0, 1.254757536781538)	(6.0, 1.0538006071257886)	(7.0, 1.0120733442765855)	(8.0, 0.9148701957365073)	(9.0, 0.8103346966325038)	('>10', 6.3104955452266225)	('>50', 0.46102426515862066)	('>100', 0.36454544139660755)	('>500', 0.013576223186247759)	('>1k', 0.006312344810384666)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-1_S1_R1_001	(1.0, 79.76860521786719)	(2.0, 11.761251876918093)	(3.0, 3.831884181470105)	(4.0, 1.889011229030483)	(5.0, 0.9490265999762101)	(6.0, 0.5068001036569703)	(7.0, 0.2848594896232707)	(8.0, 0.14593031972883289)	(9.0, 0.10323817317224482)	('>10', 0.7561557369077573)	('>50', 0.0032370716487950917)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-1_S1_R2_001	(1.0, 81.36256809188333)	(2.0, 10.915641934736819)	(3.0, 3.611612261283934)	(4.0, 1.6741235053445072)	(5.0, 0.8415155937016073)	(6.0, 0.4295067734199385)	(7.0, 0.24582551156649493)	(8.0, 0.1395312315456009)	(9.0, 0.07741907877946999)	('>10', 0.6990409882335713)	('>50', 0.0032150295047278497)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-2_S2_R1_001	(1.0, 80.92553014448166)	(2.0, 11.90012766362114)	(3.0, 3.4306012914493955)	(4.0, 1.544685527169055)	(5.0, 0.792490921685309)	(6.0, 0.35593312085967493)	(7.0, 0.2193523207333142)	(8.0, 0.1141262227181531)	(9.0, 0.08164445004449579)	('>10', 0.6355083372378566)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FRUpstream-2_S2_R2_001	(1.0, 82.58233021158716)	(2.0, 10.896709266611342)	(3.0, 3.1319533110005784)	(4.0, 1.4069034354852257)	(5.0, 0.6936058864985272)	(6.0, 0.30854082372975505)	(7.0, 0.16503068934881374)	(8.0, 0.11302951137681969)	(9.0, 0.08380006452422971)	('>10', 0.6180967998375763)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
