Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
CZP-1_S3_R1_001	(0, 331.0)	(5, 364.0)	(10, 339.0)	(15, 343.0)	(20, 425.0)	(25, 521.0)	(30, 14447.0)	(35, 17347.0)	(40, 17008.0)	(45, 16846.0)	(50, 17713.0)	(55, 18555.0)	(60, 19549.0)	(65, 20957.0)	(70, 22522.0)	(75, 24078.0)	(80, 26437.0)	(85, 28785.0)	(90, 31116.0)	(95, 33749.0)	(100, 36681.0)	(105, 40639.0)	(110, 44556.0)	(115, 49866.0)	(120, 54147.0)	(125, 59085.0)	(130, 66389.0)	(135, 74731.0)	(140, 112540.0)	(145, 131386.0)	(150, 18576376.0)
CZP-1_S3_R2_001	(0, 347.0)	(5, 412.0)	(10, 444.0)	(15, 531.0)	(20, 698.0)	(25, 952.0)	(30, 14624.0)	(35, 17393.0)	(40, 17087.0)	(45, 16910.0)	(50, 17793.0)	(55, 18633.0)	(60, 19646.0)	(65, 21054.0)	(70, 22635.0)	(75, 24199.0)	(80, 26507.0)	(85, 28832.0)	(90, 31137.0)	(95, 33745.0)	(100, 36699.0)	(105, 40627.0)	(110, 44573.0)	(115, 50070.0)	(120, 54014.0)	(125, 58997.0)	(130, 66084.0)	(135, 74324.0)	(140, 108946.0)	(145, 126968.0)	(150, 18582947.0)
CZP-2_S4_R1_001	(0, 776.0)	(5, 924.0)	(10, 951.0)	(15, 991.0)	(20, 1171.0)	(25, 1493.0)	(30, 32443.0)	(35, 40370.0)	(40, 41302.0)	(45, 43521.0)	(50, 48376.0)	(55, 54172.0)	(60, 60271.0)	(65, 68108.0)	(70, 76162.0)	(75, 84751.0)	(80, 93417.0)	(85, 102412.0)	(90, 110856.0)	(95, 121318.0)	(100, 129857.0)	(105, 139990.0)	(110, 153127.0)	(115, 171135.0)	(120, 180524.0)	(125, 198460.0)	(130, 219093.0)	(135, 243658.0)	(140, 342176.0)	(145, 391548.0)	(150, 45919386.0)
CZP-2_S4_R2_001	(0, 848.0)	(5, 992.0)	(10, 1064.0)	(15, 1289.0)	(20, 1732.0)	(25, 2612.0)	(30, 32828.0)	(35, 40517.0)	(40, 41444.0)	(45, 43755.0)	(50, 48406.0)	(55, 54445.0)	(60, 60379.0)	(65, 68311.0)	(70, 76224.0)	(75, 84874.0)	(80, 93486.0)	(85, 102456.0)	(90, 110986.0)	(95, 121186.0)	(100, 129682.0)	(105, 139844.0)	(110, 152857.0)	(115, 171082.0)	(120, 180092.0)	(125, 197724.0)	(130, 218188.0)	(135, 242459.0)	(140, 331992.0)	(145, 380334.0)	(150, 45940651.0)
ELP-1_S49_R1_001	(0, 661.0)	(5, 801.0)	(10, 826.0)	(15, 867.0)	(20, 928.0)	(25, 1038.0)	(30, 27196.0)	(35, 33428.0)	(40, 33125.0)	(45, 33902.0)	(50, 35887.0)	(55, 39280.0)	(60, 42839.0)	(65, 46779.0)	(70, 50656.0)	(75, 55397.0)	(80, 60441.0)	(85, 65556.0)	(90, 70130.0)	(95, 76150.0)	(100, 81533.0)	(105, 88119.0)	(110, 94715.0)	(115, 105645.0)	(120, 110607.0)	(125, 119853.0)	(130, 131249.0)	(135, 144226.0)	(140, 212090.0)	(145, 238898.0)	(150, 35945648.0)
ELP-1_S49_R2_001	(0, 626.0)	(5, 809.0)	(10, 919.0)	(15, 1049.0)	(20, 1479.0)	(25, 2023.0)	(30, 27561.0)	(35, 33574.0)	(40, 33262.0)	(45, 34094.0)	(50, 36054.0)	(55, 39475.0)	(60, 42975.0)	(65, 47019.0)	(70, 50792.0)	(75, 55562.0)	(80, 60567.0)	(85, 65666.0)	(90, 70282.0)	(95, 76256.0)	(100, 81571.0)	(105, 88158.0)	(110, 94916.0)	(115, 105904.0)	(120, 110574.0)	(125, 119584.0)	(130, 130885.0)	(135, 143595.0)	(140, 206930.0)	(145, 231342.0)	(150, 35954967.0)
FRUpstream-1_S1_R1_001	(0, 85.0)	(5, 116.0)	(10, 117.0)	(15, 124.0)	(20, 153.0)	(25, 153.0)	(30, 5476.0)	(35, 6350.0)	(40, 6198.0)	(45, 5794.0)	(50, 5852.0)	(55, 5722.0)	(60, 5926.0)	(65, 5769.0)	(70, 5773.0)	(75, 5536.0)	(80, 5485.0)	(85, 5497.0)	(90, 5148.0)	(95, 5259.0)	(100, 5090.0)	(105, 5135.0)	(110, 5106.0)	(115, 5199.0)	(120, 5391.0)	(125, 5718.0)	(130, 5931.0)	(135, 6402.0)	(140, 14852.0)	(145, 18356.0)	(150, 5388279.0)
FRUpstream-1_S1_R2_001	(0, 81.0)	(5, 108.0)	(10, 123.0)	(15, 142.0)	(20, 203.0)	(25, 277.0)	(30, 5516.0)	(35, 6389.0)	(40, 6235.0)	(45, 5796.0)	(50, 5853.0)	(55, 5733.0)	(60, 5928.0)	(65, 5819.0)	(70, 5791.0)	(75, 5549.0)	(80, 5511.0)	(85, 5520.0)	(90, 5177.0)	(95, 5242.0)	(100, 5087.0)	(105, 5152.0)	(110, 5087.0)	(115, 5232.0)	(120, 5512.0)	(125, 5750.0)	(130, 5906.0)	(135, 6413.0)	(140, 14510.0)	(145, 17405.0)	(150, 5388945.0)
FRUpstream-2_S2_R1_001	(0, 83.0)	(5, 97.0)	(10, 121.0)	(15, 98.0)	(20, 123.0)	(25, 99.0)	(30, 4796.0)	(35, 5679.0)	(40, 5527.0)	(45, 5371.0)	(50, 5639.0)	(55, 5404.0)	(60, 5251.0)	(65, 5252.0)	(70, 5215.0)	(75, 5241.0)	(80, 5071.0)	(85, 4874.0)	(90, 4836.0)	(95, 4725.0)	(100, 4658.0)	(105, 4587.0)	(110, 4566.0)	(115, 4525.0)	(120, 4878.0)	(125, 5027.0)	(130, 4773.0)	(135, 5181.0)	(140, 12225.0)	(145, 14910.0)	(150, 4646693.0)
FRUpstream-2_S2_R2_001	(0, 74.0)	(5, 106.0)	(10, 101.0)	(15, 120.0)	(20, 179.0)	(25, 196.0)	(30, 4822.0)	(35, 5700.0)	(40, 5543.0)	(45, 5370.0)	(50, 5672.0)	(55, 5430.0)	(60, 5261.0)	(65, 5252.0)	(70, 5216.0)	(75, 5237.0)	(80, 5080.0)	(85, 4900.0)	(90, 4839.0)	(95, 4719.0)	(100, 4659.0)	(105, 4639.0)	(110, 4577.0)	(115, 4534.0)	(120, 4854.0)	(125, 5057.0)	(130, 4796.0)	(135, 5177.0)	(140, 11676.0)	(145, 13952.0)	(150, 4647787.0)
