Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CZP-1_S3_R1_001	CZP-1_S3_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19557828.0	2.9 Gbp	0.0	1-151	39.0	83.79056227875822	148.98783903815905	151	pass	fail	fail	pass	pass	warn	fail	warn	pass	pass	pass
CZP-1_S3_R2_001	CZP-1_S3_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19557828.0	2.9 Gbp	0.0	1-151	40.0	85.03784301048282	148.97870888321546	151	pass	fail	fail	pass	pass	warn	fail	warn	pass	pass	pass
CZP-2_S4_R1_001	CZP-2_S4_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49072739.0	7.2 Gbp	0.0	1-151	39.0	76.03256615308963	148.46868190911454	151	pass	fail	fail	pass	pass	warn	fail	warn	pass	pass	pass
CZP-2_S4_R2_001	CZP-2_S4_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49072739.0	7.2 Gbp	0.0	1-151	40.0	77.54798315709553	148.46381016148294	151	pass	fail	fail	pass	pass	warn	fail	warn	pass	pass	pass
ELP-1_S49_R1_001	ELP-1_S49_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37948470.0	5.6 Gbp	0.0	1-151	37.0	78.72316745215602	148.80753840668675	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
ELP-1_S49_R2_001	ELP-1_S49_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37948470.0	5.6 Gbp	0.0	1-151	37.0	80.70336855654993	148.79798982673083	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FRUpstream-1_S1_R1_001	FRUpstream-1_S1_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5545992.0	828.8 Mbp	0.0	1-151	36.0	87.78979041831282	149.4453931776317	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FRUpstream-1_S1_R2_001	FRUpstream-1_S1_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5545992.0	828.7 Mbp	0.0	1-151	36.0	88.78617205865457	149.43695807711225	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FRUpstream-2_S2_R1_001	FRUpstream-2_S2_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4785525.0	714.8 Mbp	0.0	1-151	36.0	88.71954798196518	149.37061806175916	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FRUpstream-2_S2_R2_001	FRUpstream-2_S2_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4785525.0	714.7 Mbp	0.0	1-151	36.0	89.70465182089947	149.364405786199	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FZP-1_S50_R1_001	FZP-1_S50_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16924502.0	2.5 Gbp	0.0	1-151	36.0	83.89836202483619	149.0367198987598	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FZP-1_S50_R2_001	FZP-1_S50_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16924502.0	2.5 Gbp	0.0	1-151	36.0	85.67106498437768	149.02626552911275	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FZP-2_S51_R1_001	FZP-2_S51_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13426113.0	1.9 Gbp	0.0	1-151	38.0	84.29176500884779	147.26566311485684	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FZP-2_S51_R2_001	FZP-2_S51_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13426113.0	1.9 Gbp	0.0	1-151	39.0	85.48070793867991	147.26447393970244	151	pass	fail	fail	pass	pass	pass	fail	warn	pass	pass	pass
FZP-3_S52_R1_001	FZP-3_S52_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12444878.0	1.8 Gbp	0.0	1-151	39.0	85.06147156217959	147.06042678763103	151	pass	fail	fail	pass	pass	warn	fail	warn	pass	pass	pass
FZP-3_S52_R2_001	FZP-3_S52_R2_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12444878.0	1.8 Gbp	0.0	1-151	40.0	86.14217967472878	147.05777862989095	151	pass	fail	fail	pass	pass	warn	fail	warn	pass	pass	pass
HFP-1_S53_R1_001	HFP-1_S53_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11705816.0	1.7 Gbp	0.0	1-151	40.0	84.11713306176533	147.41315812584102	151	pass	fail	fail	pass	warn	warn	fail	warn	pass	pass	pass
