Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CZP-1_S3	2.90383	86.31830000000001	5030.258757	39.115656	40.0604	99.94832363549766	98.61327156184187	5.1254245464775545	151.0	151.0						
CZP-1_S3_R1_001											16.209437721241784	39.0	148.98783903815905	151	27.27272727272727	19.557828
CZP-1_S3_R2_001											14.962156989517183	40.0	148.97870888321546	151	27.27272727272727	19.557828
CZP-2_S4	2.99391	86.9823	12674.447859	98.145478	39.854800000000004	99.94649382950898	98.26938821176458	6.556261521362651	151.0	151.0						
CZP-2_S4_R1_001											23.967433846910367	39.0	148.46868190911454	151	27.27272727272727	49.072739
CZP-2_S4_R2_001											22.45201684290447	40.0	148.46381016148294	151	27.27272727272727	49.072739
ELP-1_S49	3.10562	85.8056	9690.583789999999	75.89694	37.2222	99.94679034476658	98.49227497250045	5.381942107905641	151.0	151.0						
ELP-1_S49_R1_001											21.27683254784398	37.0	148.80753840668675	151	27.27272727272727	37.94847
ELP-1_S49_R2_001											19.296631443450067	37.0	148.79798982673083	151	27.27272727272727	37.94847
FRUpstream-1_S1	3.03999	86.5065	1433.920306	11.091984	36.399300000000004	99.92857601033234	98.89629158995444	2.907932963792866	151.0	151.0						
FRUpstream-1_S1_R1_001											12.210209581687181	36.0	149.4453931776317	151	27.27272727272727	5.545992
FRUpstream-1_S1_R2_001											11.213827941345428	36.0	149.43695807711225	151	27.27272727272727	5.545992
FRUpstream-2_S2	2.88349	86.3648	1234.666466	9.57105	36.241099999999996	99.9205942879669	98.83972945157117	2.964048400944767	151.0	151.0						
FRUpstream-2_S2_R1_001											11.280452018034822	36.0	149.37061806175916	151	27.27272727272727	4.785525
FRUpstream-2_S2_R2_001											10.295348179100529	36.0	149.364405786199	151	27.27272727272727	4.785525
FZP-1_S50	2.72283	84.9363	4284.6681929999995	33.849004	36.2457	99.94425987429625	98.6413256513485	5.319541387323837	151.0	151.0						
FZP-1_S50_R1_001											16.10163797516381	36.0	149.0367198987598	151	27.27272727272727	16.924502
FZP-1_S50_R2_001											14.32893501562232	36.0	149.02626552911275	151	27.27272727272727	16.924502
FZP-2_S51	3.07443	86.6928	3428.182421	26.852225999999998	38.9146	99.94675903438218	97.47477436307831	9.232491133019412	151.0	151.0						
FZP-2_S51_R1_001											15.70823499115221	38.0	147.26566311485684	151	27.27272727272727	13.426112999999999
FZP-2_S51_R2_001											14.519292061320087	39.0	147.26447393970244	151	27.27272727272727	13.426112999999999
FZP-3_S52	2.70876	87.01299999999999	3184.9150959999997	24.889756	40.0406	99.94455412084793	97.33644228061291	9.691295591265572	151.0	151.0						
FZP-3_S52_R1_001											14.938528437820409	39.0	147.06042678763103	151	27.27272727272727	12.444878
FZP-3_S52_R2_001											13.85782032527122	40.0	147.05777862989095	151	27.27272727272727	12.444878
HFP-1_S53	3.2328500000000004	86.9619	3001.196478	23.411631999999997	41.029199999999996	99.95196150909513	97.57713431075545	9.714585104037573	151.0	151.0						
HFP-1_S53_R1_001											15.88286693823467	40.0	147.41315812584102	151	27.27272727272727	11.705815999999999
HFP-1_S53_R2_001											14.96827850389296	41.0	147.4096222766529	151	27.27272727272727	11.705815999999999
KTP-10_S22	2.47947	84.60839999999999	8269.471947	65.538266	37.4589	99.94351532267345	98.70674402508483	4.399939818809233	151.0	151.0						
KTP-10_S22_R1_001											17.950512406572457	37.0	149.13881706909976	151	27.27272727272727	32.769133
KTP-10_S22_R2_001											16.017901919637822	37.0	149.12477095442227	151	27.27272727272727	32.769133
KTP-11_S23	2.26633	85.44890000000001	3222.8527059999997	25.387296	41.247299999999996	99.95450975142576	98.34284763922734	5.84634737399528	151.0	151.0						
KTP-11_S23_R1_001											12.289666814452076	41.0	148.57039741451788	151	36.36363636363637	12.693648
KTP-11_S23_R2_001											11.130995049516486	41.0	148.56055650826303	151	36.36363636363637	12.693648
KTP-12_S24	2.93365	86.5519	4427.704348	34.537136	39.8774	99.95057621626121	98.04466884629967	6.891828012641237	151.0	151.0						
KTP-12_S24_R1_001											17.285398479035507	39.0	148.12333373560563	151	27.27272727272727	17.268568
KTP-12_S24_R2_001											16.033217817156327	40.0	148.118307609525	151	27.27272727272727	17.268568
