Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
20150415.B-CAMA_reseq_10_R1 - polya	(1, 0.002042592969645316)	(2, 0.007624679148945629)	(3, 0.01307660008998423)	(4, 0.018448419345938702)	(5, 0.02350483821687441)	(6, 0.02853622531122133)	(7, 0.03358763782683928)	(8, 0.03891940624025169)	(9, 0.043930767913327576)	(10, 0.05123754349959556)	(12, 0.06003871614821435)	(14, 0.06845439943736577)	(16, 0.07604403409908708)	(18, 0.08286018686421479)	(20, 0.08939348055388913)	(22, 0.09637984939982061)	(24, 0.1031359259011352)	(26, 0.10943141771321604)	(28, 0.11582453345399317)	(30, 0.12205494264694317)	(32, 0.12837296305795393)	(34, 0.13450074196688988)	(36, 0.1405459160130828)	(38, 0.14666117903372436)	(40, 0.15310686150533795)	(42, 0.15924214994725056)	(44, 0.16546755278488276)	(46, 0.1716554079576318)	(48, 0.17804602052075008)	(50, 0.18443663308386832)	(52, 0.1904768007747435)	(54, 0.1963717841614037)	(56, 0.20224173577147508)	(58, 0.21000909604697685)	(60, 0.21764378790655797)	(62, 0.2243973612302137)	(64, 0.23064779584443473)	(66, 0.237058433828824)	(68, 0.24323377311327865)	(70, 0.24963940474235016)	(72, 0.2560675649703516)	(74, 0.26273352707594655)	(76, 0.2692067445018078)	(78, 0.27537958060860357)	(80, 0.28162500886750685)	(82, 0.287872940304069)	(84, 0.2943011005320704)	(86, 0.30075679571431957)	(88, 0.30751287221563417)	(90, 0.3139034847787524)	(92, 0.32037920538227255)	(94, 0.3270877215080684)	(96, 0.33333815612228945)	(98, 0.3400466722480853)	(100, 0.3463471704154839)	(102, 0.35266769400415354)	(104, 0.3591108732981083)	(106, 0.3656717019420303)	(108, 0.37180198402862513)	(110, 0.378302736408734)	(112, 0.3848961063622215)	(114, 0.39165718921885384)
20150415.B-CAMA_reseq_10_R2 - polya	(1, 0.005677206930337717)	(2, 0.0136423182408909)	(3, 0.02075134279210744)	(4, 0.028330964743193247)	(5, 0.036035745577223006)	(6, 0.04335503705178539)	(7, 0.050393972628553316)	(8, 0.05717758408411558)	(9, 0.0635706998248927)	(10, 0.07310280034990418)	(12, 0.08456985720522918)	(14, 0.09497806991084833)	(16, 0.10513346167292069)	(18, 0.11476819248194621)	(20, 0.12455561712816335)	(22, 0.13455831505304408)	(24, 0.14468617186086877)	(26, 0.15466383800916073)	(28, 0.16452886116280313)	(30, 0.1742987635654081)	(32, 0.18380332913617192)	(34, 0.1935857474270713)	(36, 0.20346578964666695)	(38, 0.21294282026318312)	(40, 0.22247992714351233)	(42, 0.2318693465419677)	(44, 0.24147904557440442)	(46, 0.25125395433232717)	(48, 0.26089369149667047)	(50, 0.27044581744295293)	(52, 0.281539900827105)	(54, 0.29226101074008404)	(56, 0.3024289183904507)	(58, 0.31253424659934553)	(60, 0.32253944770188514)	(62, 0.33217668168856956)	(64, 0.34189902371565584)	(66, 0.3517440214480272)	(68, 0.36150140796233776)	(70, 0.371163673725611)	(72, 0.3810712508994543)	(74, 0.3905933387138303)	(76, 0.40037075064941186)	(78, 0.4097201192053252)	(80, 0.4192497165526778)	(82, 0.42905966979782484)	(84, 0.4385341972366821)	(86, 0.44796116430002064)	(88, 0.4575207997792798)	(90, 0.46669494589907157)	(92, 0.4758991301507699)	(94, 0.4853311035694262)	(96, 0.49519612672306856)	(98, 0.5047382399587156)	(100, 0.5147134029293486)	(102, 0.5243030765405143)	(104, 0.5337350499591706)	(106, 0.5430668962714718)	(108, 0.5523486790305954)	(110, 0.561980906661962)	(112, 0.5716406692475764)	(114, 0.5816608894160692)
20150415.B-CAMA_reseq_11_R1 - polya	(1, 0.0020702248146156586)	(2, 0.007599763114793752)	(3, 0.013209750565798878)	(4, 0.018583753841044708)	(5, 0.024199104568771636)	(6, 0.029449752479416013)	(7, 0.03494711111926329)	(8, 0.0402728449040129)	(9, 0.04493353237525903)	(10, 0.05261374464087982)	(12, 0.06193780122173298)	(14, 0.07077379962090215)	(16, 0.07900374775050767)	(18, 0.0863219388374068)	(20, 0.09343364377051655)	(22, 0.10064993259970142)	(24, 0.10770532312723227)	(26, 0.11443623541309406)	(28, 0.12118591916748216)	(30, 0.12802677862614087)	(32, 0.13439298809492012)	(34, 0.14099518173945866)	(36, 0.14773682057876408)	(38, 0.15442482665085144)	(40, 0.1608151708648788)	(42, 0.16733423372022938)	(44, 0.1739578804716551)	(46, 0.18050107807225385)	(48, 0.187194447421063)	(50, 0.19402726196463904)	(52, 0.20054096154326786)	(54, 0.20722360433863343)	(56, 0.213959879901217)	(58, 0.22179294555340917)	(60, 0.2297869095072554)	(62, 0.23695224720758318)	(64, 0.2437528820908284)	(66, 0.25047574946160744)	(68, 0.25714230242680763)	(70, 0.2636291856218274)	(72, 0.27034132643916287)	(74, 0.27718486753618254)	(76, 0.2836556609010369)	(78, 0.29026589946065817)	(80, 0.2972917919662191)	(82, 0.3043203661101409)	(84, 0.31085551879565687)	(86, 0.31800208502745836)	(88, 0.32511110832220724)	(90, 0.3318795635451216)	(92, 0.33886791311362996)	(94, 0.3460842019428148)	(96, 0.35314495574706745)	(98, 0.3605409143464327)	(100, 0.36767139074806876)	(102, 0.3747080098070733)	(104, 0.38187066586904017)	(106, 0.3885264922807967)	(108, 0.3955175234876659)	(110, 0.4023422931161592)	(112, 0.4092260587885924)	(114, 0.41638603321219836)
20150415.B-CAMA_reseq_11_R2 - polya	(1, 0.0051648354830955414)	(2, 0.013847980495693342)	(3, 0.021785630043960634)	(4, 0.029626740611235484)	(5, 0.037296226323412666)	(6, 0.044627825602116304)	(7, 0.05199160454115076)	(8, 0.05901213376998987)	(9, 0.06585567486700951)	(10, 0.0752494540452461)	(12, 0.0870862057702636)	(14, 0.09802997192110105)	(16, 0.10848567989025448)	(18, 0.11876708136594935)	(20, 0.12919060967477197)	(22, 0.1394532396819405)	(24, 0.1494772038749889)	(26, 0.15977469518084914)	(28, 0.16990860654669446)	(30, 0.17980385209841956)	(32, 0.19009061685083622)	(34, 0.19996709093403503)	(36, 0.20991865089133904)	(38, 0.21979512497453785)	(40, 0.22962601120560133)	(42, 0.23991813923473979)	(44, 0.2497543887425251)	(46, 0.2598051693191824)	(48, 0.2700543911345465)	(50, 0.2802231637990835)	(52, 0.291354644635184)	(54, 0.3024244477889838)	(56, 0.312236562551521)	(58, 0.3222203021691558)	(60, 0.332466842346159)	(62, 0.34260075371200427)	(64, 0.3526622608421053)	(66, 0.36243415102922893)	(68, 0.37261096860884857)	(70, 0.38239894862613766)	(72, 0.39221106338867484)	(74, 0.4020473128964601)	(76, 0.412275081604937)	(78, 0.4224545808229176)	(80, 0.4327815701507478)	(82, 0.4425856399982022)	(84, 0.45266055532010774)	(86, 0.46300631611646414)	(88, 0.472909606583272)	(90, 0.48294429732976396)	(92, 0.4926840078565568)	(94, 0.5028635070745374)	(96, 0.513016189908909)	(98, 0.5234102201957618)	(100, 0.5336835767563739)	(102, 0.5436029570533472)	(104, 0.5537288235041097)	(106, 0.5634765789459852)	(108, 0.573353053029184)	(110, 0.5831463963231949)	(112, 0.5927010738030856)	(114, 0.6031433735804345)
20150415.B-CAMA_reseq_12_R1 - polya	(1, 0.0023084057588480104)	(2, 0.008259853856721665)	(3, 0.014314406926454536)	(4, 0.020340319726226515)	(5, 0.026125654258326986)	(6, 0.03180215576457607)	(7, 0.03725526316513017)	(8, 0.0423532312181692)	(9, 0.04706169159974009)	(10, 0.054860437110091365)	(12, 0.06435755062912363)	(14, 0.0730441445082626)	(16, 0.08129254225699992)	(18, 0.0889022619856093)	(20, 0.09603368920587177)	(22, 0.10298468272538058)	(24, 0.1099184920829129)	(26, 0.11666900371269548)	(28, 0.12350543615236073)	(30, 0.13025594778214333)	(32, 0.13692053860204323)	(34, 0.14350493666605263)	(36, 0.1500864707030659)	(38, 0.15684843844083288)	(40, 0.1635244853687171)	(42, 0.1700630590007891)	(44, 0.17675915411764598)	(46, 0.1832232630478196)	(48, 0.1896558676810363)	(50, 0.19636341890587755)	(52, 0.20294781696988692)	(54, 0.20930882092820136)	(56, 0.21584166650628117)	(58, 0.22404423982308103)	(60, 0.23210647581707256)	(62, 0.23884266731187467)	(64, 0.2455273063207472)	(66, 0.2522033532486314)	(68, 0.2586159096928755)	(70, 0.26561845569831394)	(72, 0.272320278869163)	(74, 0.2790879746609221)	(76, 0.28587858266864996)	(78, 0.29247443684064367)	(80, 0.29937101384722686)	(82, 0.3063821519336536)	(84, 0.31326440880525624)	(86, 0.31993759170614444)	(88, 0.3265506300401147)	(90, 0.33343002288472134)	(92, 0.3405757702399642)	(94, 0.34793631961991384)	(96, 0.3546381427907629)	(98, 0.3615175356353695)	(100, 0.36829668753511297)	(102, 0.375221904811657)	(104, 0.3823447399509312)	(106, 0.3889577782849015)	(108, 0.39606629328919524)	(110, 0.4030029666737236)	(112, 0.409681877628604)	(114, 0.41693932203669437)
20150415.B-CAMA_reseq_12_R2 - polya	(1, 0.006369596039302699)	(2, 0.01587816566631932)	(3, 0.0240520987131583)	(4, 0.03218020732805986)	(5, 0.04027967567300052)	(6, 0.047869347212637275)	(7, 0.055224168538594715)	(8, 0.06233268354288846)	(9, 0.06925790081943249)	(10, 0.07914452200993291)	(12, 0.09153716682201149)	(14, 0.10324244515502863)	(16, 0.11440642238578488)	(18, 0.12544724645570932)	(20, 0.13640787776974322)	(22, 0.14703341792523467)	(24, 0.15771623862064793)	(26, 0.16896900068828297)	(28, 0.1796317731947236)	(30, 0.19058381242776923)	(32, 0.20132391366310426)	(34, 0.21219003208626724)	(36, 0.222953045537571)	(38, 0.23358717777405072)	(40, 0.24478265930176396)	(42, 0.25571465034583696)	(44, 0.26650916809409775)	(46, 0.2775184878670651)	(48, 0.28857076804497395)	(50, 0.29925931679437934)	(52, 0.31105624399127135)	(54, 0.3229104517280852)	(56, 0.33377084209725594)	(58, 0.34494913946299266)	(60, 0.35637087912339693)	(62, 0.3675033520571962)	(64, 0.3786215048560151)	(66, 0.389327237767397)	(68, 0.40033369351336834)	(70, 0.41126282053044527)	(72, 0.42202010592775685)	(74, 0.4326828784341975)	(76, 0.4429275029992091)	(78, 0.45362464382960277)	(80, 0.4649633267071205)	(82, 0.4757320682124164)	(84, 0.4866726513374777)	(86, 0.49772206748839043)	(88, 0.5084650327507214)	(90, 0.5192022699590604)	(92, 0.5300311560312743)	(94, 0.5410118355342808)	(96, 0.5514197096380695)	(98, 0.5616929744730419)	(100, 0.5725877331661658)	(102, 0.5833908429954149)	(104, 0.5944946756592533)	(106, 0.6048137649261631)	(108, 0.6155853704584551)	(110, 0.6261794063169897)	(112, 0.6368421788234302)	(114, 0.6473903902500273)
20150415.B-CAMA_reseq_13_R1 - polya	(1, 0.002020746293345603)	(2, 0.007659792232367626)	(3, 0.012812166289222646)	(4, 0.018229035934211907)	(5, 0.023667065226251907)	(6, 0.0287929897242935)	(7, 0.0341252207810798)	(8, 0.038764473396954394)	(9, 0.04366822160096323)	(10, 0.05052923715716545)	(12, 0.05947976785962818)	(14, 0.06775847976822992)	(16, 0.07556638952995272)	(18, 0.08255965288022206)	(20, 0.08919320223062883)	(22, 0.09588758556630647)	(24, 0.10210587684334249)	(26, 0.10867330229671571)	(28, 0.11506351570603897)	(30, 0.12096441227731389)	(32, 0.12696317221619846)	(34, 0.13309946986091287)	(36, 0.13938124007910113)	(38, 0.1458904765030848)	(40, 0.15185749697139328)	(42, 0.15815778188075091)	(44, 0.16435226855485482)	(46, 0.17057584974365353)	(48, 0.17656931977077545)	(50, 0.1824860860773384)	(52, 0.18871760213378114)	(54, 0.19485389977849554)	(56, 0.20086588449678683)	(58, 0.20713707489144967)	(60, 0.21358547733016248)	(62, 0.2202957304011282)	(64, 0.22649815194287615)	(66, 0.23289630021984342)	(68, 0.2391860053056757)	(70, 0.24533023781803415)	(72, 0.2517389659185268)	(74, 0.2579096479896986)	(76, 0.2641067796196839)	(78, 0.2702272075291102)	(80, 0.27614661879155455)	(82, 0.28242045414209876)	(84, 0.2888080225955407)	(86, 0.2950739230784409)	(88, 0.3015963842818313)	(90, 0.3081770345146112)	(92, 0.31469156085035754)	(94, 0.320936301686207)	(96, 0.3270884690662095)	(98, 0.33346281274024464)	(100, 0.33959911038495905)	(102, 0.3457380529855548)	(104, 0.3522261297624877)	(106, 0.3583412677601514)	(108, 0.36468122700772915)	(110, 0.370836039343613)	(112, 0.37717070867942804)	(114, 0.38366672032400495)
20150415.B-CAMA_reseq_13_R2 - polya	(1, 0.005882381880105526)	(2, 0.014891101611957782)	(3, 0.022767780226595487)	(4, 0.03039054307662432)	(5, 0.038203742750109806)	(6, 0.0456995477178342)	(7, 0.05254469353874837)	(8, 0.059463898124340116)	(9, 0.06608157773945883)	(10, 0.07523312508890359)	(12, 0.08651386192282898)	(14, 0.09706194597762252)	(16, 0.10738256382662059)	(18, 0.11714509598465545)	(20, 0.1271324493926044)	(22, 0.13711451288879067)	(24, 0.14701458275265533)	(26, 0.15695961686650278)	(28, 0.16664280034809736)	(30, 0.1764476518002337)	(32, 0.18584518004664327)	(34, 0.19564738654289826)	(36, 0.2054469480832719)	(38, 0.21498201403551126)	(40, 0.22461494335536036)	(42, 0.2340971101899729)	(44, 0.24353166781872126)	(46, 0.25320956138855316)	(48, 0.2629377091201306)	(50, 0.27243574569003115)	(52, 0.2822088576715914)	(54, 0.29179682274145763)	(56, 0.3012102207231553)	(58, 0.31084315004300433)	(60, 0.32037557103936243)	(62, 0.3300296600062622)	(64, 0.3398159967672291)	(66, 0.3495388545870438)	(68, 0.3594495042744339)	(70, 0.3693046098883157)	(72, 0.37931841285507806)	(74, 0.38861543277799665)	(76, 0.3976611818921877)	(78, 0.40718302306502036)	(80, 0.41680008264958135)	(82, 0.42633514860182076)	(84, 0.4361347101421944)	(86, 0.4455057888297906)	(88, 0.4550223400908606)	(90, 0.4642982003667284)	(92, 0.4740554426130006)	(94, 0.48366985724168027)	(96, 0.4931361543410048)	(98, 0.5030706086313268)	(100, 0.512550130510058)	(102, 0.5219741083152811)	(104, 0.5313240273558265)	(106, 0.5404808646170339)	(108, 0.5497144055988004)	(110, 0.5591410283599046)	(112, 0.5686152603268732)	(114, 0.5784148218672468)
20150415.B-CAMA_reseq_14_R1 - polya	(1, 0.002122908693697084)	(2, 0.007848329110031645)	(3, 0.013271395863930559)	(4, 0.01926700465946293)	(5, 0.024664339186771578)	(6, 0.030351161263220735)	(7, 0.03580639330035749)	(8, 0.041319522847322335)	(9, 0.046504566505261274)	(10, 0.054114872519332946)	(12, 0.06376124096235954)	(14, 0.07255522939958353)	(16, 0.0808056245500881)	(18, 0.08841271403583598)	(20, 0.09561773748111094)	(22, 0.1026040370003686)	(24, 0.10929119938551443)	(26, 0.11629358154639102)	(28, 0.12356293555814163)	(30, 0.13031121198143936)	(32, 0.13690509504519544)	(34, 0.14342821448582832)	(36, 0.1500767785310887)	(38, 0.15655808310351238)	(40, 0.16307155295917392)	(42, 0.17015113179982128)	(44, 0.1766260033155974)	(46, 0.18322310290767727)	(48, 0.18965615955524417)	(50, 0.19639478639357055)	(52, 0.20285357526772774)	(54, 0.2091804864806098)	(56, 0.21588373150737455)	(58, 0.2222299418901993)	(60, 0.22934168601408453)	(62, 0.2363698004015514)	(64, 0.24310842723987774)	(66, 0.2497698573984333)	(68, 0.25622542974426665)	(70, 0.26276784835484224)	(72, 0.2696254867411486)	(74, 0.2762225863332285)	(76, 0.2829419140016121)	(78, 0.28969019042490984)	(80, 0.2963098057152562)	(82, 0.30312241270502954)	(84, 0.30985138995838457)	(86, 0.31648387136202605)	(88, 0.32340584031480807)	(90, 0.33014125062481064)	(92, 0.33723047905042935)	(94, 0.3441170661916498)	(96, 0.3512255937872112)	(98, 0.35814756273999326)	(100, 0.3652432242222595)	(102, 0.3722520394397837)	(104, 0.37912576046770896)	(106, 0.3861731740251185)	(108, 0.3930404619963962)	(110, 0.40017150529022416)	(112, 0.40689404948693153)	(114, 0.4140508250073498)
20150415.B-CAMA_reseq_14_R2 - polya	(1, 0.006323694684558284)	(2, 0.015767421843186524)	(3, 0.023834474879235443)	(4, 0.03219101546442488)	(5, 0.04021947016058839)	(6, 0.0480935314972103)	(7, 0.05571027056792954)	(8, 0.06343637160165741)	(9, 0.07035190749779185)	(10, 0.07992429578937144)	(12, 0.09207955632494913)	(14, 0.10385526651832039)	(16, 0.11536078833249382)	(18, 0.12621013836861544)	(20, 0.13703375617814678)	(22, 0.14783807481773542)	(24, 0.15870350749547596)	(26, 0.1696461368529873)	(28, 0.18029606213303434)	(30, 0.1905149726176944)	(32, 0.20086897729195335)	(34, 0.21201746446218683)	(36, 0.22255802777922523)	(38, 0.23342024392864197)	(40, 0.244382172456096)	(42, 0.25446598875115717)	(44, 0.26472349757570257)	(46, 0.2754409699505491)	(48, 0.2858979035311691)	(50, 0.29682445024706156)	(52, 0.30807264979533233)	(54, 0.31922435349388956)	(56, 0.329719885414395)	(58, 0.34008675620194906)	(60, 0.3508524765016523)	(62, 0.36133514230886266)	(64, 0.3719464692490243)	(66, 0.38266394162387074)	(68, 0.3931208752044908)	(70, 0.40325615595273245)	(72, 0.41375812092988545)	(74, 0.42432119994519035)	(76, 0.4346108740529736)	(78, 0.44524150016307795)	(80, 0.4557402486119072)	(82, 0.46614571773934665)	(84, 0.4768181587176602)	(86, 0.48712391546706246)	(88, 0.4977834903320808)	(90, 0.5081857429311966)	(92, 0.5188999987777192)	(94, 0.5295595736427376)	(96, 0.5397077205042744)	(98, 0.5500520755935621)	(100, 0.5607759810250561)	(102, 0.5709402105282119)	(104, 0.5811848532394621)	(106, 0.5918862429726898)	(108, 0.6022338145903012)	(110, 0.612677882057626)	(112, 0.6230544024301514)	(114, 0.6334630880859147)
