Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
20150415.B-CAMA_reseq_10_R1	(1, 0.0793056745886065)	(2, 0.0008611121263111309)	(3, 0.0)	(4, 2.0026028830973058e-05)	(5, 0.0)	(6, 0.008751449083263179)	(7, 2.5032861889445366e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 2.5034008074118487e-06)	(20, 0.00010264030673329674)	(22, 0.00020027525330125592)	(24, 3.00415369310377e-05)	(26, 0.0001677332540564222)	(28, 0.0008536951091256427)	(30, 0.0005783145560521995)	(32, 0.0015878038233815182)	(34, 0.003956285029815832)	(36, 0.0035293957809783313)	(38, 0.00039121662502132257)	(40, 0.00014802352961955844)	(42, 0.0002911512703532307)	(44, 0.00011048183614584518)	(46, 0.0)	(48, 1.2564647624959945e-05)	(50, 0.0)	(52, 0.0)	(54, 1.5094505187528598e-05)	(56, 6.040037141195054e-05)	(58, 5.035292871263977e-06)	(60, 0.0)	(62, 6.80299824762324e-05)	(64, 9.578335217282644e-05)	(66, 0.0009304654823782697)	(68, 0.0008147894527296368)	(70, 7.822976834979527e-05)	(72, 0.0002373020793367498)	(74, 0.0002879004894687137)	(76, 0.0)	(78, 0.0008870949072260476)	(80, 0.0014663928422432586)	(82, 0.0011558399534467123)	(84, 0.0011840913082157036)	(86, 0.002576589046120159)	(88, 0.004220757838968948)	(90, 0.0023403520846952144)	(92, 0.0027161779970224405)	(94, 0.0027069970017473566)	(96, 0.0023884998448616105)	(98, 0.0027825075191748884)	(100, 0.003169326401415108)	(102, 0.0012717770561112862)	(104, 0.0018080870502494564)	(106, 0.00395018930678928)	(108, 0.005710045998778655)	(110, 0.00875227866197767)	(112, 0.004167842660303201)	(114, 0.0007885804795856483)	(116, 0.001051057417205306)	(118, 0.0)	(120, 0.0004236608348987091)	(122, 0.0005222345721027515)	(124, 0.00021510938017486907)	(126, 4.0983635951378246e-05)
20150415.B-CAMA_reseq_10_R2	(1, 0.09507068748422685)	(2, 0.09859560093603242)	(3, 0.11125210231028092)	(4, 0.12372858292473464)	(5, 0.13262049027126824)	(6, 0.12677842372710543)	(7, 0.12319932136238584)	(8, 0.11632597366492102)	(9, 0.13133594686844396)	(10, 0.11483272416975888)	(12, 0.10397684392428877)	(14, 0.10934732232737343)	(16, 0.10942842280180622)	(18, 0.10006426623243067)	(20, 0.09738652537184095)	(22, 0.0851406188318582)	(24, 0.0943689504523456)	(26, 0.09707348575025518)	(28, 0.0831174431120797)	(30, 0.08625758349486237)	(32, 0.08974707308363415)	(34, 0.0753662938432077)	(36, 0.08126015861648075)	(38, 0.09749178093328995)	(40, 0.11717781745087943)	(42, 0.11997521434202903)	(44, 0.11347835851146443)	(46, 0.10193293531260066)	(48, 0.11822391776377753)	(50, 0.11280129827074543)	(52, 0.10309839898097128)	(54, 0.09578596592580614)	(56, 0.08726223751963645)	(58, 0.06003246309885435)	(60, 0.04779061409465725)	(62, 0.0499584607543259)	(64, 0.056960001516379186)	(66, 0.05450076764787632)	(68, 0.055432582250222295)	(70, 0.05870424047606785)	(72, 0.07088908739482667)	(74, 0.06953943985546827)	(76, 0.08276823545003795)	(78, 0.0806333482241557)	(80, 0.07008227765582062)	(82, 0.07554569243494742)	(84, 0.07473824157970228)	(86, 0.06468449206956282)	(88, 0.06343195191962867)	(90, 0.060952093225067824)	(92, 0.06219748624151723)	(94, 0.06029061307318568)	(96, 0.051047662436435735)	(98, 0.05407657887821079)	(100, 0.05610084297168771)	(102, 0.05544233494552127)	(104, 0.0527692692903676)	(106, 0.06511545908519804)	(108, 0.06757479960077198)	(110, 0.05981658670149998)	(112, 0.060526190317259004)	(114, 0.05303285587398022)	(116, 0.08792185816337325)	(118, 0.13061404966739104)	(120, 0.15666510529843852)	(122, 0.19817532993982068)	(124, 0.15534823849851886)	(126, 0.13428789839874422)
20150415.B-CAMA_reseq_11_R1	(1, 0.07616389272631338)	(2, 0.0008474132201932991)	(3, 0.0)	(4, 6.436102933237822e-05)	(5, 5.363440110486866e-06)	(6, 0.008704902050543462)	(7, 4.290786838590629e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0001287309446019253)	(22, 0.00018237052068500084)	(24, 3.754716091031589e-05)	(26, 0.0001689638010611624)	(28, 0.0008340983928747722)	(30, 0.0005739505515316138)	(32, 0.0017170941444084762)	(34, 0.004165881425754666)	(36, 0.003585037134539703)	(38, 0.0003841863524111858)	(40, 0.00016932988075977942)	(42, 0.0002715809955901162)	(44, 0.00010491066654991992)	(46, 1.3455662891079423e-05)	(48, 1.3461140943691672e-05)	(50, 0.0)	(52, 0.0)	(54, 2.1562897111073126e-05)	(56, 9.707114514101888e-05)	(58, 1.07900292145436e-05)	(60, 0.0)	(62, 0.00011878774835042288)	(64, 7.292188232552636e-05)	(66, 0.0011158843461798551)	(68, 0.0008730580371411863)	(70, 0.00010275397138015268)	(72, 0.0002975632384099389)	(74, 0.00025708697455312533)	(76, 0.0)	(78, 0.000850392573982055)	(80, 0.0015199132614491125)	(82, 0.001263009540329575)	(84, 0.0011767087050822292)	(86, 0.002701487649034442)	(88, 0.004544874626852226)	(90, 0.0024103585484343093)	(92, 0.002745237257740958)	(94, 0.0028494731449108125)	(96, 0.0026983661189345764)	(98, 0.00307179366245473)	(100, 0.003445685150968058)	(102, 0.0013657701383283012)	(104, 0.0018208485856619852)	(106, 0.004067755187790069)	(108, 0.0061228600903590336)	(110, 0.00922843247622439)	(112, 0.0043801134997251325)	(114, 0.0009624986792909411)	(116, 0.0010720601750376926)	(118, 0.0)	(120, 0.0004978962924152585)	(122, 0.0005515236554395201)	(124, 0.00022233503056393)	(126, 6.040345444061212e-05)
20150415.B-CAMA_reseq_11_R2	(1, 0.0913741455093445)	(2, 0.09533274480000772)	(3, 0.10730939027424446)	(4, 0.12040718976269646)	(5, 0.1272566781196068)	(6, 0.12329382224364721)	(7, 0.11940585090278451)	(8, 0.11316869558650668)	(9, 0.1276559227445943)	(10, 0.1113142420522669)	(12, 0.10081070406881183)	(14, 0.10647277904412321)	(16, 0.1068276445614648)	(18, 0.09765398981301512)	(20, 0.09505879578943574)	(22, 0.08289719779311622)	(24, 0.09198163499776636)	(26, 0.09431843026325698)	(28, 0.08077807856899832)	(30, 0.08337228250571606)	(32, 0.08697273367104164)	(34, 0.07288349777013216)	(36, 0.07895349679051525)	(38, 0.0949685603530319)	(40, 0.11366792645415577)	(42, 0.11624117502807212)	(44, 0.1099187391651884)	(46, 0.09859426011704614)	(48, 0.11417110012529261)	(50, 0.10915778907887227)	(52, 0.09964080059882553)	(54, 0.09254709879427055)	(56, 0.08459394434843936)	(58, 0.05830596922566975)	(60, 0.046518384436316215)	(62, 0.04861596361102683)	(64, 0.0557872220901843)	(66, 0.05322127020026576)	(68, 0.05394506171990252)	(70, 0.057176414751898975)	(72, 0.06851171387461076)	(74, 0.06769969705758937)	(76, 0.08060389409881712)	(78, 0.07862794307047682)	(80, 0.06837377406679226)	(82, 0.07387711420998566)	(84, 0.07303379940901106)	(86, 0.06281442302040789)	(88, 0.06132681300680871)	(90, 0.05890133058105782)	(92, 0.060554969281814426)	(94, 0.058961014887859986)	(96, 0.05032289368567928)	(98, 0.05269581142375057)	(100, 0.05473886910605998)	(102, 0.05348768839106585)	(104, 0.0509642781644183)	(106, 0.06350978613217016)	(108, 0.06542249531529176)	(110, 0.05776233089532703)	(112, 0.058505460632311976)	(114, 0.051510861669942225)	(116, 0.08488803407698495)	(118, 0.1274961553895799)	(120, 0.15400911886523755)	(122, 0.19532403292583958)	(124, 0.152568213291257)	(126, 0.13184405017893397)
20150415.B-CAMA_reseq_12_R1	(1, 0.07986625681294741)	(2, 0.0010310741696330098)	(3, 0.0)	(4, 6.301056097099503e-05)	(5, 0.0)	(6, 0.008575244592096753)	(7, 2.864153978750956e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 8.592937676482828e-05)	(22, 0.00024060438446495402)	(24, 4.5829855515651754e-05)	(26, 0.00017186358270834665)	(28, 0.0009223428562655266)	(30, 0.0005155998014024143)	(32, 0.001607459989719133)	(34, 0.00411057539542001)	(36, 0.0037336647864137274)	(38, 0.00039014605806176586)	(40, 0.00015783747280280982)	(42, 0.0002755952958868608)	(44, 0.00011487117327147673)	(46, 5.745524789195977e-06)	(48, 2.586331902593683e-05)	(50, 0.0)	(52, 0.0)	(54, 1.150574771065104e-05)	(56, 6.330122627998749e-05)	(58, 1.151299689267092e-05)	(60, 0.0)	(62, 8.064475713744983e-05)	(64, 6.338448730362622e-05)	(66, 0.0010807666733981618)	(68, 0.0007841631336081363)	(70, 8.651642397511996e-05)	(72, 0.00030867438487253195)	(74, 0.00030011480834278765)	(76, 0.0)	(78, 0.0008547061608288456)	(80, 0.0015221979058889447)	(82, 0.001126838697374466)	(84, 0.0011503065379059386)	(86, 0.0026829322518263816)	(88, 0.00454036444724591)	(90, 0.0023721038961835423)	(92, 0.002618773760488804)	(94, 0.0027816769175754686)	(96, 0.00262908777545413)	(98, 0.003061452149575311)	(100, 0.0034624022233547868)	(102, 0.001353542956656627)	(104, 0.0017396310955695045)	(106, 0.003921125629877934)	(108, 0.006118417577038753)	(110, 0.009373409349845237)	(112, 0.004371721245351853)	(114, 0.000853716715247697)	(116, 0.0011678120326936241)	(118, 0.0)	(120, 0.00045154017001856585)	(122, 0.00048210733146754873)	(124, 0.00014614053657310147)	(126, 5.847095642346725e-05)
20150415.B-CAMA_reseq_12_R2	(1, 0.09382552439188688)	(2, 0.0979959069467344)	(3, 0.11019154666955976)	(4, 0.12299433230523009)	(5, 0.130968447052408)	(6, 0.12666140705632117)	(7, 0.12306462066865836)	(8, 0.11611102642892032)	(9, 0.13081024677975142)	(10, 0.11460294017991743)	(12, 0.1034049538829315)	(14, 0.10871029066992176)	(16, 0.10954749668918634)	(18, 0.09950351355670928)	(20, 0.09660008709646707)	(22, 0.08442483643207094)	(24, 0.09374025508222301)	(26, 0.09653083901227649)	(28, 0.08240750209026329)	(30, 0.08545021841622351)	(32, 0.08892403889976136)	(34, 0.07451314709164682)	(36, 0.08025744781545352)	(38, 0.09670781491629692)	(40, 0.11611687470641123)	(42, 0.11904299513875234)	(44, 0.11258266658840291)	(46, 0.10089493769517836)	(48, 0.11690829668723907)	(50, 0.11185205483846589)	(52, 0.1022174909746654)	(54, 0.0947965667748)	(56, 0.08676962972613518)	(58, 0.059725213935480304)	(60, 0.04685808142543925)	(62, 0.04939955150437504)	(64, 0.05608822272936332)	(66, 0.053426136147651654)	(68, 0.054567293728321586)	(70, 0.05774837402639919)	(72, 0.06945874593875624)	(74, 0.0685312214555444)	(76, 0.0818743605550091)	(78, 0.07928946933631364)	(80, 0.06854931730997493)	(82, 0.07390437821105118)	(84, 0.07321318513626679)	(86, 0.06328733882883644)	(88, 0.06237795342764252)	(90, 0.05974384403804862)	(92, 0.06094517217560925)	(94, 0.05914032680819552)	(96, 0.050394406808610084)	(98, 0.05316721597723932)	(100, 0.05510437482494677)	(102, 0.054288124183729025)	(104, 0.05180483967608232)	(106, 0.06435171785357774)	(108, 0.06646246936010539)	(110, 0.05977926188339904)	(112, 0.06008483227074802)	(114, 0.05267342150546621)	(116, 0.08770525016955273)	(118, 0.13113399983952276)	(120, 0.1573589608412721)	(122, 0.19925212089566924)	(124, 0.15628248578786508)	(126, 0.13449970290795898)
20150415.B-CAMA_reseq_13_R1	(1, 0.07937512599908579)	(2, 0.0009627762149415885)	(3, 0.0)	(4, 8.464051348860318e-05)	(5, 0.0)	(6, 0.008453547307886392)	(7, 7.935156021037686e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 5.290368627331065e-06)	(20, 9.522748417557282e-05)	(22, 0.00016400414316789292)	(24, 3.174301028171974e-05)	(26, 0.0001137468640254116)	(28, 0.0008914663052057372)	(30, 0.0004735129299980176)	(32, 0.0014580769790550284)	(34, 0.003854645143909576)	(36, 0.0034563491704046887)	(38, 0.00036830278155773903)	(40, 0.00016699761352458004)	(42, 0.0002863932650486932)	(44, 0.00012998753897006522)	(46, 1.5922781304393715e-05)	(48, 2.6547804006801655e-05)	(50, 0.0)	(52, 0.0)	(54, 1.5945198690729106e-05)	(56, 8.772816200807529e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0001144330919424919)	(64, 8.518959236620322e-05)	(66, 0.001073226311099067)	(68, 0.0008444849299932649)	(70, 4.7968072450976634e-05)	(72, 0.00023725335680844224)	(74, 0.00029599824769037364)	(76, 0.0)	(78, 0.000672435558926035)	(80, 0.0013052704632508976)	(82, 0.0011588356478672284)	(84, 0.0010710619988378042)	(86, 0.002546254734484144)	(88, 0.004217487547520568)	(90, 0.002248431164507148)	(92, 0.002487151189748829)	(94, 0.002549462242704953)	(96, 0.002368303398022983)	(98, 0.002874970042357089)	(100, 0.003237514854676822)	(102, 0.0012616948869774525)	(104, 0.0016613988265325712)	(106, 0.003723177242053644)	(108, 0.0057245094698669865)	(110, 0.009051962124766668)	(112, 0.004126233335973264)	(114, 0.0008480399381725211)	(116, 0.0009315988698497584)	(118, 0.0)	(120, 0.00042535856380857657)	(122, 0.0004941393453512343)	(124, 0.00014855723375410506)	(126, 2.7016551906658026e-05)
20150415.B-CAMA_reseq_13_R2	(1, 0.09550406696351182)	(2, 0.09948251739965418)	(3, 0.11191440336149479)	(4, 0.12492832068321234)	(5, 0.13280038959859358)	(6, 0.12790241624370208)	(7, 0.12409937493251876)	(8, 0.1174079349650818)	(9, 0.13216261265007223)	(10, 0.11534619981644803)	(12, 0.10438337708143833)	(14, 0.10991525014183785)	(16, 0.11037115932780192)	(18, 0.10025449951615915)	(20, 0.09759964186219175)	(22, 0.08473955317509464)	(24, 0.09498541901867429)	(26, 0.09746501033904174)	(28, 0.08318933212679527)	(30, 0.08639097457949937)	(32, 0.09035590621191893)	(34, 0.0756210288303981)	(36, 0.08087869054547521)	(38, 0.09755009000781678)	(40, 0.11778671668553084)	(42, 0.12088213809887308)	(44, 0.11417969274863052)	(46, 0.10230408436119524)	(48, 0.1188917738408948)	(50, 0.11300857710481761)	(52, 0.10351299690635239)	(54, 0.0960698782795971)	(56, 0.08797534446642048)	(58, 0.060183946244149175)	(60, 0.04749410786283537)	(62, 0.04991657595441601)	(64, 0.05690103553814952)	(66, 0.05422553160767676)	(68, 0.055415966330364934)	(70, 0.05898968597212689)	(72, 0.07063703607657729)	(74, 0.06947108298170464)	(76, 0.08246849579955108)	(78, 0.08010733491641003)	(80, 0.06947515746621315)	(82, 0.0751770706383301)	(84, 0.07434630474025468)	(86, 0.06459650071161153)	(88, 0.06351323100551089)	(90, 0.060878452190684544)	(92, 0.06223470321620314)	(94, 0.060419053823438644)	(96, 0.05109627521426838)	(98, 0.053433025726927125)	(100, 0.055624236378475536)	(102, 0.05473233672012883)	(104, 0.05208744774507281)	(106, 0.06443570469807293)	(108, 0.06691351773714978)	(110, 0.059737345568783316)	(112, 0.060345179362383275)	(114, 0.053388711172520385)	(116, 0.08793541608950717)	(118, 0.13140698096864042)	(120, 0.15844137237138795)	(122, 0.20148845978174454)	(124, 0.15711735514761366)	(126, 0.13590834825971235)
20150415.B-CAMA_reseq_14_R1	(1, 0.07926812401131961)	(2, 0.001087203359136722)	(3, 0.0)	(4, 7.719843781241242e-05)	(5, 0.0)	(6, 0.009167389979097064)	(7, 3.8599715545829566e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 3.2168011723824878e-06)	(20, 9.328791219947582e-05)	(22, 0.0001962278761513872)	(24, 3.8602532975972534e-05)	(26, 0.00013189311202055164)	(28, 0.0008396212169514956)	(30, 0.0004761114766124552)	(32, 0.0015703531737159436)	(34, 0.00402717230696131)	(36, 0.0033974861372099412)	(38, 0.0003382614046765509)	(40, 0.0001772464309336401)	(42, 0.00032237296417846425)	(44, 0.00016123902776478012)	(46, 1.6128959937889308e-05)	(48, 2.2587436693465154e-05)	(50, 0.0)	(52, 0.0)	(54, 1.937761741148684e-05)	(56, 6.138022282700766e-05)	(58, 0.0)	(60, 0.0)	(62, 0.00012610181460511217)	(64, 0.00010996633283691082)	(66, 0.001106442985737044)	(68, 0.0007475432041138565)	(70, 9.063661311952674e-05)	(72, 0.0002460807033970826)	(74, 0.00035302937094246987)	(76, 0.0)	(78, 0.0006999655850254029)	(80, 0.0013322306828414815)	(82, 0.0011121053412117513)	(84, 0.001054019675920408)	(86, 0.0025497449233232335)	(88, 0.004309062301967276)	(90, 0.0023043870726351893)	(92, 0.0025159907444005005)	(94, 0.002610817174085263)	(96, 0.002488076397327741)	(98, 0.0029143487522201197)	(100, 0.0031882687310787953)	(102, 0.001241864123875101)	(104, 0.0015869301473672764)	(106, 0.003799134181223319)	(108, 0.005950591158208878)	(110, 0.009147711524720445)	(112, 0.004192501164818743)	(114, 0.0008400145146694046)	(116, 0.0010226936036345099)	(118, 0.0)	(120, 0.0003853487907836587)	(122, 0.000504391002070656)	(124, 0.00016707981245389335)	(126, 3.2766926427568155e-05)
20150415.B-CAMA_reseq_14_R2	(1, 0.09528000200711367)	(2, 0.0985162414452051)	(3, 0.11111908101760196)	(4, 0.12396636529394664)	(5, 0.13215626360410837)	(6, 0.12665630882935616)	(7, 0.12279688694966565)	(8, 0.11595238181014379)	(9, 0.13093590188061216)	(10, 0.11451249681954406)	(12, 0.10365706966787631)	(14, 0.10919716649002181)	(16, 0.10928501212061946)	(18, 0.09935894054187036)	(20, 0.09681206952107652)	(22, 0.08466940731640055)	(24, 0.09400530036387125)	(26, 0.09679829918591121)	(28, 0.08286365520432748)	(30, 0.08620995816216158)	(32, 0.08999766735880048)	(34, 0.07527568948687952)	(36, 0.08078161176721281)	(38, 0.097276042095695)	(40, 0.11642343920582116)	(42, 0.11958577468281209)	(44, 0.11289160322909714)	(46, 0.10145629721288725)	(48, 0.11763711668029264)	(50, 0.11200752492257805)	(52, 0.10247719406206973)	(54, 0.09531751188804505)	(56, 0.08685545738075458)	(58, 0.05996307146001128)	(60, 0.047387060972698625)	(62, 0.050291513916512924)	(64, 0.057301593354295945)	(66, 0.05458392198743709)	(68, 0.05549231354762251)	(70, 0.05854738395450143)	(72, 0.07027469232318924)	(74, 0.0693905212709882)	(76, 0.08218029469639213)	(78, 0.08007384292486837)	(80, 0.0695572632706273)	(82, 0.0751587701054006)	(84, 0.07450380685167791)	(86, 0.06445976659212915)	(88, 0.06282793387761497)	(90, 0.06042952249122954)	(92, 0.062003076942055896)	(94, 0.06029160719201232)	(96, 0.0515052462626053)	(98, 0.05432266957453231)	(100, 0.05642967255027443)	(102, 0.0555325587665127)	(104, 0.052726111330270296)	(106, 0.0652939667808731)	(108, 0.06709901239454492)	(110, 0.059708612986948746)	(112, 0.06060856401613568)	(114, 0.05270234042410489)	(116, 0.0872670376563423)	(118, 0.13044553179858537)	(120, 0.15677283600388367)	(122, 0.19950540553932564)	(124, 0.15587195326887887)	(126, 0.13466697167852215)
