Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
20150415.B-CAMA_reseq_10_R1	(1, 33.33510725190092)	(2, 33.43189123753327)	(3, 33.44436607625178)	(4, 33.40330990204518)	(5, 33.43731641366416)	(6, 37.38295655291034)	(7, 37.54358924678372)	(8, 37.59945497266227)	(9, 37.617727940632)	(10, 37.628466223226596)	(12, 37.62035698944895)	(14, 37.62134907554361)	(16, 37.617855496637674)	(18, 37.61985243488023)	(20, 37.58175662512774)	(22, 37.524268698480014)	(24, 37.54108388047187)	(26, 37.53699952698666)	(28, 37.51028814830437)	(30, 37.4453734907974)	(32, 37.45951036695214)	(34, 37.47212351694421)	(36, 37.456172667736595)	(38, 37.42540568334269)	(40, 37.40572482844408)	(42, 37.385538261548426)	(44, 37.357737581713586)	(46, 37.34065161011314)	(48, 37.321522145289364)	(50, 37.31802251506974)	(52, 37.3086345538906)	(54, 37.298483079130435)	(56, 37.2891348528089)	(58, 37.27207183216398)	(60, 37.25758744993247)	(62, 37.24254180154331)	(64, 37.21357522881485)	(66, 37.19577136093284)	(68, 37.18352840018441)	(70, 37.17998002795151)	(72, 37.16836182139194)	(74, 37.15174252420256)	(76, 37.150420413537816)	(78, 37.138841861177326)	(80, 37.12175659439063)	(82, 37.10136914670204)	(84, 37.08050629451579)	(86, 37.04711045735705)	(88, 37.025141401263866)	(90, 37.00130932040801)	(92, 36.97909453592315)	(94, 36.9630608767077)	(96, 36.93377743267)	(98, 36.88584706227687)	(100, 36.83623239733976)	(102, 36.77904392256295)	(104, 36.74496952236311)	(106, 36.70162174355518)	(108, 36.65074583353116)	(110, 36.58604612409143)	(112, 36.5294745638233)	(114, 36.441496944203664)	(116, 36.39788041935351)	(118, 36.36212798824155)	(120, 36.30221724949807)	(122, 36.23065821655909)	(124, 36.024810350801886)	(126, 32.73153571933914)
20150415.B-CAMA_reseq_10_R2	(1, 32.93688663073338)	(2, 33.027094265384676)	(3, 33.05884085742719)	(4, 33.02886825043659)	(5, 33.02915628185814)	(6, 37.13030602097634)	(7, 37.13080791079023)	(8, 37.127804821487565)	(9, 37.120649637568256)	(10, 37.12680607004822)	(12, 37.10937728956992)	(14, 37.110724023814385)	(16, 37.10106377431982)	(18, 37.101157033439705)	(20, 37.0971194291437)	(22, 37.08209658002144)	(24, 37.096050039371924)	(26, 37.07956179426136)	(28, 37.075919704247305)	(30, 37.05322640761268)	(32, 37.02989620913878)	(34, 37.01333959111892)	(36, 37.01844902927687)	(38, 37.02579905840629)	(40, 36.99614954627927)	(42, 36.98872563839495)	(44, 36.968665889914696)	(46, 36.96777206929392)	(48, 36.951004442107816)	(50, 36.9489123975832)	(52, 36.951428875534525)	(54, 36.931994929897826)	(56, 36.9066716310263)	(58, 36.883114466869046)	(60, 36.862954807919)	(62, 36.83633544473512)	(64, 36.79950572780034)	(66, 36.8074550112068)	(68, 36.8242213806533)	(70, 36.81067284143545)	(72, 36.79497078963793)	(74, 36.7330739228924)	(76, 36.7210422119524)	(78, 36.69938084526923)	(80, 36.67879235929296)	(82, 36.64638311891066)	(84, 36.58876289675631)	(86, 36.57451860519747)	(88, 36.554923771241505)	(90, 36.51299193630213)	(92, 36.450029214395144)	(94, 36.403325958986315)	(96, 36.319276627956505)	(98, 36.25657868746392)	(100, 36.16096338454274)	(102, 36.084593804393464)	(104, 35.992930604497985)	(106, 35.877912849572624)	(108, 35.82211505211799)	(110, 35.72240386337026)	(112, 35.61110397865671)	(114, 35.503979212109726)	(116, 35.38616072965486)	(118, 35.23173844087971)	(120, 35.080172473995646)	(122, 34.81681908922199)	(124, 34.404203577156785)	(126, 27.76952242018809)
20150415.B-CAMA_reseq_11_R1	(1, 33.30759925896678)	(2, 33.407359580009135)	(3, 33.41836220957427)	(4, 33.37402173246697)	(5, 33.40742836455303)	(6, 37.344547156567614)	(7, 37.51503515843918)	(8, 37.57506740453507)	(9, 37.59334169471613)	(10, 37.606136539337)	(12, 37.59830580673834)	(14, 37.59870844054601)	(16, 37.59539163905745)	(18, 37.5982967972716)	(20, 37.55945317476909)	(22, 37.5002790700708)	(24, 37.51793677582212)	(26, 37.513593864870245)	(28, 37.48556336351654)	(30, 37.420254566082946)	(32, 37.43263949075276)	(34, 37.445070688357404)	(36, 37.42830453331722)	(38, 37.39454288876834)	(40, 37.372463272622795)	(42, 37.349827287431324)	(44, 37.320246494357264)	(46, 37.301923313955356)	(48, 37.2804481895588)	(50, 37.27805537978947)	(52, 37.266055108311846)	(54, 37.255885185976744)	(56, 37.24522221784926)	(58, 37.22741046048422)	(60, 37.21314802657089)	(62, 37.19595767435244)	(64, 37.16473631695787)	(66, 37.146347854350566)	(68, 37.132646160794636)	(70, 37.12803094217417)	(72, 37.11511155558581)	(74, 37.10087850358416)	(76, 37.097979084685576)	(78, 37.084864185355514)	(80, 37.06638488967369)	(82, 37.04359708751933)	(84, 37.02293039371515)	(86, 36.98678034672846)	(88, 36.96333350107218)	(90, 36.93780144388161)	(92, 36.913592965471366)	(94, 36.896326249792736)	(96, 36.86487979394187)	(98, 36.81423009888115)	(100, 36.762222010593334)	(102, 36.701838986629355)	(104, 36.664997109455804)	(106, 36.61776910563914)	(108, 36.56406629962586)	(110, 36.49788647006124)	(112, 36.43625571408259)	(114, 36.342436099744496)	(116, 36.29487292007879)	(118, 36.25527149697041)	(120, 36.19277413224763)	(122, 36.115352833807414)	(124, 35.89706289709623)	(126, 32.5498751048755)
20150415.B-CAMA_reseq_11_R2	(1, 32.846586258276744)	(2, 32.93969607223728)	(3, 32.97282730798723)	(4, 32.941631206883365)	(5, 32.94015380214121)	(6, 37.037196622002426)	(7, 37.03977926302836)	(8, 37.036310953678495)	(9, 37.028179665480444)	(10, 37.0367642236689)	(12, 37.02111901179815)	(14, 37.02251783586365)	(16, 37.01282275611924)	(18, 37.0121440605691)	(20, 37.005610801312386)	(22, 36.98897566097218)	(24, 37.00357769620101)	(26, 36.98605422440304)	(28, 36.9807154605175)	(30, 36.95641909002758)	(32, 36.933587770134864)	(34, 36.91621860282368)	(36, 36.92073199011067)	(38, 36.93061998038692)	(40, 36.899762480551544)	(42, 36.89044610875011)	(44, 36.86967755216352)	(46, 36.86718824828549)	(48, 36.849934865283814)	(50, 36.8465317013258)	(52, 36.849987260588975)	(54, 36.82803951167767)	(56, 36.79892817634989)	(58, 36.77395584292344)	(60, 36.75135831902231)	(62, 36.72384548050992)	(64, 36.684031707448895)	(66, 36.690895319612956)	(68, 36.708006153229704)	(70, 36.69526862629544)	(72, 36.67712847807482)	(74, 36.6117027549595)	(76, 36.59679924208431)	(78, 36.57083464002143)	(80, 36.54701102751142)	(82, 36.513038148670546)	(84, 36.453723315897726)	(86, 36.435641367980026)	(88, 36.41154537079503)	(90, 36.365120715084615)	(92, 36.296289062779934)	(94, 36.24465327458813)	(96, 36.15380303515291)	(98, 36.08435955462234)	(100, 35.981841525294435)	(102, 35.901349098760925)	(104, 35.802152176676856)	(106, 35.68179028269554)	(108, 35.62009301198917)	(110, 35.508106759725806)	(112, 35.387876401164704)	(114, 35.26712824243865)	(116, 35.136146742563824)	(118, 34.96865255873928)	(120, 34.797480443087025)	(122, 34.510459969408835)	(124, 34.0640427807329)	(126, 27.415011408820945)
20150415.B-CAMA_reseq_12_R1	(1, 33.333827148868)	(2, 33.429285897505956)	(3, 33.443333795408954)	(4, 33.402749528838534)	(5, 33.43906930257381)	(6, 37.390061812791814)	(7, 37.547315537313565)	(8, 37.60185234724634)	(9, 37.620279548348925)	(10, 37.629962561174764)	(12, 37.62100702891475)	(14, 37.62225442378431)	(16, 37.61796302646279)	(18, 37.618908658031515)	(20, 37.58126337645333)	(22, 37.52415227701562)	(24, 37.53941625338544)	(26, 37.53301392029472)	(28, 37.505479444859986)	(30, 37.441006653142054)	(32, 37.45418597018179)	(34, 37.46504301252613)	(36, 37.449222866555566)	(38, 37.420037792719086)	(40, 37.40128262625582)	(42, 37.38131327130795)	(44, 37.355630316130444)	(46, 37.33886710105597)	(48, 37.32007644342536)	(50, 37.31693378678938)	(52, 37.30718920068825)	(54, 37.29700522911592)	(56, 37.28761994757458)	(58, 37.27124936640638)	(60, 37.257931434139664)	(62, 37.243251593886455)	(64, 37.21348267076883)	(66, 37.196797423828926)	(68, 37.18464725295769)	(70, 37.17898236328064)	(72, 37.16791998140961)	(74, 37.15241687532975)	(76, 37.15031185332305)	(78, 37.13853548126697)	(80, 37.12173957813998)	(82, 37.10246226055281)	(84, 37.0822321119381)	(86, 37.04955442656846)	(88, 37.02620414798952)	(90, 37.00271479479336)	(92, 36.981823331474146)	(94, 36.96532085190195)	(96, 36.937060901048454)	(98, 36.88904848871729)	(100, 36.840334226543284)	(102, 36.78435240674358)	(104, 36.75080911857828)	(106, 36.708096381677564)	(108, 36.65780422192262)	(110, 36.59542609297426)	(112, 36.538719078893315)	(114, 36.45170202837775)	(116, 36.40946901726252)	(118, 36.37339577447972)	(120, 36.314680567927844)	(122, 36.24429515812894)	(124, 36.04333860359594)	(126, 32.81250241192695)
20150415.B-CAMA_reseq_12_R2	(1, 32.903692509813304)	(2, 32.99480509422912)	(3, 33.02900282521571)	(4, 32.99695876579495)	(5, 32.99926164132151)	(6, 37.09638238822168)	(7, 37.09836669006636)	(8, 37.09657407170323)	(9, 37.09124415690172)	(10, 37.098518186682554)	(12, 37.08356713138831)	(14, 37.08430204674982)	(16, 37.07278076297626)	(18, 37.07108600929038)	(20, 37.06688940340436)	(22, 37.05286051038334)	(24, 37.06653354903655)	(26, 37.04900915974522)	(28, 37.04381623337666)	(30, 37.01907796135208)	(32, 36.99533812615364)	(34, 36.979073671130706)	(36, 36.98294791446361)	(38, 36.990513947872)	(40, 36.96233751719191)	(42, 36.953240493615816)	(44, 36.93452969306068)	(46, 36.93151429350575)	(48, 36.91653669475453)	(50, 36.91380486114132)	(52, 36.91716682990467)	(54, 36.89677408316588)	(56, 36.86916427488019)	(58, 36.84633042288739)	(60, 36.827366143399246)	(62, 36.80146728273259)	(64, 36.7629187529875)	(66, 36.77049807798873)	(68, 36.786544840675695)	(70, 36.77458595389474)	(72, 36.75975196594664)	(74, 36.6974802728691)	(76, 36.68550869681543)	(78, 36.66239825133043)	(80, 36.6420370147564)	(82, 36.61283144251145)	(84, 36.55579580232799)	(86, 36.54184418658687)	(88, 36.5197348494175)	(90, 36.4768310976776)	(92, 36.415182353392765)	(94, 36.36998771828985)	(96, 36.28563005778449)	(98, 36.22025382465637)	(100, 36.126011863620775)	(102, 36.04888426708084)	(104, 35.9605993374399)	(106, 35.84742627006582)	(108, 35.79051490292928)	(110, 35.68787815076858)	(112, 35.57463822667978)	(114, 35.469095092347885)	(116, 35.35281038479148)	(118, 35.19949150467474)	(120, 35.04407100710919)	(122, 34.78155329540333)	(124, 34.37656218964119)	(126, 27.79764877798206)
20150415.B-CAMA_reseq_13_R1	(1, 33.34266054101938)	(2, 33.43909514694134)	(3, 33.45081200509364)	(4, 33.408412960218904)	(5, 33.44215300396072)	(6, 37.38563860810174)	(7, 37.547048650970574)	(8, 37.60253139941135)	(9, 37.620917195417036)	(10, 37.63277327838449)	(12, 37.62464082973398)	(14, 37.62509337533169)	(16, 37.622250607135996)	(18, 37.624026761343465)	(20, 37.58638672876869)	(22, 37.529434842148035)	(24, 37.54743638618035)	(26, 37.54396844138198)	(28, 37.518413589974045)	(30, 37.45340194942598)	(32, 37.46649283154534)	(34, 37.47946515225978)	(36, 37.463510069580416)	(38, 37.43291839098728)	(40, 37.41311435975314)	(42, 37.39209867990779)	(44, 37.36492846470843)	(46, 37.34844086466268)	(48, 37.32906607732476)	(50, 37.325651664437736)	(52, 37.315601356406354)	(54, 37.30582920627995)	(56, 37.29660028265877)	(58, 37.28112275844322)	(60, 37.266303176132276)	(62, 37.251781515104994)	(64, 37.222095053196206)	(66, 37.204950648885514)	(68, 37.19404058612176)	(70, 37.18990575473313)	(72, 37.177897554744845)	(74, 37.162805723378966)	(76, 37.16093716367816)	(78, 37.149783782386706)	(80, 37.133611532572985)	(82, 37.113781425827256)	(84, 37.09362380087737)	(86, 37.060475635250384)	(88, 37.03887174162709)	(90, 37.01425749470302)	(92, 36.99267075183282)	(94, 36.97635563734153)	(96, 36.94668700443388)	(98, 36.9002736499165)	(100, 36.849935591080154)	(102, 36.79371168304645)	(104, 36.76098959775574)	(106, 36.71727144179257)	(108, 36.666917016432905)	(110, 36.60443502635693)	(112, 36.5472561190395)	(114, 36.459648544107296)	(116, 36.41603177976032)	(118, 36.381494883648585)	(120, 36.32333602823091)	(122, 36.253151764108)	(124, 36.05304033060217)	(126, 32.779625337700146)
20150415.B-CAMA_reseq_13_R2	(1, 32.97136099960712)	(2, 33.06205194250645)	(3, 33.094912629161655)	(4, 33.06690399309339)	(5, 33.06969005148713)	(6, 37.179443471607385)	(7, 37.18053314115625)	(8, 37.17868430744607)	(9, 37.172744570398244)	(10, 37.17773041566389)	(12, 37.16328644946841)	(14, 37.16592378739789)	(16, 37.15554006950677)	(18, 37.160522291445545)	(20, 37.15815603190687)	(22, 37.14359873708964)	(24, 37.155617181631264)	(26, 37.14192623298648)	(28, 37.14073193439711)	(30, 37.119057950939265)	(32, 37.09919485181737)	(34, 37.08390897581207)	(36, 37.086369834380854)	(38, 37.09287494221617)	(40, 37.06721087030512)	(42, 37.05881615297581)	(44, 37.04161917844027)	(46, 37.04027602637312)	(48, 37.02553900199355)	(50, 37.02413359592791)	(52, 37.02735262719405)	(54, 37.0092962197356)	(56, 36.98529100466311)	(58, 36.96467516167696)	(60, 36.94567761036953)	(62, 36.92161987259434)	(64, 36.884652778075825)	(66, 36.89454837911521)	(68, 36.911954623455145)	(70, 36.89989307667004)	(72, 36.88697239905749)	(74, 36.825815155503776)	(76, 36.8179309179468)	(78, 36.79789703105092)	(80, 36.778063878009775)	(82, 36.74948318018683)	(84, 36.69505235502311)	(86, 36.68269795857489)	(88, 36.66605953654697)	(90, 36.62770721602583)	(92, 36.56882205859762)	(94, 36.52490627755674)	(96, 36.444172190080074)	(98, 36.383921173674835)	(100, 36.293991634412095)	(102, 36.22103816951888)	(104, 36.13283589222597)	(106, 36.02574406382291)	(108, 35.97559328439608)	(110, 35.88197164539723)	(112, 35.77587616116918)	(114, 35.677756391423074)	(116, 35.56783952102302)	(118, 35.42437246039243)	(120, 35.283230760655684)	(122, 35.03349840904225)	(124, 34.647544637885595)	(126, 28.076048214883233)
20150415.B-CAMA_reseq_14_R1	(1, 33.34180618358271)	(2, 33.43920461746203)	(3, 33.45147662359761)	(4, 33.40816377339788)	(5, 33.44279958199447)	(6, 37.391525394506566)	(7, 37.549569690371094)	(8, 37.605538854307305)	(9, 37.62339828285101)	(10, 37.63363824703865)	(12, 37.62513984920522)	(14, 37.62569063164469)	(16, 37.62165039205273)	(18, 37.623699955275896)	(20, 37.585832026199704)	(22, 37.528620203239015)	(24, 37.544423102699014)	(26, 37.53995967323236)	(28, 37.51275637141728)	(30, 37.447527948891604)	(32, 37.46102701998636)	(34, 37.4719352019943)	(36, 37.45693397445419)	(38, 37.425617766371204)	(40, 37.40627917554876)	(42, 37.38590578030989)	(44, 37.35824096891785)	(46, 37.341837263942644)	(48, 37.32162437205578)	(50, 37.319621627779476)	(52, 37.30952448906983)	(54, 37.29923198039976)	(56, 37.28981196940245)	(58, 37.272778352440156)	(60, 37.2576014046425)	(62, 37.243842569369626)	(64, 37.214486231949664)	(66, 37.19705771180125)	(68, 37.18505309459688)	(70, 37.18122786791448)	(72, 37.168807219770756)	(74, 37.15321752299874)	(76, 37.15150543550759)	(78, 37.13967936610918)	(80, 37.12366550398959)	(82, 37.10200632141874)	(84, 37.081131933827365)	(86, 37.048566677275254)	(88, 37.02460309088792)	(90, 37.001512861987095)	(92, 36.98126925922968)	(94, 36.96320600819699)	(96, 36.933495213749055)	(98, 36.8857045507729)	(100, 36.83673899339699)	(102, 36.78015194592528)	(104, 36.745777842804365)	(106, 36.703757932071625)	(108, 36.6538072724956)	(110, 36.58972765820023)	(112, 36.53102360951483)	(114, 36.445748711356316)	(116, 36.40320862324622)	(118, 36.36710950578866)	(120, 36.309207704978526)	(122, 36.237472181903726)	(124, 36.03749384799366)	(126, 32.8038565885999)
20150415.B-CAMA_reseq_14_R2	(1, 32.94862438733177)	(2, 33.03910298369632)	(3, 33.07283835496413)	(4, 33.04681804973438)	(5, 33.0489272813746)	(6, 37.156849441044116)	(7, 37.160408451472584)	(8, 37.15599037126893)	(9, 37.14714807349626)	(10, 37.1508729986885)	(12, 37.133837264359514)	(14, 37.133919053451805)	(16, 37.12368423336458)	(18, 37.1282686046943)	(20, 37.12309542884182)	(22, 37.107238862186726)	(24, 37.1190345171858)	(26, 37.10581814857715)	(28, 37.10171029316976)	(30, 37.07857962505985)	(32, 37.05570273275349)	(34, 37.03821351047495)	(36, 37.039511645352924)	(38, 37.04701831892882)	(40, 37.01896556529621)	(42, 37.01176360479877)	(44, 36.99296933946115)	(46, 36.99066693339107)	(48, 36.97399704358828)	(50, 36.97134731170864)	(52, 36.97518005559621)	(54, 36.955774097330114)	(56, 36.93189453807426)	(58, 36.906852514574624)	(60, 36.886742205959166)	(62, 36.86242051614198)	(64, 36.8242860993098)	(66, 36.834090412783226)	(68, 36.85007005199887)	(70, 36.83538124395009)	(72, 36.82171543271602)	(74, 36.76201310435156)	(76, 36.75207279026469)	(78, 36.73105561839567)	(80, 36.71145083008038)	(82, 36.680007311643294)	(84, 36.624358897576876)	(86, 36.611245903343416)	(88, 36.592256527578826)	(90, 36.550365404836825)	(92, 36.488155796026035)	(94, 36.442727041621765)	(96, 36.36128887100825)	(98, 36.298170476937436)	(100, 36.20658104500315)	(102, 36.13005152790726)	(104, 36.03887747693443)	(106, 35.92968417568302)	(108, 35.87608296855484)	(110, 35.778688961313236)	(112, 35.66832239414235)	(114, 35.56319805278615)	(116, 35.45042168929323)	(118, 35.301397619333194)	(120, 35.15515773412294)	(122, 34.895462833427516)	(124, 34.49356977176818)	(126, 27.8945095834642)
