Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
20150415.B-CAMA_reseq_10_R1	(2.0, 61.0)	(3.0, 61.0)	(4.0, 83.0)	(5.0, 70.0)	(6.0, 143.0)	(7.0, 229.0)	(8.0, 714.0)	(9.0, 935.0)	(10.0, 1203.0)	(11.0, 1432.0)	(12.0, 1812.0)	(13.0, 2156.0)	(14.0, 2802.0)	(15.0, 3493.0)	(16.0, 4410.0)	(17.0, 5271.0)	(18.0, 6215.0)	(19.0, 7463.0)	(20.0, 9040.0)	(21.0, 11043.0)	(22.0, 13534.0)	(23.0, 17554.0)	(24.0, 23878.0)	(25.0, 32799.0)	(26.0, 45325.0)	(27.0, 60997.0)	(28.0, 81036.0)	(29.0, 105811.0)	(30.0, 136776.0)	(31.0, 178007.0)	(32.0, 234446.0)	(33.0, 317305.0)	(34.0, 455152.0)	(35.0, 731104.0)	(36.0, 1596547.0)	(37.0, 15885704.0)
20150415.B-CAMA_reseq_10_R2	(2.0, 20836.0)	(3.0, 2736.0)	(4.0, 2258.0)	(5.0, 2031.0)	(6.0, 2087.0)	(7.0, 2310.0)	(8.0, 2791.0)	(9.0, 3418.0)	(10.0, 3957.0)	(11.0, 4733.0)	(12.0, 5592.0)	(13.0, 6633.0)	(14.0, 8741.0)	(15.0, 10616.0)	(16.0, 12965.0)	(17.0, 16040.0)	(18.0, 20143.0)	(19.0, 24718.0)	(20.0, 31137.0)	(21.0, 39455.0)	(22.0, 49184.0)	(23.0, 60561.0)	(24.0, 73479.0)	(25.0, 88728.0)	(26.0, 104824.0)	(27.0, 122683.0)	(28.0, 143885.0)	(29.0, 168615.0)	(30.0, 199877.0)	(31.0, 243246.0)	(32.0, 306083.0)	(33.0, 402572.0)	(34.0, 563992.0)	(35.0, 890087.0)	(36.0, 1876749.0)	(37.0, 14456849.0)
20150415.B-CAMA_reseq_11_R1	(2.0, 49.0)	(3.0, 71.0)	(4.0, 56.0)	(5.0, 80.0)	(6.0, 145.0)	(7.0, 250.0)	(8.0, 682.0)	(9.0, 929.0)	(10.0, 1163.0)	(11.0, 1428.0)	(12.0, 1875.0)	(13.0, 2260.0)	(14.0, 2736.0)	(15.0, 3392.0)	(16.0, 4289.0)	(17.0, 5197.0)	(18.0, 6077.0)	(19.0, 7202.0)	(20.0, 8885.0)	(21.0, 10604.0)	(22.0, 13286.0)	(23.0, 17305.0)	(24.0, 23624.0)	(25.0, 32671.0)	(26.0, 44955.0)	(27.0, 60365.0)	(28.0, 79602.0)	(29.0, 103852.0)	(30.0, 135883.0)	(31.0, 176041.0)	(32.0, 233352.0)	(33.0, 316013.0)	(34.0, 454482.0)	(35.0, 730559.0)	(36.0, 1594109.0)	(37.0, 14571849.0)
20150415.B-CAMA_reseq_11_R2	(2.0, 20607.0)	(3.0, 2902.0)	(4.0, 2316.0)	(5.0, 2147.0)	(6.0, 2159.0)	(7.0, 2450.0)	(8.0, 2849.0)	(9.0, 3398.0)	(10.0, 3868.0)	(11.0, 4665.0)	(12.0, 5730.0)	(13.0, 6947.0)	(14.0, 8789.0)	(15.0, 10662.0)	(16.0, 13283.0)	(17.0, 16434.0)	(18.0, 20599.0)	(19.0, 25771.0)	(20.0, 32529.0)	(21.0, 41188.0)	(22.0, 51558.0)	(23.0, 63109.0)	(24.0, 77191.0)	(25.0, 91871.0)	(26.0, 108830.0)	(27.0, 127881.0)	(28.0, 148520.0)	(29.0, 174454.0)	(30.0, 206415.0)	(31.0, 250276.0)	(32.0, 314032.0)	(33.0, 412336.0)	(34.0, 573624.0)	(35.0, 901644.0)	(36.0, 1895235.0)	(37.0, 13019049.0)
20150415.B-CAMA_reseq_12_R1	(2.0, 52.0)	(3.0, 57.0)	(4.0, 82.0)	(5.0, 71.0)	(6.0, 108.0)	(7.0, 245.0)	(8.0, 650.0)	(9.0, 860.0)	(10.0, 1146.0)	(11.0, 1299.0)	(12.0, 1644.0)	(13.0, 2013.0)	(14.0, 2694.0)	(15.0, 3235.0)	(16.0, 4114.0)	(17.0, 4907.0)	(18.0, 5842.0)	(19.0, 6894.0)	(20.0, 8368.0)	(21.0, 9924.0)	(22.0, 12430.0)	(23.0, 16272.0)	(24.0, 22122.0)	(25.0, 30357.0)	(26.0, 41511.0)	(27.0, 54407.0)	(28.0, 71953.0)	(29.0, 93629.0)	(30.0, 121056.0)	(31.0, 156086.0)	(32.0, 204771.0)	(33.0, 275425.0)	(34.0, 392050.0)	(35.0, 623730.0)	(36.0, 1340815.0)	(37.0, 13947117.0)
20150415.B-CAMA_reseq_12_R2	(2.0, 18892.0)	(3.0, 2804.0)	(4.0, 2211.0)	(5.0, 2037.0)	(6.0, 2011.0)	(7.0, 2234.0)	(8.0, 2534.0)	(9.0, 3272.0)	(10.0, 3771.0)	(11.0, 4418.0)	(12.0, 5288.0)	(13.0, 6421.0)	(14.0, 8234.0)	(15.0, 9963.0)	(16.0, 12144.0)	(17.0, 14946.0)	(18.0, 18863.0)	(19.0, 23201.0)	(20.0, 28814.0)	(21.0, 36594.0)	(22.0, 45872.0)	(23.0, 56292.0)	(24.0, 67991.0)	(25.0, 80514.0)	(26.0, 94415.0)	(27.0, 110675.0)	(28.0, 129179.0)	(29.0, 150676.0)	(30.0, 177753.0)	(31.0, 215126.0)	(32.0, 269993.0)	(33.0, 353564.0)	(34.0, 491330.0)	(35.0, 770602.0)	(36.0, 1617945.0)	(37.0, 12617357.0)
20150415.B-CAMA_reseq_13_R1	(2.0, 58.0)	(3.0, 64.0)	(4.0, 71.0)	(5.0, 76.0)	(6.0, 150.0)	(7.0, 291.0)	(8.0, 724.0)	(9.0, 924.0)	(10.0, 1264.0)	(11.0, 1482.0)	(12.0, 1873.0)	(13.0, 2248.0)	(14.0, 2768.0)	(15.0, 3475.0)	(16.0, 4160.0)	(17.0, 4926.0)	(18.0, 6000.0)	(19.0, 6954.0)	(20.0, 8214.0)	(21.0, 9982.0)	(22.0, 12641.0)	(23.0, 16491.0)	(24.0, 22252.0)	(25.0, 30701.0)	(26.0, 41629.0)	(27.0, 55985.0)	(28.0, 74812.0)	(29.0, 97377.0)	(30.0, 126657.0)	(31.0, 164814.0)	(32.0, 217443.0)	(33.0, 294224.0)	(34.0, 423986.0)	(35.0, 683899.0)	(36.0, 1504682.0)	(37.0, 15080610.0)
20150415.B-CAMA_reseq_13_R2	(2.0, 18158.0)	(3.0, 1934.0)	(4.0, 1573.0)	(5.0, 1457.0)	(6.0, 1518.0)	(7.0, 1662.0)	(8.0, 2158.0)	(9.0, 2583.0)	(10.0, 3037.0)	(11.0, 3620.0)	(12.0, 4520.0)	(13.0, 5477.0)	(14.0, 7007.0)	(15.0, 8825.0)	(16.0, 10801.0)	(17.0, 13006.0)	(18.0, 16264.0)	(19.0, 20121.0)	(20.0, 25703.0)	(21.0, 32554.0)	(22.0, 41365.0)	(23.0, 51617.0)	(24.0, 62721.0)	(25.0, 75979.0)	(26.0, 90482.0)	(27.0, 107326.0)	(28.0, 126459.0)	(29.0, 149652.0)	(30.0, 178439.0)	(31.0, 216949.0)	(32.0, 275049.0)	(33.0, 363797.0)	(34.0, 512910.0)	(35.0, 816692.0)	(36.0, 1734722.0)	(37.0, 13917770.0)
20150415.B-CAMA_reseq_14_R1	(2.0, 35.0)	(3.0, 52.0)	(4.0, 58.0)	(5.0, 64.0)	(6.0, 127.0)	(7.0, 226.0)	(8.0, 613.0)	(9.0, 720.0)	(10.0, 973.0)	(11.0, 1170.0)	(12.0, 1422.0)	(13.0, 1747.0)	(14.0, 2359.0)	(15.0, 2855.0)	(16.0, 3612.0)	(17.0, 4415.0)	(18.0, 5178.0)	(19.0, 6153.0)	(20.0, 7261.0)	(21.0, 8758.0)	(22.0, 11207.0)	(23.0, 14351.0)	(24.0, 19379.0)	(25.0, 26104.0)	(26.0, 35630.0)	(27.0, 48047.0)	(28.0, 63589.0)	(29.0, 82029.0)	(30.0, 106426.0)	(31.0, 138300.0)	(32.0, 182018.0)	(33.0, 245149.0)	(34.0, 349983.0)	(35.0, 559914.0)	(36.0, 1211831.0)	(37.0, 12402955.0)
20150415.B-CAMA_reseq_14_R2	(2.0, 15746.0)	(3.0, 1874.0)	(4.0, 1439.0)	(5.0, 1360.0)	(6.0, 1376.0)	(7.0, 1659.0)	(8.0, 1938.0)	(9.0, 2292.0)	(10.0, 2837.0)	(11.0, 3318.0)	(12.0, 4029.0)	(13.0, 5032.0)	(14.0, 6408.0)	(15.0, 7790.0)	(16.0, 9533.0)	(17.0, 11748.0)	(18.0, 14791.0)	(19.0, 18139.0)	(20.0, 23114.0)	(21.0, 29155.0)	(22.0, 36823.0)	(23.0, 45504.0)	(24.0, 55989.0)	(25.0, 67386.0)	(26.0, 79450.0)	(27.0, 94332.0)	(28.0, 109890.0)	(29.0, 128941.0)	(30.0, 153771.0)	(31.0, 187171.0)	(32.0, 235446.0)	(33.0, 308966.0)	(34.0, 432048.0)	(35.0, 684231.0)	(36.0, 1445455.0)	(37.0, 11315729.0)
