Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
20150415.B-CAMA_reseq_10_R1	(0, 698.0)	(5, 405.0)	(10, 411.0)	(15, 398.0)	(20, 392.0)	(25, 429.0)	(30, 18532.0)	(35, 21963.0)	(40, 20616.0)	(45, 19343.0)	(50, 18486.0)	(55, 19011.0)	(60, 19419.0)	(65, 19178.0)	(70, 18749.0)	(75, 18320.0)	(80, 18078.0)	(85, 17753.0)	(90, 17479.0)	(95, 18809.0)	(100, 18464.0)	(105, 16844.0)	(110, 17038.0)	(115, 57810.0)	(120, 72681.0)	(125, 19523305.0)
20150415.B-CAMA_reseq_10_R2	(0, 322.0)	(5, 409.0)	(10, 412.0)	(15, 445.0)	(20, 403.0)	(25, 424.0)	(30, 18576.0)	(35, 21958.0)	(40, 20612.0)	(45, 19321.0)	(50, 18534.0)	(55, 18991.0)	(60, 19399.0)	(65, 19189.0)	(70, 18700.0)	(75, 18322.0)	(80, 18094.0)	(85, 17788.0)	(90, 17459.0)	(95, 18916.0)	(100, 18485.0)	(105, 16877.0)	(110, 16996.0)	(115, 57406.0)	(120, 71765.0)	(125, 19524808.0)
20150415.B-CAMA_reseq_11_R1	(0, 568.0)	(5, 379.0)	(10, 375.0)	(15, 416.0)	(20, 400.0)	(25, 411.0)	(30, 17419.0)	(35, 20607.0)	(40, 19353.0)	(45, 18931.0)	(50, 17842.0)	(55, 18779.0)	(60, 18738.0)	(65, 18476.0)	(70, 18167.0)	(75, 17726.0)	(80, 17214.0)	(85, 17300.0)	(90, 16948.0)	(95, 18303.0)	(100, 18074.0)	(105, 16306.0)	(110, 16615.0)	(115, 54527.0)	(120, 67326.0)	(125, 18214118.0)
20150415.B-CAMA_reseq_11_R2	(0, 324.0)	(5, 436.0)	(10, 400.0)	(15, 395.0)	(20, 408.0)	(25, 416.0)	(30, 17436.0)	(35, 20636.0)	(40, 19362.0)	(45, 18906.0)	(50, 17808.0)	(55, 18746.0)	(60, 18705.0)	(65, 18471.0)	(70, 18204.0)	(75, 17755.0)	(80, 17201.0)	(85, 17346.0)	(90, 16928.0)	(95, 18315.0)	(100, 18071.0)	(105, 16299.0)	(110, 16585.0)	(115, 54525.0)	(120, 67491.0)	(125, 18214149.0)
20150415.B-CAMA_reseq_12_R1	(0, 619.0)	(5, 354.0)	(10, 348.0)	(15, 383.0)	(20, 400.0)	(25, 400.0)	(30, 14395.0)	(35, 16512.0)	(40, 15182.0)	(45, 14336.0)	(50, 13748.0)	(55, 13925.0)	(60, 14362.0)	(65, 13849.0)	(70, 13783.0)	(75, 13543.0)	(80, 13347.0)	(85, 12916.0)	(90, 13143.0)	(95, 14314.0)	(100, 14341.0)	(105, 12825.0)	(110, 13514.0)	(115, 49707.0)	(120, 62354.0)	(125, 17105336.0)
20150415.B-CAMA_reseq_12_R2	(0, 296.0)	(5, 371.0)	(10, 358.0)	(15, 370.0)	(20, 362.0)	(25, 361.0)	(30, 14364.0)	(35, 16509.0)	(40, 15202.0)	(45, 14366.0)	(50, 13725.0)	(55, 13936.0)	(60, 14355.0)	(65, 13837.0)	(70, 13752.0)	(75, 13582.0)	(80, 13311.0)	(85, 12952.0)	(90, 13102.0)	(95, 14306.0)	(100, 14325.0)	(105, 12831.0)	(110, 13496.0)	(115, 49229.0)	(120, 61681.0)	(125, 17106957.0)
20150415.B-CAMA_reseq_13_R1	(0, 514.0)	(5, 408.0)	(10, 422.0)	(15, 419.0)	(20, 388.0)	(25, 431.0)	(30, 17081.0)	(35, 19863.0)	(40, 18218.0)	(45, 17181.0)	(50, 16126.0)	(55, 16351.0)	(60, 16505.0)	(65, 15932.0)	(70, 15485.0)	(75, 15287.0)	(80, 15096.0)	(85, 14775.0)	(90, 14676.0)	(95, 15623.0)	(100, 15497.0)	(105, 13858.0)	(110, 14018.0)	(115, 52777.0)	(120, 67014.0)	(125, 18509962.0)
20150415.B-CAMA_reseq_13_R2	(0, 348.0)	(5, 420.0)	(10, 433.0)	(15, 446.0)	(20, 460.0)	(25, 478.0)	(30, 17101.0)	(35, 19901.0)	(40, 18185.0)	(45, 17200.0)	(50, 16084.0)	(55, 16283.0)	(60, 16451.0)	(65, 15926.0)	(70, 15468.0)	(75, 15300.0)	(80, 15133.0)	(85, 14774.0)	(90, 14685.0)	(95, 15707.0)	(100, 15457.0)	(105, 13818.0)	(110, 14023.0)	(115, 52641.0)	(120, 66329.0)	(125, 18510856.0)
20150415.B-CAMA_reseq_14_R1	(0, 418.0)	(5, 347.0)	(10, 320.0)	(15, 319.0)	(20, 317.0)	(25, 375.0)	(30, 12099.0)	(35, 14073.0)	(40, 12748.0)	(45, 11843.0)	(50, 11184.0)	(55, 11311.0)	(60, 11186.0)	(65, 10782.0)	(70, 10634.0)	(75, 10466.0)	(80, 10107.0)	(85, 9768.0)	(90, 9884.0)	(95, 11042.0)	(100, 10813.0)	(105, 9247.0)	(110, 9544.0)	(115, 41637.0)	(120, 53012.0)	(125, 15261234.0)
20150415.B-CAMA_reseq_14_R2	(0, 233.0)	(5, 296.0)	(10, 313.0)	(15, 324.0)	(20, 306.0)	(25, 338.0)	(30, 12141.0)	(35, 14085.0)	(40, 12769.0)	(45, 11882.0)	(50, 11194.0)	(55, 11315.0)	(60, 11188.0)	(65, 10777.0)	(70, 10621.0)	(75, 10469.0)	(80, 10116.0)	(85, 9792.0)	(90, 9844.0)	(95, 11103.0)	(100, 10837.0)	(105, 9211.0)	(110, 9540.0)	(115, 41283.0)	(120, 52176.0)	(125, 15262557.0)
