Module	Section	Sample Name	Source
fastp	all_sections	20150415.B-CAMA_reseq_1	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_1.json
fastp	all_sections	20150415.B-CAMA_reseq_2	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_2.json
fastp	all_sections	20150415.B-CAMA_reseq_3	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_3.json
fastp	all_sections	20150415.B-CAMA_reseq_4	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_4.json
fastp	all_sections	20150415.B-CAMA_reseq_5	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_5.json
fastp	all_sections	20150415.B-CAMA_reseq_6	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_6.json
fastp	all_sections	20150415.B-CAMA_reseq_7	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_7.json
fastp	all_sections	20150415.B-CAMA_reseq_8	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_8.json
fastp	all_sections	20150415.B-CAMA_reseq_9	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_9.json
fastp	all_sections	20150415.B-CAMA_reseq_10	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_10.json
fastp	all_sections	20150415.B-CAMA_reseq_11	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_11.json
fastp	all_sections	20150415.B-CAMA_reseq_12	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_12.json
fastp	all_sections	20150415.B-CAMA_reseq_13	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_13.json
fastp	all_sections	20150415.B-CAMA_reseq_14	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_14.json
fastp	all_sections	20150415.B-CAMA_reseq_15	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_15.json
fastp	all_sections	20150415.B-CAMA_reseq_16	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_16.json
fastp	all_sections	20150415.B-CAMA_reseq_17	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_17.json
fastp	all_sections	20150415.B-CAMA_reseq_18	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_18.json
fastp	all_sections	20150415.B-CAMA_reseq_19	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_19.json
fastp	all_sections	20150415.B-CAMA_reseq_20	/scratch/maurin/cama_reseq/data/trimmed/reseqs/p1811_qc/fastp/20150415.B-CAMA_reseq_20.json
